"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","231","Get Product Instance Invalid Field","Assurdly | Producer API","Fri May 23 18:49:37 GMT 2025","failed","Fri May 23 18:49:37 GMT 2025","","Product Instances","",""
"","301","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Fri May 23 18:49:42 GMT 2025","passed","Fri May 23 18:49:42 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","229","Get transform outprod","Assurdly | Producer API","Fri May 23 18:49:34 GMT 2025","passed","Fri May 23 18:49:35 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","231","Get Product Instance Shared Government Copy","Assurdly | Producer API","Fri May 23 18:49:32 GMT 2025","passed","Fri May 23 18:49:32 GMT 2025","","Shared With Government","",""
"","218","Get Analysis Manufacturers","Assurdly | Producer API","Fri May 23 18:49:42 GMT 2025","passed","Fri May 23 18:49:42 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","218","Get Total Events Count","Assurdly | Producer API","Fri May 23 18:49:38 GMT 2025","passed","Fri May 23 18:49:38 GMT 2025","","Events","",""
"","234","Participant Details","Assurdly | Producer API","Fri May 23 18:49:26 GMT 2025","passed","Fri May 23 18:49:26 GMT 2025","participant","Home","",""
"","748","Login - Valid Credentials","Assurdly | Producer API","Fri May 23 18:49:24 GMT 2025","passed","Fri May 23 18:49:25 GMT 2025","Login","Authentication","",""
"","225","Get all config types","Assurdly | Producer API","Fri May 23 18:49:33 GMT 2025","passed","Fri May 23 18:49:33 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","269","Get Product Instance List","Assurdly | Producer API","Fri May 23 18:49:36 GMT 2025","passed","Fri May 23 18:49:37 GMT 2025","","Product Instances","",""
"","215","Get Company Type","Assurdly | Producer API","Fri May 23 18:49:40 GMT 2025","passed","Fri May 23 18:49:40 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","1422","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Fri May 23 18:49:29 GMT 2025","passed","Fri May 23 18:49:31 GMT 2025","Overview > Stats","Dashboard","",""
"","219","Get Tooltips","Assurdly | Producer API","Fri May 23 18:49:33 GMT 2025","passed","Fri May 23 18:49:33 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","223","Creating Analysis Event","Assurdly | Producer API","Fri May 23 18:49:42 GMT 2025","failed","Fri May 23 18:49:42 GMT 2025","Single Event","Analysis Event","",""
"","216","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Fri May 23 18:49:41 GMT 2025","passed","Fri May 23 18:49:41 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","302","Get Total Event","Assurdly | Producer API","Fri May 23 18:49:37 GMT 2025","passed","Fri May 23 18:49:38 GMT 2025","","Events","",""
"","221","Get Labels","Assurdly | Producer API","Fri May 23 18:49:33 GMT 2025","passed","Fri May 23 18:49:34 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","226","Get Labels","Assurdly | Producer API","Fri May 23 18:49:40 GMT 2025","passed","Fri May 23 18:49:40 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","220","Get Preference - Empty Fields","Assurdly | Producer API","Fri May 23 18:49:33 GMT 2025","failed","Fri May 23 18:49:33 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","214","Get Share FQS Invalid Field","Assurdly | Producer API","Fri May 23 18:49:44 GMT 2025","passed","Fri May 23 18:49:44 GMT 2025","","FQS","",""
"","224","Get Preference - Get Labels -","Assurdly | Producer API","Fri May 23 18:49:39 GMT 2025","failed","Fri May 23 18:49:39 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","222","Get Preference","Assurdly | Producer API","Fri May 23 18:49:33 GMT 2025","passed","Fri May 23 18:49:33 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","213","Set uom Preference - Empty Value","Assurdly | Producer API","Fri May 23 18:49:28 GMT 2025","failed","Fri May 23 18:49:28 GMT 2025","Preference","Home","",""
"","220","Get Company Type","Assurdly | Producer API","Fri May 23 18:49:34 GMT 2025","passed","Fri May 23 18:49:34 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","214","Get uom Preference","Assurdly | Producer API","Fri May 23 18:49:27 GMT 2025","failed","Fri May 23 18:49:27 GMT 2025","Preference","Home","",""
"","224","Read Notification","Assurdly | Producer API","Fri May 23 18:49:26 GMT 2025","passed","Fri May 23 18:49:27 GMT 2025","Notification","Home","",""
"","218","Get Analysis Manufacturers","Assurdly | Producer API","Fri May 23 18:49:40 GMT 2025","passed","Fri May 23 18:49:41 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","299","Get product brand category - No auth","Assurdly | Producer API","Fri May 23 18:49:35 GMT 2025","passed","Fri May 23 18:49:35 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","223","Get Preference","Assurdly | Producer API","Fri May 23 18:49:39 GMT 2025","passed","Fri May 23 18:49:39 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","221","Get Analysis Manufacturers","Assurdly | Producer API","Fri May 23 18:49:41 GMT 2025","passed","Fri May 23 18:49:42 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","223","Get Tooltips","Assurdly | Producer API","Fri May 23 18:49:39 GMT 2025","passed","Fri May 23 18:49:40 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","229","Get Labels - Empty Fields","Assurdly | Producer API","Fri May 23 18:49:34 GMT 2025","failed","Fri May 23 18:49:34 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","220","Get Share FQS","Assurdly | Producer API","Fri May 23 18:49:44 GMT 2025","failed","Fri May 23 18:49:44 GMT 2025","","FQS","",""
"","214","Create Bulk Event","Assurdly | Producer API","Fri May 23 18:49:43 GMT 2025","failed","Fri May 23 18:49:43 GMT 2025","","Analysis Event","",""
"","270","Get Product Shared Government Count","Assurdly | Producer API","Fri May 23 18:49:31 GMT 2025","passed","Fri May 23 18:49:31 GMT 2025","","Shared With Government","",""
