"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","268","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Wed May 28 18:49:28 GMT 2025","passed","Wed May 28 18:49:28 GMT 2025","Single Event","Analysis Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","264","Total Event - Empty Fields","Assurdly | Government APIs","Wed May 28 18:49:29 GMT 2025","failed","Wed May 28 18:49:29 GMT 2025","","Events Records","",""
"","265","Get Tooltips","Assurdly | Government APIs","Wed May 28 18:49:24 GMT 2025","passed","Wed May 28 18:49:24 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","324","Get Sites","Assurdly | Government APIs","Wed May 28 18:49:23 GMT 2025","passed","Wed May 28 18:49:23 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","263","Total Events Count","Assurdly | Government APIs","Wed May 28 18:49:29 GMT 2025","passed","Wed May 28 18:49:29 GMT 2025","","Events Records","",""
"","266","Get all config types","Assurdly | Government APIs","Wed May 28 18:49:23 GMT 2025","passed","Wed May 28 18:49:23 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","269","Set Preference","Assurdly | Government APIs","Wed May 28 18:49:19 GMT 2025","failed","Wed May 28 18:49:19 GMT 2025","Preference > Set UOM Preference","Home","",""
"","310","Get Product Instance List","Assurdly | Government APIs","Wed May 28 18:49:20 GMT 2025","passed","Wed May 28 18:49:20 GMT 2025","","Participant List","",""
"","262","Total Events Count - Empty Fields","Assurdly | Government APIs","Wed May 28 18:49:29 GMT 2025","failed","Wed May 28 18:49:29 GMT 2025","","Events Records","",""
"","255","Tour Status","Assurdly | Government APIs","Wed May 28 18:49:18 GMT 2025","passed","Wed May 28 18:49:19 GMT 2025","Tour","Home","",""
"","142","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Wed May 28 18:49:17 GMT 2025","failed","Wed May 28 18:49:17 GMT 2025","Login","Authentication","",""
"","265","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Wed May 28 18:49:26 GMT 2025","passed","Wed May 28 18:49:26 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","315","Get Product Instance List","Assurdly | Government APIs","Wed May 28 18:49:21 GMT 2025","passed","Wed May 28 18:49:22 GMT 2025","","Product Instances","",""
"","274","Total Event","Assurdly | Government APIs","Wed May 28 18:49:28 GMT 2025","passed","Wed May 28 18:49:29 GMT 2025","","Events Records","",""
"","234","Login - Invalid Credentials","Assurdly | Government APIs","Wed May 28 18:49:17 GMT 2025","passed","Wed May 28 18:49:17 GMT 2025","Login","Authentication","",""
"","367","Get Product Instance List Copy","Assurdly | Government APIs","Wed May 28 18:49:20 GMT 2025","passed","Wed May 28 18:49:21 GMT 2025","","Participant List","",""
"","367","Get Producer Activity  - No Auth","Assurdly | Government APIs","Wed May 28 18:49:21 GMT 2025","passed","Wed May 28 18:49:21 GMT 2025","","Participant Activity","",""
"","271","Get Analysis Manufacturers","Assurdly | Government APIs","Wed May 28 18:49:27 GMT 2025","passed","Wed May 28 18:49:27 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","264","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Wed May 28 18:49:25 GMT 2025","failed","Wed May 28 18:49:25 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","457","Notifications","Assurdly | Government APIs","Wed May 28 18:49:18 GMT 2025","failed","Wed May 28 18:49:18 GMT 2025","Notification","Home","",""
"","261","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Wed May 28 18:49:20 GMT 2025","failed","Wed May 28 18:49:20 GMT 2025","Stats","Dashboard","",""
"","151","Read Notification","Assurdly | Government APIs","Wed May 28 18:49:18 GMT 2025","passed","Wed May 28 18:49:18 GMT 2025","Notification","Home","",""
"","1003","Login - Valid Credentials","Assurdly | Government APIs","Wed May 28 18:49:16 GMT 2025","passed","Wed May 28 18:49:17 GMT 2025","Login","Authentication","",""
"","266","Get Analysis Product Ids","Assurdly | Government APIs","Wed May 28 18:49:26 GMT 2025","passed","Wed May 28 18:49:26 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","258","Set uom Preference - Empty Value","Assurdly | Government APIs","Wed May 28 18:49:19 GMT 2025","failed","Wed May 28 18:49:20 GMT 2025","Preference > Set UOM Preference","Home","",""
"","265","Get Preference - Empty Fields","Assurdly | Government APIs","Wed May 28 18:49:24 GMT 2025","failed","Wed May 28 18:49:24 GMT 2025","Analysis > Get Preference","Analysis Event","",""
