"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","613","Get Product Instance Graph","Assurdly | Receiver API","Sun May 04 20:13:43 GMT 2025","passed","Sun May 04 20:13:43 GMT 2025","","Product Instances","",""
"","374","Single event","Assurdly | Receiver API","Sun May 04 20:13:53 GMT 2025","passed","Sun May 04 20:13:54 GMT 2025","Single Event","Receiving Event","",""
"","394","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 04 20:13:44 GMT 2025","failed","Sun May 04 20:13:45 GMT 2025","","Shared With Government","",""
"","352","Total Events Count - Empty Fields","Assurdly | Receiver API","Sun May 04 20:13:42 GMT 2025","failed","Sun May 04 20:13:42 GMT 2025","","Events Records","",""
"","352","Get uom Preference","Assurdly | Receiver API","Sun May 04 20:13:37 GMT 2025","failed","Sun May 04 20:13:38 GMT 2025","Preference","Home","",""
"","485","Get trading partner -No auth","Assurdly | Receiver API","Sun May 04 20:13:47 GMT 2025","passed","Sun May 04 20:13:47 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","1038","Total Event - Empty Fields","Assurdly | Receiver API","Sun May 04 20:13:40 GMT 2025","failed","Sun May 04 20:13:41 GMT 2025","","Events Records","",""
"","343","Get trading partner","Assurdly | Receiver API","Sun May 04 20:13:46 GMT 2025","passed","Sun May 04 20:13:47 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","906","Login - Valid Credentials","Assurdly | Receiver API","Sun May 04 20:13:35 GMT 2025","passed","Sun May 04 20:13:36 GMT 2025","Login","Authentication","",""
"","374","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 04 20:13:42 GMT 2025","failed","Sun May 04 20:13:43 GMT 2025","","Product Instances","",""
"","486","Get label - No auth","Assurdly | Receiver API","Sun May 04 20:13:51 GMT 2025","passed","Sun May 04 20:13:51 GMT 2025","Receiving > Get Labels","Receiving Event","",""
