"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","Site Overview","Assurdly | Government APIs","Sun May 04 20:09:09 GMT 2025","passed","Sun May 04 20:09:09 GMT 2025","","Site Overview","",""
"","275","Set Preference","Assurdly | Government APIs","Sun May 04 20:09:06 GMT 2025","passed","Sun May 04 20:09:06 GMT 2025","Preference > Set UOM Preference","Home","",""
"","147","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Sun May 04 20:09:04 GMT 2025","failed","Sun May 04 20:09:04 GMT 2025","Login","Authentication","",""
"","318","Get Product Instance List","Assurdly | Government APIs","Sun May 04 20:09:08 GMT 2025","passed","Sun May 04 20:09:09 GMT 2025","","Product Instances","",""
"","280","Total Event","Assurdly | Government APIs","Sun May 04 20:09:15 GMT 2025","passed","Sun May 04 20:09:15 GMT 2025","","Events Records","",""
"","258","Get Preference - Empty Fields","Assurdly | Government APIs","Sun May 04 20:09:10 GMT 2025","failed","Sun May 04 20:09:11 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","264","Get Analysis Manufacturers","Assurdly | Government APIs","Sun May 04 20:09:12 GMT 2025","passed","Sun May 04 20:09:12 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","253","Tour Status","Assurdly | Government APIs","Sun May 04 20:09:05 GMT 2025","passed","Sun May 04 20:09:05 GMT 2025","Tour","Home","",""
"","158","Read Notification - Invalid Notification id","Assurdly | Government APIs","Sun May 04 20:09:05 GMT 2025","failed","Sun May 04 20:09:05 GMT 2025","Notification","Home","",""
"","154","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Sun May 04 20:09:04 GMT 2025","passed","Sun May 04 20:09:04 GMT 2025","Login","Authentication","",""
"","265","Total Events Count - Empty Fields","Assurdly | Government APIs","Sun May 04 20:09:16 GMT 2025","failed","Sun May 04 20:09:16 GMT 2025","","Events Records","",""
"","260","Get Analysis Manufacturers","Assurdly | Government APIs","Sun May 04 20:09:14 GMT 2025","passed","Sun May 04 20:09:14 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","319","Get Producer Activity","Assurdly | Government APIs","Sun May 04 20:09:08 GMT 2025","passed","Sun May 04 20:09:08 GMT 2025","","Participant Activity","",""
"","260","Total Events Count","Assurdly | Government APIs","Sun May 04 20:09:16 GMT 2025","passed","Sun May 04 20:09:16 GMT 2025","","Events Records","",""
"","160","Read Notification","Assurdly | Government APIs","Sun May 04 20:09:05 GMT 2025","passed","Sun May 04 20:09:05 GMT 2025","Notification","Home","",""
"","271","Get all config types","Assurdly | Government APIs","Sun May 04 20:09:10 GMT 2025","passed","Sun May 04 20:09:10 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","265","Get Analysis Manufacturers","Assurdly | Government APIs","Sun May 04 20:09:13 GMT 2025","passed","Sun May 04 20:09:14 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","261","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Sun May 04 20:09:13 GMT 2025","passed","Sun May 04 20:09:13 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","261","Get Labels - Empty Fields","Assurdly | Government APIs","Sun May 04 20:09:11 GMT 2025","failed","Sun May 04 20:09:12 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","305","Get Sites","Assurdly | Government APIs","Sun May 04 20:09:09 GMT 2025","passed","Sun May 04 20:09:10 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","262","Get Preference","Assurdly | Government APIs","Sun May 04 20:09:10 GMT 2025","passed","Sun May 04 20:09:10 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","230","Login - Invalid Credentials","Assurdly | Government APIs","Sun May 04 20:09:04 GMT 2025","passed","Sun May 04 20:09:04 GMT 2025","Login","Authentication","",""
"","259","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Sun May 04 20:09:12 GMT 2025","failed","Sun May 04 20:09:12 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","361","Get Product Instance List  - No Auth","Assurdly | Government APIs","Sun May 04 20:09:09 GMT 2025","passed","Sun May 04 20:09:09 GMT 2025","","Product Instances","",""
"","279","Dashboard Filter","Assurdly | Government APIs","Sun May 04 20:09:06 GMT 2025","failed","Sun May 04 20:09:07 GMT 2025","Stats","Dashboard","",""
"","265","Get Company Type","Assurdly | Government APIs","Sun May 04 20:09:12 GMT 2025","passed","Sun May 04 20:09:12 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","264","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Sun May 04 20:09:14 GMT 2025","passed","Sun May 04 20:09:15 GMT 2025","Single Event","Analysis Event","",""
"","260","Get Preference - Get Labels -","Assurdly | Government APIs","Sun May 04 20:09:11 GMT 2025","failed","Sun May 04 20:09:11 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","359","Get Product Instance List Copy","Assurdly | Government APIs","Sun May 04 20:09:07 GMT 2025","passed","Sun May 04 20:09:08 GMT 2025","","Participant List","",""
"","258","Get Analysis Product Ids","Assurdly | Government APIs","Sun May 04 20:09:13 GMT 2025","passed","Sun May 04 20:09:13 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","267","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Sun May 04 20:09:12 GMT 2025","passed","Sun May 04 20:09:13 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","273","Get Preference","Assurdly | Government APIs","Sun May 04 20:09:05 GMT 2025","failed","Sun May 04 20:09:06 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","269","Total Event - Empty Fields","Assurdly | Government APIs","Sun May 04 20:09:15 GMT 2025","failed","Sun May 04 20:09:16 GMT 2025","","Events Records","",""
