"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1538","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Sun Apr 13 20:10:21 GMT 2025","passed","Sun Apr 13 20:10:23 GMT 2025","Overview > Stats","Dashboard","",""
"","355","Get Share FQS","Assurdly | Producer API","Sun Apr 13 20:10:42 GMT 2025","failed","Sun Apr 13 20:10:42 GMT 2025","","FQS","",""
"","352","Get Preference","Assurdly | Producer API","Sun Apr 13 20:10:26 GMT 2025","passed","Sun Apr 13 20:10:26 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","350","Get Company Type","Assurdly | Producer API","Sun Apr 13 20:10:37 GMT 2025","passed","Sun Apr 13 20:10:37 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","351","Get all config types","Assurdly | Producer API","Sun Apr 13 20:10:25 GMT 2025","passed","Sun Apr 13 20:10:26 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","345","Create Bulk Event","Assurdly | Producer API","Sun Apr 13 20:10:41 GMT 2025","failed","Sun Apr 13 20:10:41 GMT 2025","","Analysis Event","",""
"","355","Get Analysis Manufacturers","Assurdly | Producer API","Sun Apr 13 20:10:37 GMT 2025","passed","Sun Apr 13 20:10:38 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","376","Participant Details","Assurdly | Producer API","Sun Apr 13 20:10:16 GMT 2025","passed","Sun Apr 13 20:10:17 GMT 2025","participant","Home","",""
"","346","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Sun Apr 13 20:10:38 GMT 2025","passed","Sun Apr 13 20:10:38 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","349","Get Share FQS Invalid Field","Assurdly | Producer API","Sun Apr 13 20:10:42 GMT 2025","passed","Sun Apr 13 20:10:43 GMT 2025","","FQS","",""
"","352","Get Labels","Assurdly | Producer API","Sun Apr 13 20:10:27 GMT 2025","passed","Sun Apr 13 20:10:27 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","349","Get Preference - Empty Fields","Assurdly | Producer API","Sun Apr 13 20:10:26 GMT 2025","failed","Sun Apr 13 20:10:26 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","342","Get product brand category - No auth","Assurdly | Producer API","Sun Apr 13 20:10:29 GMT 2025","passed","Sun Apr 13 20:10:29 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","349","Get Labels - Empty Fields","Assurdly | Producer API","Sun Apr 13 20:10:36 GMT 2025","failed","Sun Apr 13 20:10:36 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","190","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Sun Apr 13 20:10:15 GMT 2025","failed","Sun Apr 13 20:10:16 GMT 2025","Login","Authentication","",""
"","352","Get Company Type","Assurdly | Producer API","Sun Apr 13 20:10:28 GMT 2025","passed","Sun Apr 13 20:10:28 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","395","Create Single Event","Assurdly | Producer API","Sun Apr 13 20:10:30 GMT 2025","failed","Sun Apr 13 20:10:30 GMT 2025","Single Event","Transformation Event","",""
"","341","Create Single Event - No Auth","Assurdly | Producer API","Sun Apr 13 20:10:30 GMT 2025","passed","Sun Apr 13 20:10:31 GMT 2025","Single Event","Transformation Event","",""
"","355","Creating Analysis Event","Assurdly | Producer API","Sun Apr 13 20:10:40 GMT 2025","failed","Sun Apr 13 20:10:40 GMT 2025","Single Event","Analysis Event","",""
"","355","Get Total Events Count Empty Field","Assurdly | Producer API","Sun Apr 13 20:10:33 GMT 2025","failed","Sun Apr 13 20:10:34 GMT 2025","","Events","",""
"","355","Get Preference","Assurdly | Producer API","Sun Apr 13 20:10:34 GMT 2025","passed","Sun Apr 13 20:10:35 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","365","Get Labels - Empty Fields","Assurdly | Producer API","Sun Apr 13 20:10:27 GMT 2025","failed","Sun Apr 13 20:10:27 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","284","Login - Invalid Credentials","Assurdly | Producer API","Sun Apr 13 20:10:15 GMT 2025","passed","Sun Apr 13 20:10:15 GMT 2025","Login","Authentication","",""
"","360","Get Tooltips","Assurdly | Producer API","Sun Apr 13 20:10:35 GMT 2025","passed","Sun Apr 13 20:10:36 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","542","Notifications","Assurdly | Producer API","Sun Apr 13 20:10:17 GMT 2025","failed","Sun Apr 13 20:10:17 GMT 2025","Notification","Home","",""
"","351","Get transform outprod","Assurdly | Producer API","Sun Apr 13 20:10:28 GMT 2025","passed","Sun Apr 13 20:10:29 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","353","Get Total Event Empty Field","Assurdly | Producer API","Sun Apr 13 20:10:33 GMT 2025","failed","Sun Apr 13 20:10:33 GMT 2025","","Events","",""
"","191","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Sun Apr 13 20:10:16 GMT 2025","passed","Sun Apr 13 20:10:16 GMT 2025","Login","Authentication","",""
"","355","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Apr 13 20:10:36 GMT 2025","failed","Sun Apr 13 20:10:37 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","345","Get Product Instance Graph","Assurdly | Producer API","Sun Apr 13 20:10:32 GMT 2025","failed","Sun Apr 13 20:10:32 GMT 2025","","Product Instances","",""
"","392","Get Dashboard Filter","Assurdly | Producer API","Sun Apr 13 20:10:23 GMT 2025","passed","Sun Apr 13 20:10:23 GMT 2025","Overview > Stats","Dashboard","",""
"","345","Get Share FQS - No auth","Assurdly | Producer API","Sun Apr 13 20:10:43 GMT 2025","passed","Sun Apr 13 20:10:43 GMT 2025","","FQS","",""
"","355","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Sun Apr 13 20:10:40 GMT 2025","passed","Sun Apr 13 20:10:40 GMT 2025","Single Event","Analysis Event","",""
"","355","Get all config types","Assurdly | Producer API","Sun Apr 13 20:10:34 GMT 2025","passed","Sun Apr 13 20:10:34 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","354","Get Product Instance Invalid Field","Assurdly | Producer API","Sun Apr 13 20:10:31 GMT 2025","failed","Sun Apr 13 20:10:31 GMT 2025","","Product Instances","",""
"","354","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Sun Apr 13 20:10:38 GMT 2025","passed","Sun Apr 13 20:10:39 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","913","Login - Valid Credentials","Assurdly | Producer API","Sun Apr 13 20:10:14 GMT 2025","passed","Sun Apr 13 20:10:15 GMT 2025","Login","Authentication","",""
"","1823","Get Dashboard Statistics","Assurdly | Producer API","Sun Apr 13 20:10:19 GMT 2025","passed","Sun Apr 13 20:10:21 GMT 2025","Overview > Stats","Dashboard","",""
"","347","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Sun Apr 13 20:10:39 GMT 2025","passed","Sun Apr 13 20:10:39 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","364","Set uom Preference","Assurdly | Producer API","Sun Apr 13 20:10:19 GMT 2025","passed","Sun Apr 13 20:10:19 GMT 2025","Preference","Home","",""
"","371","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Sun Apr 13 20:10:24 GMT 2025","passed","Sun Apr 13 20:10:24 GMT 2025","","Shared With Government","",""
"","359","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Sun Apr 13 20:10:31 GMT 2025","failed","Sun Apr 13 20:10:32 GMT 2025","","Product Instances","",""
"","360","Read Notification","Assurdly | Producer API","Sun Apr 13 20:10:17 GMT 2025","passed","Sun Apr 13 20:10:17 GMT 2025","Notification","Home","",""
"","501","Read Notification - No Authorisation","Assurdly | Producer API","Sun Apr 13 20:10:18 GMT 2025","passed","Sun Apr 13 20:10:18 GMT 2025","Notification","Home","",""
"","352","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Apr 13 20:10:27 GMT 2025","failed","Sun Apr 13 20:10:28 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","344","Get manufacturers - No auth","Assurdly | Producer API","Sun Apr 13 20:10:30 GMT 2025","passed","Sun Apr 13 20:10:30 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","351","Get Tooltips","Assurdly | Producer API","Sun Apr 13 20:10:26 GMT 2025","passed","Sun Apr 13 20:10:27 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","350","Get Analysis Manufacturers","Assurdly | Producer API","Sun Apr 13 20:10:39 GMT 2025","passed","Sun Apr 13 20:10:40 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","352","Get manufacturers","Assurdly | Producer API","Sun Apr 13 20:10:29 GMT 2025","passed","Sun Apr 13 20:10:30 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","408","Get Product Shared Government Count","Assurdly | Producer API","Sun Apr 13 20:10:23 GMT 2025","passed","Sun Apr 13 20:10:24 GMT 2025","","Shared With Government","",""
"","305","Tour Status","Assurdly | Producer API","Sun Apr 13 20:10:16 GMT 2025","passed","Sun Apr 13 20:10:16 GMT 2025","Tour","Home","",""
"","350","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Sun Apr 13 20:10:40 GMT 2025","passed","Sun Apr 13 20:10:41 GMT 2025","Single Event","Analysis Event","",""
"","353","Get Total Events Count","Assurdly | Producer API","Sun Apr 13 20:10:33 GMT 2025","passed","Sun Apr 13 20:10:33 GMT 2025","","Events","",""
"","467","Get Product Instance List","Assurdly | Producer API","Sun Apr 13 20:10:31 GMT 2025","passed","Sun Apr 13 20:10:31 GMT 2025","","Product Instances","",""
"","455","Get Sites","Assurdly | Producer API","Sun Apr 13 20:10:25 GMT 2025","passed","Sun Apr 13 20:10:25 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","353","Set uom Preference - Empty Value","Assurdly | Producer API","Sun Apr 13 20:10:19 GMT 2025","passed","Sun Apr 13 20:10:19 GMT 2025","Preference","Home","",""
"","349","Get Preference - Empty Fields","Assurdly | Producer API","Sun Apr 13 20:10:35 GMT 2025","failed","Sun Apr 13 20:10:35 GMT 2025","Analysis > Get Preference","Analysis Event","",""
