"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","279","Set uom Preference","Assurdly | Receiver API","Sun May 11 20:13:07 GMT 2025","failed","Sun May 11 20:13:08 GMT 2025","Preference","Home","",""
"","283","Get trading partner","Assurdly | Receiver API","Sun May 11 20:13:15 GMT 2025","passed","Sun May 11 20:13:15 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","312","Get Product Instance","Assurdly | Receiver API","Sun May 11 20:13:11 GMT 2025","failed","Sun May 11 20:13:11 GMT 2025","","Product Instances","",""
"","281","Set uom Preference - Empty Value","Assurdly | Receiver API","Sun May 11 20:13:08 GMT 2025","failed","Sun May 11 20:13:08 GMT 2025","Preference","Home","",""
"","399","get preference -No auth","Assurdly | Receiver API","Sun May 11 20:13:17 GMT 2025","passed","Sun May 11 20:13:18 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","404","Get sites - No auth","Assurdly | Receiver API","Sun May 11 20:13:14 GMT 2025","passed","Sun May 11 20:13:15 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","158","Tour Status","Assurdly | Receiver API","Sun May 11 20:13:07 GMT 2025","passed","Sun May 11 20:13:07 GMT 2025","Tour","Home","",""
"","282","Get tooltip","Assurdly | Receiver API","Sun May 11 20:13:15 GMT 2025","passed","Sun May 11 20:13:16 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","401","Get tooltip - No auth","Assurdly | Receiver API","Sun May 11 20:13:16 GMT 2025","passed","Sun May 11 20:13:16 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","542","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 11 20:13:12 GMT 2025","failed","Sun May 11 20:13:13 GMT 2025","","Product Instances","",""
"","284","Get producer record receiving","Assurdly | Receiver API","Sun May 11 20:13:19 GMT 2025","passed","Sun May 11 20:13:20 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","286","Participant Detail","Assurdly | Receiver API","Sun May 11 20:13:07 GMT 2025","passed","Sun May 11 20:13:07 GMT 2025","participant","Home","",""
"","154","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Sun May 11 20:13:06 GMT 2025","failed","Sun May 11 20:13:06 GMT 2025","Login","Authentication","",""
"","276","Get label","Assurdly | Receiver API","Sun May 11 20:13:18 GMT 2025","passed","Sun May 11 20:13:18 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","365","Get sites","Assurdly | Receiver API","Sun May 11 20:13:14 GMT 2025","passed","Sun May 11 20:13:14 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","542","Get Product Instance Graph","Assurdly | Receiver API","Sun May 11 20:13:11 GMT 2025","passed","Sun May 11 20:13:12 GMT 2025","","Product Instances","",""
"","1017","Login - Valid Credentials","Assurdly | Receiver API","Sun May 11 20:13:04 GMT 2025","passed","Sun May 11 20:13:05 GMT 2025","Login","Authentication","",""
"","395","Get producer record receiving - No auth","Assurdly | Receiver API","Sun May 11 20:13:19 GMT 2025","passed","Sun May 11 20:13:19 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
