"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","295","Get FQS Invalid Field","Assurdly | Producer API","Sun Jun 15 20:11:31 GMT 2025","passed","Sun Jun 15 20:11:31 GMT 2025","","FQS","",""
"","210","Get Labels","Assurdly | Producer API","Sun Jun 15 20:11:21 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","212","Get Analysis Manufacturers","Assurdly | Producer API","Sun Jun 15 20:11:30 GMT 2025","passed","Sun Jun 15 20:11:30 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","213","Get product brand category","Assurdly | Producer API","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","295","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Sun Jun 15 20:11:29 GMT 2025","passed","Sun Jun 15 20:11:30 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","246","Get Dashboard Filter","Assurdly | Producer API","Sun Jun 15 20:11:19 GMT 2025","passed","Sun Jun 15 20:11:19 GMT 2025","Overview > Stats","Dashboard","",""
"","121","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Sun Jun 15 20:11:14 GMT 2025","passed","Sun Jun 15 20:11:14 GMT 2025","Login","Authentication","",""
"","294","Get Product Instance Graph","Assurdly | Producer API","Sun Jun 15 20:11:25 GMT 2025","passed","Sun Jun 15 20:11:25 GMT 2025","","Product Instances","",""
"","211","Read Notification - Invalid Notification id","Assurdly | Producer API","Sun Jun 15 20:11:15 GMT 2025","failed","Sun Jun 15 20:11:15 GMT 2025","Notification","Home","",""
"","215","Get Total Events Count","Assurdly | Producer API","Sun Jun 15 20:11:26 GMT 2025","passed","Sun Jun 15 20:11:26 GMT 2025","","Events","",""
"","210","Set uom Preference - Empty Value","Assurdly | Producer API","Sun Jun 15 20:11:16 GMT 2025","failed","Sun Jun 15 20:11:16 GMT 2025","Preference","Home","",""
"","214","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Sun Jun 15 20:11:30 GMT 2025","passed","Sun Jun 15 20:11:30 GMT 2025","Single Event","Analysis Event","",""
"","216","Get Preference","Assurdly | Producer API","Sun Jun 15 20:11:21 GMT 2025","passed","Sun Jun 15 20:11:21 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","221","Get transform outprod","Assurdly | Producer API","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","210","Get Analysis Manufacturers","Assurdly | Producer API","Sun Jun 15 20:11:28 GMT 2025","passed","Sun Jun 15 20:11:28 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","294","Get manufacturers - No auth","Assurdly | Producer API","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:24 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","212","Get Tooltips","Assurdly | Producer API","Sun Jun 15 20:11:27 GMT 2025","passed","Sun Jun 15 20:11:27 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","213","Get manufacturers","Assurdly | Producer API","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","222","Get Analysis Product Ids","Assurdly | Producer API","Sun Jun 15 20:11:29 GMT 2025","passed","Sun Jun 15 20:11:29 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","219","Get Labels - Empty Fields","Assurdly | Producer API","Sun Jun 15 20:11:22 GMT 2025","failed","Sun Jun 15 20:11:22 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","217","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Sun Jun 15 20:11:30 GMT 2025","passed","Sun Jun 15 20:11:30 GMT 2025","Single Event","Analysis Event","",""
"","210","Get Analysis Manufacturers","Assurdly | Producer API","Sun Jun 15 20:11:29 GMT 2025","passed","Sun Jun 15 20:11:29 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","209","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Sun Jun 15 20:11:29 GMT 2025","passed","Sun Jun 15 20:11:29 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","214","Get uom Preference","Assurdly | Producer API","Sun Jun 15 20:11:15 GMT 2025","failed","Sun Jun 15 20:11:15 GMT 2025","Preference","Home","",""
"","117","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Sun Jun 15 20:11:13 GMT 2025","failed","Sun Jun 15 20:11:14 GMT 2025","Login","Authentication","",""
"","220","Get Sites","Assurdly | Producer API","Sun Jun 15 20:11:26 GMT 2025","passed","Sun Jun 15 20:11:26 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","258","Get Product Shared Government Count","Assurdly | Producer API","Sun Jun 15 20:11:19 GMT 2025","passed","Sun Jun 15 20:11:19 GMT 2025","","Shared With Government","",""
"","221","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Jun 15 20:11:28 GMT 2025","failed","Sun Jun 15 20:11:28 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","208","Set uom Preference","Assurdly | Producer API","Sun Jun 15 20:11:15 GMT 2025","failed","Sun Jun 15 20:11:16 GMT 2025","Preference","Home","",""
"","282","Get Sites","Assurdly | Producer API","Sun Jun 15 20:11:20 GMT 2025","passed","Sun Jun 15 20:11:21 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","213","Get Company Type","Assurdly | Producer API","Sun Jun 15 20:11:28 GMT 2025","passed","Sun Jun 15 20:11:28 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","211","Get Preference - Get Labels -","Assurdly | Producer API","Sun Jun 15 20:11:27 GMT 2025","failed","Sun Jun 15 20:11:27 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","212","Get Labels","Assurdly | Producer API","Sun Jun 15 20:11:27 GMT 2025","passed","Sun Jun 15 20:11:28 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","180","Tour Status","Assurdly | Producer API","Sun Jun 15 20:11:14 GMT 2025","passed","Sun Jun 15 20:11:14 GMT 2025","Tour","Home","",""
"","322","Notifications","Assurdly | Producer API","Sun Jun 15 20:11:14 GMT 2025","failed","Sun Jun 15 20:11:14 GMT 2025","Notification","Home","",""
"","522","Get FQS","Assurdly | Producer API","Sun Jun 15 20:11:31 GMT 2025","passed","Sun Jun 15 20:11:31 GMT 2025","","FQS","",""
"","216","Get Company Type","Assurdly | Producer API","Sun Jun 15 20:11:22 GMT 2025","passed","Sun Jun 15 20:11:22 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","293","Get Share FQS - No auth","Assurdly | Producer API","Sun Jun 15 20:11:32 GMT 2025","passed","Sun Jun 15 20:11:32 GMT 2025","","FQS","",""
"","222","Creating Analysis Event","Assurdly | Producer API","Sun Jun 15 20:11:30 GMT 2025","failed","Sun Jun 15 20:11:30 GMT 2025","Single Event","Analysis Event","",""
"","386","Get Product Instance Shared Government","Assurdly | Producer API","Sun Jun 15 20:11:20 GMT 2025","passed","Sun Jun 15 20:11:20 GMT 2025","","Shared With Government","",""
"","301","Read Notification - No Authorisation","Assurdly | Producer API","Sun Jun 15 20:11:15 GMT 2025","passed","Sun Jun 15 20:11:15 GMT 2025","Notification","Home","",""
"","219","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Jun 15 20:11:22 GMT 2025","failed","Sun Jun 15 20:11:22 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","215","Get all config types","Assurdly | Producer API","Sun Jun 15 20:11:21 GMT 2025","passed","Sun Jun 15 20:11:21 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","212","Get Preference - Empty Fields","Assurdly | Producer API","Sun Jun 15 20:11:27 GMT 2025","failed","Sun Jun 15 20:11:27 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","281","Create Single Event","Assurdly | Producer API","Sun Jun 15 20:11:24 GMT 2025","failed","Sun Jun 15 20:11:24 GMT 2025","Single Event","Transformation Event","",""
"","215","Get Preference","Assurdly | Producer API","Sun Jun 15 20:11:26 GMT 2025","passed","Sun Jun 15 20:11:27 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","211","Get Tooltips","Assurdly | Producer API","Sun Jun 15 20:11:21 GMT 2025","passed","Sun Jun 15 20:11:21 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","214","Get Product Instance Invalid Field","Assurdly | Producer API","Sun Jun 15 20:11:24 GMT 2025","failed","Sun Jun 15 20:11:25 GMT 2025","","Product Instances","",""
"","212","Get all config types","Assurdly | Producer API","Sun Jun 15 20:11:26 GMT 2025","passed","Sun Jun 15 20:11:26 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","294","Get product brand category - No auth","Assurdly | Producer API","Sun Jun 15 20:11:23 GMT 2025","passed","Sun Jun 15 20:11:23 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","293","Create Single Event - No Auth","Assurdly | Producer API","Sun Jun 15 20:11:24 GMT 2025","passed","Sun Jun 15 20:11:24 GMT 2025","Single Event","Transformation Event","",""
"","217","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Sun Jun 15 20:11:28 GMT 2025","passed","Sun Jun 15 20:11:29 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","214","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Sun Jun 15 20:11:25 GMT 2025","failed","Sun Jun 15 20:11:25 GMT 2025","","Product Instances","",""
"","211","Get Share FQS","Assurdly | Producer API","Sun Jun 15 20:11:32 GMT 2025","failed","Sun Jun 15 20:11:32 GMT 2025","","FQS","",""
"","213","Get Total Event Empty Field","Assurdly | Producer API","Sun Jun 15 20:11:25 GMT 2025","failed","Sun Jun 15 20:11:26 GMT 2025","","Events","",""
"","234","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Sun Jun 15 20:11:19 GMT 2025","passed","Sun Jun 15 20:11:20 GMT 2025","","Shared With Government","",""
"","212","Get Labels - Empty Fields","Assurdly | Producer API","Sun Jun 15 20:11:28 GMT 2025","failed","Sun Jun 15 20:11:28 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","202","Login - Invalid Credentials","Assurdly | Producer API","Sun Jun 15 20:11:13 GMT 2025","passed","Sun Jun 15 20:11:13 GMT 2025","Login","Authentication","",""
"","1421","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Sun Jun 15 20:11:17 GMT 2025","passed","Sun Jun 15 20:11:19 GMT 2025","Overview > Stats","Dashboard","",""
"","224","Get Product Instance Shared Government Copy","Assurdly | Producer API","Sun Jun 15 20:11:20 GMT 2025","passed","Sun Jun 15 20:11:20 GMT 2025","","Shared With Government","",""
