"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Notifications","Assurdly | Government APIs","Sun May 18 20:09:57 GMT 2025","failed","Sun May 18 20:09:57 GMT 2025","Notification","Home","",""
"","135","Read Notification","Assurdly | Government APIs","Sun May 18 20:09:57 GMT 2025","passed","Sun May 18 20:09:57 GMT 2025","Notification","Home","",""
"","1177","Login - Valid Credentials","Assurdly | Government APIs","Sun May 18 20:09:55 GMT 2025","passed","Sun May 18 20:09:56 GMT 2025","Login","Authentication","",""
"","379","Total Event","Assurdly | Government APIs","Sun May 18 20:10:06 GMT 2025","passed","Sun May 18 20:10:06 GMT 2025","","Events Records","",""
"","270","Get Product Instance List","Assurdly | Government APIs","Sun May 18 20:09:59 GMT 2025","passed","Sun May 18 20:09:59 GMT 2025","","Participant List","",""
"","127","Read Notification - Invalid Notification id","Assurdly | Government APIs","Sun May 18 20:09:57 GMT 2025","failed","Sun May 18 20:09:57 GMT 2025","Notification","Home","",""
"","309","Get Product Instance List  - No Auth","Assurdly | Government APIs","Sun May 18 20:10:00 GMT 2025","passed","Sun May 18 20:10:01 GMT 2025","","Product Instances","",""
"","223","Get Company Type","Assurdly | Government APIs","Sun May 18 20:10:03 GMT 2025","passed","Sun May 18 20:10:04 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","284","Get Producer Activity","Assurdly | Government APIs","Sun May 18 20:10:00 GMT 2025","passed","Sun May 18 20:10:00 GMT 2025","","Participant Activity","",""
"","227","Site Overview","Assurdly | Government APIs","Sun May 18 20:10:01 GMT 2025","passed","Sun May 18 20:10:01 GMT 2025","","Site Overview","",""
"","260","Get Sites","Assurdly | Government APIs","Sun May 18 20:10:01 GMT 2025","passed","Sun May 18 20:10:01 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","230","Get Preference","Assurdly | Government APIs","Sun May 18 20:10:02 GMT 2025","passed","Sun May 18 20:10:02 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","223","Total Events Count","Assurdly | Government APIs","Sun May 18 20:10:07 GMT 2025","passed","Sun May 18 20:10:07 GMT 2025","","Events Records","",""
"","224","Dashboard Filter","Assurdly | Government APIs","Sun May 18 20:09:58 GMT 2025","failed","Sun May 18 20:09:59 GMT 2025","Stats","Dashboard","",""
"","311","Site Overview - No auth","Assurdly | Government APIs","Sun May 18 20:10:01 GMT 2025","passed","Sun May 18 20:10:01 GMT 2025","","Site Overview","",""
"","266","Get Product Instance List","Assurdly | Government APIs","Sun May 18 20:10:00 GMT 2025","passed","Sun May 18 20:10:00 GMT 2025","","Product Instances","",""
"","221","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Sun May 18 20:10:03 GMT 2025","failed","Sun May 18 20:10:03 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","209","Login - Invalid Credentials","Assurdly | Government APIs","Sun May 18 20:09:56 GMT 2025","passed","Sun May 18 20:09:57 GMT 2025","Login","Authentication","",""
"","311","Get Product Instance List Copy","Assurdly | Government APIs","Sun May 18 20:09:59 GMT 2025","passed","Sun May 18 20:10:00 GMT 2025","","Participant List","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","224","Total Event - Empty Fields","Assurdly | Government APIs","Sun May 18 20:10:06 GMT 2025","failed","Sun May 18 20:10:07 GMT 2025","","Events Records","",""
"","225","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Sun May 18 20:10:04 GMT 2025","passed","Sun May 18 20:10:04 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","227","Creating Analysis Event","Assurdly | Government APIs","Sun May 18 20:10:05 GMT 2025","failed","Sun May 18 20:10:05 GMT 2025","Single Event","Analysis Event","",""
"","222","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Sun May 18 20:10:06 GMT 2025","passed","Sun May 18 20:10:06 GMT 2025","Single Event","Analysis Event","",""
"","229","Get Labels - Empty Fields","Assurdly | Government APIs","Sun May 18 20:10:03 GMT 2025","failed","Sun May 18 20:10:03 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","229","Get all config types","Assurdly | Government APIs","Sun May 18 20:10:02 GMT 2025","passed","Sun May 18 20:10:02 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","226","Get Analysis Manufacturers","Assurdly | Government APIs","Sun May 18 20:10:05 GMT 2025","passed","Sun May 18 20:10:05 GMT 2025","Analysis Instance Ids","Analysis Event","",""
