"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","272","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Wed Jun 11 18:50:08 GMT 2025","failed","Wed Jun 11 18:50:08 GMT 2025","","Product Instances","",""
"","275","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Wed Jun 11 18:50:15 GMT 2025","passed","Wed Jun 11 18:50:15 GMT 2025","Single Event","Analysis Event","",""
"","264","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Wed Jun 11 18:50:13 GMT 2025","passed","Wed Jun 11 18:50:13 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","378","Get Product Instance Graph","Assurdly | Producer API","Wed Jun 11 18:50:08 GMT 2025","passed","Wed Jun 11 18:50:09 GMT 2025","","Product Instances","",""
"","271","Get Analysis Manufacturers","Assurdly | Producer API","Wed Jun 11 18:50:14 GMT 2025","passed","Wed Jun 11 18:50:14 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","270","Get Total Events Count Empty Field","Assurdly | Producer API","Wed Jun 11 18:50:09 GMT 2025","failed","Wed Jun 11 18:50:10 GMT 2025","","Events","",""
"","321","Get Sites","Assurdly | Producer API","Wed Jun 11 18:50:02 GMT 2025","passed","Wed Jun 11 18:50:03 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","276","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Wed Jun 11 18:50:04 GMT 2025","failed","Wed Jun 11 18:50:05 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","1083","Login - Valid Credentials","Assurdly | Producer API","Wed Jun 11 18:49:53 GMT 2025","passed","Wed Jun 11 18:49:54 GMT 2025","Login","Authentication","",""
"","305","Get Dashboard Filter","Assurdly | Producer API","Wed Jun 11 18:50:01 GMT 2025","passed","Wed Jun 11 18:50:01 GMT 2025","Overview > Stats","Dashboard","",""
"","282","Get transform outprod","Assurdly | Producer API","Wed Jun 11 18:50:05 GMT 2025","passed","Wed Jun 11 18:50:05 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","280","Get Analysis Product Ids","Assurdly | Producer API","Wed Jun 11 18:50:13 GMT 2025","passed","Wed Jun 11 18:50:13 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","275","Get Labels - Empty Fields","Assurdly | Producer API","Wed Jun 11 18:50:12 GMT 2025","failed","Wed Jun 11 18:50:12 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","271","Read Notification","Assurdly | Producer API","Wed Jun 11 18:49:56 GMT 2025","passed","Wed Jun 11 18:49:56 GMT 2025","Notification","Home","",""
"","272","Read Notification - Invalid Notification id","Assurdly | Producer API","Wed Jun 11 18:49:56 GMT 2025","failed","Wed Jun 11 18:49:56 GMT 2025","Notification","Home","",""
"","269","Get Labels","Assurdly | Producer API","Wed Jun 11 18:50:04 GMT 2025","passed","Wed Jun 11 18:50:04 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","270","Get Sites","Assurdly | Producer API","Wed Jun 11 18:50:10 GMT 2025","passed","Wed Jun 11 18:50:10 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","270","Get Total Event Empty Field","Assurdly | Producer API","Wed Jun 11 18:50:09 GMT 2025","failed","Wed Jun 11 18:50:09 GMT 2025","","Events","",""
"","444","Get Product Instance Shared Government","Assurdly | Producer API","Wed Jun 11 18:50:02 GMT 2025","passed","Wed Jun 11 18:50:02 GMT 2025","","Shared With Government","",""
"","383","Get product brand category - No auth","Assurdly | Producer API","Wed Jun 11 18:50:06 GMT 2025","passed","Wed Jun 11 18:50:06 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","269","Get Share FQS","Assurdly | Producer API","Wed Jun 11 18:50:16 GMT 2025","failed","Wed Jun 11 18:50:17 GMT 2025","","FQS","",""
"","268","Get Tooltips","Assurdly | Producer API","Wed Jun 11 18:50:11 GMT 2025","passed","Wed Jun 11 18:50:11 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","271","Get Tooltips","Assurdly | Producer API","Wed Jun 11 18:50:04 GMT 2025","passed","Wed Jun 11 18:50:04 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","1480","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Wed Jun 11 18:49:59 GMT 2025","passed","Wed Jun 11 18:50:01 GMT 2025","Overview > Stats","Dashboard","",""
"","383","Get Total Event","Assurdly | Producer API","Wed Jun 11 18:50:09 GMT 2025","passed","Wed Jun 11 18:50:09 GMT 2025","","Events","",""
"","280","Participant Details","Assurdly | Producer API","Wed Jun 11 18:49:55 GMT 2025","passed","Wed Jun 11 18:49:55 GMT 2025","participant","Home","",""
"","146","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Wed Jun 11 18:49:55 GMT 2025","failed","Wed Jun 11 18:49:55 GMT 2025","Login","Authentication","",""
"","272","Get Company Type","Assurdly | Producer API","Wed Jun 11 18:50:05 GMT 2025","passed","Wed Jun 11 18:50:05 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","229","Login - Invalid Credentials","Assurdly | Producer API","Wed Jun 11 18:49:54 GMT 2025","passed","Wed Jun 11 18:49:55 GMT 2025","Login","Authentication","",""
"","271","Get Total Events Count","Assurdly | Producer API","Wed Jun 11 18:50:09 GMT 2025","passed","Wed Jun 11 18:50:09 GMT 2025","","Events","",""
"","378","Get FQS Invalid Field","Assurdly | Producer API","Wed Jun 11 18:50:16 GMT 2025","passed","Wed Jun 11 18:50:16 GMT 2025","","FQS","",""
"","309","Create Single Event","Assurdly | Producer API","Wed Jun 11 18:50:07 GMT 2025","failed","Wed Jun 11 18:50:07 GMT 2025","Single Event","Transformation Event","",""
"","280","Get Labels - Empty Fields","Assurdly | Producer API","Wed Jun 11 18:50:04 GMT 2025","failed","Wed Jun 11 18:50:04 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","284","Get Product Instance Shared Government Copy","Assurdly | Producer API","Wed Jun 11 18:50:02 GMT 2025","passed","Wed Jun 11 18:50:02 GMT 2025","","Shared With Government","",""
"","385","Read Notification - No Authorisation","Assurdly | Producer API","Wed Jun 11 18:49:56 GMT 2025","passed","Wed Jun 11 18:49:57 GMT 2025","Notification","Home","",""
"","409","Notifications","Assurdly | Producer API","Wed Jun 11 18:49:55 GMT 2025","failed","Wed Jun 11 18:49:56 GMT 2025","Notification","Home","",""
"","271","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Wed Jun 11 18:50:15 GMT 2025","passed","Wed Jun 11 18:50:15 GMT 2025","Single Event","Analysis Event","",""
"","382","Get manufacturers - No auth","Assurdly | Producer API","Wed Jun 11 18:50:06 GMT 2025","passed","Wed Jun 11 18:50:07 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","305","Get FQS","Assurdly | Producer API","Wed Jun 11 18:50:16 GMT 2025","passed","Wed Jun 11 18:50:16 GMT 2025","","FQS","",""
"","268","Get Preference - Get Labels -","Assurdly | Producer API","Wed Jun 11 18:50:11 GMT 2025","failed","Wed Jun 11 18:50:11 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","381","Get Share FQS - No auth","Assurdly | Producer API","Wed Jun 11 18:50:17 GMT 2025","passed","Wed Jun 11 18:50:17 GMT 2025","","FQS","",""
"","266","Set uom Preference - Empty Value","Assurdly | Producer API","Wed Jun 11 18:49:57 GMT 2025","failed","Wed Jun 11 18:49:58 GMT 2025","Preference","Home","",""
"","359","Get Product Instance List","Assurdly | Producer API","Wed Jun 11 18:50:07 GMT 2025","passed","Wed Jun 11 18:50:08 GMT 2025","","Product Instances","",""
"","271","Get product brand category","Assurdly | Producer API","Wed Jun 11 18:50:05 GMT 2025","passed","Wed Jun 11 18:50:06 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","268","Get Preference - Empty Fields","Assurdly | Producer API","Wed Jun 11 18:50:11 GMT 2025","failed","Wed Jun 11 18:50:11 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","271","Get Product Instance Invalid Field","Assurdly | Producer API","Wed Jun 11 18:50:08 GMT 2025","failed","Wed Jun 11 18:50:08 GMT 2025","","Product Instances","",""
