"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1550","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Wed Apr 23 18:49:09 GMT 2025","passed","Wed Apr 23 18:49:11 GMT 2025","Overview > Stats","Dashboard","",""
"","191","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Wed Apr 23 18:49:04 GMT 2025","passed","Wed Apr 23 18:49:04 GMT 2025","Login","Authentication","",""
"","547","Get Product Instance Shared Government","Assurdly | Producer API","Wed Apr 23 18:49:12 GMT 2025","passed","Wed Apr 23 18:49:12 GMT 2025","","Shared With Government","",""
"","352","Get Analysis Manufacturers","Assurdly | Producer API","Wed Apr 23 18:49:26 GMT 2025","passed","Wed Apr 23 18:49:26 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","358","Get Labels - Empty Fields","Assurdly | Producer API","Wed Apr 23 18:49:25 GMT 2025","failed","Wed Apr 23 18:49:25 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","360","Get Tooltips","Assurdly | Producer API","Wed Apr 23 18:49:24 GMT 2025","passed","Wed Apr 23 18:49:25 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","541","Notifications","Assurdly | Producer API","Wed Apr 23 18:49:04 GMT 2025","failed","Wed Apr 23 18:49:05 GMT 2025","Notification","Home","",""
"","458","Get Product Instance List","Assurdly | Producer API","Wed Apr 23 18:49:19 GMT 2025","passed","Wed Apr 23 18:49:20 GMT 2025","","Product Instances","",""
"","363","Creating Analysis Event","Assurdly | Producer API","Wed Apr 23 18:49:29 GMT 2025","failed","Wed Apr 23 18:49:29 GMT 2025","Single Event","Analysis Event","",""
"","355","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Wed Apr 23 18:49:26 GMT 2025","passed","Wed Apr 23 18:49:27 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","396","Create Single Event","Assurdly | Producer API","Wed Apr 23 18:49:18 GMT 2025","failed","Wed Apr 23 18:49:19 GMT 2025","Single Event","Transformation Event","",""
"","223","Tour Status","Assurdly | Producer API","Wed Apr 23 18:49:04 GMT 2025","passed","Wed Apr 23 18:49:04 GMT 2025","Tour","Home","",""
"","506","Get FQS Invalid Field","Assurdly | Producer API","Wed Apr 23 18:49:31 GMT 2025","passed","Wed Apr 23 18:49:31 GMT 2025","","FQS","",""
"","357","Get Company Type","Assurdly | Producer API","Wed Apr 23 18:49:16 GMT 2025","passed","Wed Apr 23 18:49:16 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","360","Get Total Event Empty Field","Assurdly | Producer API","Wed Apr 23 18:49:21 GMT 2025","failed","Wed Apr 23 18:49:22 GMT 2025","","Events","",""
"","364","Get Analysis Product Ids","Assurdly | Producer API","Wed Apr 23 18:49:27 GMT 2025","passed","Wed Apr 23 18:49:27 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","359","Get Preference","Assurdly | Producer API","Wed Apr 23 18:49:14 GMT 2025","passed","Wed Apr 23 18:49:14 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","415","Get Product Shared Government Count","Assurdly | Producer API","Wed Apr 23 18:49:11 GMT 2025","passed","Wed Apr 23 18:49:12 GMT 2025","","Shared With Government","",""
"","411","Get FQS","Assurdly | Producer API","Wed Apr 23 18:49:30 GMT 2025","passed","Wed Apr 23 18:49:31 GMT 2025","","FQS","",""
"","360","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Wed Apr 23 18:49:15 GMT 2025","failed","Wed Apr 23 18:49:16 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","356","Get transform outprod","Assurdly | Producer API","Wed Apr 23 18:49:16 GMT 2025","passed","Wed Apr 23 18:49:16 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","356","Get Labels","Assurdly | Producer API","Wed Apr 23 18:49:15 GMT 2025","passed","Wed Apr 23 18:49:15 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","503","Get Total Event","Assurdly | Producer API","Wed Apr 23 18:49:21 GMT 2025","passed","Wed Apr 23 18:49:21 GMT 2025","","Events","",""
"","354","Get manufacturers","Assurdly | Producer API","Wed Apr 23 18:49:17 GMT 2025","passed","Wed Apr 23 18:49:18 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","1830","Get Dashboard Statistics","Assurdly | Producer API","Wed Apr 23 18:49:07 GMT 2025","passed","Wed Apr 23 18:49:09 GMT 2025","Overview > Stats","Dashboard","",""
"","508","Get manufacturers - No auth","Assurdly | Producer API","Wed Apr 23 18:49:18 GMT 2025","passed","Wed Apr 23 18:49:18 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","362","Get all config types","Assurdly | Producer API","Wed Apr 23 18:49:23 GMT 2025","passed","Wed Apr 23 18:49:23 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","362","Set uom Preference - Empty Value","Assurdly | Producer API","Wed Apr 23 18:49:07 GMT 2025","passed","Wed Apr 23 18:49:07 GMT 2025","Preference","Home","",""
"","1121","Login - Valid Credentials","Assurdly | Producer API","Wed Apr 23 18:49:02 GMT 2025","passed","Wed Apr 23 18:49:03 GMT 2025","Login","Authentication","",""
"","360","Get Preference","Assurdly | Producer API","Wed Apr 23 18:49:23 GMT 2025","passed","Wed Apr 23 18:49:24 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","356","Get Analysis Manufacturers","Assurdly | Producer API","Wed Apr 23 18:49:28 GMT 2025","passed","Wed Apr 23 18:49:29 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","362","Get uom Preference","Assurdly | Producer API","Wed Apr 23 18:49:06 GMT 2025","failed","Wed Apr 23 18:49:07 GMT 2025","Preference","Home","",""
"","360","Get Total Events Count","Assurdly | Producer API","Wed Apr 23 18:49:22 GMT 2025","passed","Wed Apr 23 18:49:22 GMT 2025","","Events","",""
"","357","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Wed Apr 23 18:49:29 GMT 2025","passed","Wed Apr 23 18:49:30 GMT 2025","Single Event","Analysis Event","",""
"","355","Get Preference - Get Labels -","Assurdly | Producer API","Wed Apr 23 18:49:24 GMT 2025","failed","Wed Apr 23 18:49:24 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","356","Get Tooltips","Assurdly | Producer API","Wed Apr 23 18:49:14 GMT 2025","passed","Wed Apr 23 18:49:15 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","378","Participant Details","Assurdly | Producer API","Wed Apr 23 18:49:04 GMT 2025","passed","Wed Apr 23 18:49:04 GMT 2025","participant","Home","",""
"","510","Get Share FQS - No auth","Assurdly | Producer API","Wed Apr 23 18:49:32 GMT 2025","passed","Wed Apr 23 18:49:32 GMT 2025","","FQS","",""
"","358","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Wed Apr 23 18:49:29 GMT 2025","passed","Wed Apr 23 18:49:29 GMT 2025","Single Event","Analysis Event","",""
"","354","Get Preference - Empty Fields","Assurdly | Producer API","Wed Apr 23 18:49:24 GMT 2025","failed","Wed Apr 23 18:49:24 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","358","Get Analysis Manufacturers","Assurdly | Producer API","Wed Apr 23 18:49:27 GMT 2025","passed","Wed Apr 23 18:49:28 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","362","Read Notification - Invalid Notification id","Assurdly | Producer API","Wed Apr 23 18:49:05 GMT 2025","failed","Wed Apr 23 18:49:06 GMT 2025","Notification","Home","",""
"","262","Login - Invalid Credentials","Assurdly | Producer API","Wed Apr 23 18:49:03 GMT 2025","passed","Wed Apr 23 18:49:03 GMT 2025","Login","Authentication","",""
"","355","Create Bulk Event","Assurdly | Producer API","Wed Apr 23 18:49:30 GMT 2025","failed","Wed Apr 23 18:49:30 GMT 2025","","Analysis Event","",""
"","191","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Wed Apr 23 18:49:03 GMT 2025","failed","Wed Apr 23 18:49:04 GMT 2025","Login","Authentication","",""
"","363","Get Labels - Empty Fields","Assurdly | Producer API","Wed Apr 23 18:49:15 GMT 2025","failed","Wed Apr 23 18:49:15 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","357","Get product brand category","Assurdly | Producer API","Wed Apr 23 18:49:16 GMT 2025","passed","Wed Apr 23 18:49:17 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","367","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Wed Apr 23 18:49:20 GMT 2025","failed","Wed Apr 23 18:49:20 GMT 2025","","Product Instances","",""
"","507","Create Single Event - No Auth","Assurdly | Producer API","Wed Apr 23 18:49:19 GMT 2025","passed","Wed Apr 23 18:49:19 GMT 2025","Single Event","Transformation Event","",""
"","357","Get all config types","Assurdly | Producer API","Wed Apr 23 18:49:13 GMT 2025","passed","Wed Apr 23 18:49:14 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","354","Get Labels","Assurdly | Producer API","Wed Apr 23 18:49:25 GMT 2025","passed","Wed Apr 23 18:49:25 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","356","Get Share FQS Invalid Field","Assurdly | Producer API","Wed Apr 23 18:49:31 GMT 2025","passed","Wed Apr 23 18:49:32 GMT 2025","","FQS","",""
"","376","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Wed Apr 23 18:49:12 GMT 2025","passed","Wed Apr 23 18:49:12 GMT 2025","","Shared With Government","",""
"","365","Get Product Instance Invalid Field","Assurdly | Producer API","Wed Apr 23 18:49:20 GMT 2025","failed","Wed Apr 23 18:49:20 GMT 2025","","Product Instances","",""
"","358","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Wed Apr 23 18:49:27 GMT 2025","passed","Wed Apr 23 18:49:27 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","370","Set uom Preference","Assurdly | Producer API","Wed Apr 23 18:49:07 GMT 2025","passed","Wed Apr 23 18:49:07 GMT 2025","Preference","Home","",""
"","352","Get Company Type","Assurdly | Producer API","Wed Apr 23 18:49:26 GMT 2025","passed","Wed Apr 23 18:49:26 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","507","Get Product Instance Graph","Assurdly | Producer API","Wed Apr 23 18:49:20 GMT 2025","passed","Wed Apr 23 18:49:21 GMT 2025","","Product Instances","",""
"","515","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Wed Apr 23 18:49:28 GMT 2025","passed","Wed Apr 23 18:49:28 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","401","Get Dashboard Filter","Assurdly | Producer API","Wed Apr 23 18:49:11 GMT 2025","passed","Wed Apr 23 18:49:11 GMT 2025","Overview > Stats","Dashboard","",""
