"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","Get Total Events Count Empty Field","Assurdly | Producer API","Sun May 04 20:10:54 GMT 2025","failed","Sun May 04 20:10:54 GMT 2025","","Events","",""
"","355","Get Company Type","Assurdly | Producer API","Sun May 04 20:10:58 GMT 2025","passed","Sun May 04 20:10:58 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","1556","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Sun May 04 20:10:41 GMT 2025","passed","Sun May 04 20:10:43 GMT 2025","Overview > Stats","Dashboard","",""
"","353","Get Preference","Assurdly | Producer API","Sun May 04 20:10:46 GMT 2025","passed","Sun May 04 20:10:46 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","501","Get product brand category - No auth","Assurdly | Producer API","Sun May 04 20:10:49 GMT 2025","passed","Sun May 04 20:10:49 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","353","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun May 04 20:10:57 GMT 2025","failed","Sun May 04 20:10:58 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","363","Get Labels - Empty Fields","Assurdly | Producer API","Sun May 04 20:10:57 GMT 2025","failed","Sun May 04 20:10:57 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","374","Participant Details","Assurdly | Producer API","Sun May 04 20:10:36 GMT 2025","passed","Sun May 04 20:10:36 GMT 2025","participant","Home","",""
"","265","Login - Invalid Credentials","Assurdly | Producer API","Sun May 04 20:10:35 GMT 2025","passed","Sun May 04 20:10:35 GMT 2025","Login","Authentication","",""
"","545","Get Product Instance Shared Government","Assurdly | Producer API","Sun May 04 20:10:44 GMT 2025","passed","Sun May 04 20:10:44 GMT 2025","","Shared With Government","",""
"","375","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Sun May 04 20:10:43 GMT 2025","passed","Sun May 04 20:10:44 GMT 2025","","Shared With Government","",""
"","509","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Sun May 04 20:11:00 GMT 2025","passed","Sun May 04 20:11:00 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","355","Get Labels","Assurdly | Producer API","Sun May 04 20:10:47 GMT 2025","passed","Sun May 04 20:10:47 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","352","Get Labels - Empty Fields","Assurdly | Producer API","Sun May 04 20:10:47 GMT 2025","failed","Sun May 04 20:10:47 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","351","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Sun May 04 20:10:59 GMT 2025","passed","Sun May 04 20:10:59 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","352","Get Analysis Manufacturers","Assurdly | Producer API","Sun May 04 20:11:00 GMT 2025","passed","Sun May 04 20:11:01 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","1090","Login - Valid Credentials","Assurdly | Producer API","Sun May 04 20:10:34 GMT 2025","passed","Sun May 04 20:10:35 GMT 2025","Login","Authentication","",""
"","358","Get Total Events Count","Assurdly | Producer API","Sun May 04 20:10:54 GMT 2025","passed","Sun May 04 20:10:54 GMT 2025","","Events","",""
"","352","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Sun May 04 20:11:01 GMT 2025","passed","Sun May 04 20:11:01 GMT 2025","Single Event","Analysis Event","",""
"","359","Get Total Event Empty Field","Assurdly | Producer API","Sun May 04 20:10:53 GMT 2025","failed","Sun May 04 20:10:54 GMT 2025","","Events","",""
"","514","Read Notification - No Authorisation","Assurdly | Producer API","Sun May 04 20:10:38 GMT 2025","passed","Sun May 04 20:10:38 GMT 2025","Notification","Home","",""
"","189","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Sun May 04 20:10:35 GMT 2025","failed","Sun May 04 20:10:36 GMT 2025","Login","Authentication","",""
"","356","Get Share FQS Invalid Field","Assurdly | Producer API","Sun May 04 20:11:03 GMT 2025","passed","Sun May 04 20:11:04 GMT 2025","","FQS","",""
"","358","Creating Analysis Event","Assurdly | Producer API","Sun May 04 20:11:01 GMT 2025","failed","Sun May 04 20:11:01 GMT 2025","Single Event","Analysis Event","",""
"","361","Get Product Instance Invalid Field","Assurdly | Producer API","Sun May 04 20:10:51 GMT 2025","failed","Sun May 04 20:10:52 GMT 2025","","Product Instances","",""
"","359","Set uom Preference","Assurdly | Producer API","Sun May 04 20:10:39 GMT 2025","passed","Sun May 04 20:10:39 GMT 2025","Preference","Home","",""
"","351","Get product brand category","Assurdly | Producer API","Sun May 04 20:10:48 GMT 2025","passed","Sun May 04 20:10:49 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","352","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun May 04 20:10:47 GMT 2025","failed","Sun May 04 20:10:48 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","504","Get Share FQS - No auth","Assurdly | Producer API","Sun May 04 20:11:04 GMT 2025","passed","Sun May 04 20:11:04 GMT 2025","","FQS","",""
"","455","Get Product Instance List","Assurdly | Producer API","Sun May 04 20:10:51 GMT 2025","passed","Sun May 04 20:10:51 GMT 2025","","Product Instances","",""
"","357","Get uom Preference","Assurdly | Producer API","Sun May 04 20:10:38 GMT 2025","failed","Sun May 04 20:10:39 GMT 2025","Preference","Home","",""
"","191","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Sun May 04 20:10:36 GMT 2025","passed","Sun May 04 20:10:36 GMT 2025","Login","Authentication","",""
"","347","Create Bulk Event","Assurdly | Producer API","Sun May 04 20:11:02 GMT 2025","failed","Sun May 04 20:11:02 GMT 2025","","Analysis Event","",""
"","503","Get Total Event","Assurdly | Producer API","Sun May 04 20:10:53 GMT 2025","passed","Sun May 04 20:10:53 GMT 2025","","Events","",""
"","355","Set uom Preference - Empty Value","Assurdly | Producer API","Sun May 04 20:10:39 GMT 2025","passed","Sun May 04 20:10:39 GMT 2025","Preference","Home","",""
"","1845","Get Dashboard Statistics","Assurdly | Producer API","Sun May 04 20:10:39 GMT 2025","passed","Sun May 04 20:10:41 GMT 2025","Overview > Stats","Dashboard","",""
"","358","Get all config types","Assurdly | Producer API","Sun May 04 20:10:55 GMT 2025","passed","Sun May 04 20:10:55 GMT 2025","Analysis > Config Types","Analysis Event","",""
