"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","223","Get Product Instance Invalid Field","Assurdly | Producer API","Sun Jun 08 20:11:13 GMT 2025","failed","Sun Jun 08 20:11:13 GMT 2025","","Product Instances","",""
"","230","Creating Analysis Event","Assurdly | Producer API","Sun Jun 08 20:11:19 GMT 2025","failed","Sun Jun 08 20:11:19 GMT 2025","Single Event","Analysis Event","",""
"","226","Get Company Type","Assurdly | Producer API","Sun Jun 08 20:11:11 GMT 2025","passed","Sun Jun 08 20:11:11 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","309","Get Share FQS - No auth","Assurdly | Producer API","Sun Jun 08 20:11:21 GMT 2025","passed","Sun Jun 08 20:11:21 GMT 2025","","FQS","",""
"","241","Participant Details","Assurdly | Producer API","Sun Jun 08 20:11:02 GMT 2025","passed","Sun Jun 08 20:11:02 GMT 2025","participant","Home","",""
"","223","Get manufacturers","Assurdly | Producer API","Sun Jun 08 20:11:12 GMT 2025","passed","Sun Jun 08 20:11:12 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","236","Get Analysis Product Ids","Assurdly | Producer API","Sun Jun 08 20:11:18 GMT 2025","passed","Sun Jun 08 20:11:18 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","326","Read Notification - No Authorisation","Assurdly | Producer API","Sun Jun 08 20:11:03 GMT 2025","passed","Sun Jun 08 20:11:04 GMT 2025","Notification","Home","",""
"","223","Set uom Preference - Empty Value","Assurdly | Producer API","Sun Jun 08 20:11:04 GMT 2025","failed","Sun Jun 08 20:11:04 GMT 2025","Preference","Home","",""
"","343","Notifications","Assurdly | Producer API","Sun Jun 08 20:11:02 GMT 2025","failed","Sun Jun 08 20:11:03 GMT 2025","Notification","Home","",""
"","283","Get Product Instance List","Assurdly | Producer API","Sun Jun 08 20:11:13 GMT 2025","passed","Sun Jun 08 20:11:13 GMT 2025","","Product Instances","",""
"","225","Get Preference - Empty Fields","Assurdly | Producer API","Sun Jun 08 20:11:10 GMT 2025","failed","Sun Jun 08 20:11:10 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","224","Set uom Preference","Assurdly | Producer API","Sun Jun 08 20:11:04 GMT 2025","failed","Sun Jun 08 20:11:04 GMT 2025","Preference","Home","",""
"","272","Get Product Shared Government Count","Assurdly | Producer API","Sun Jun 08 20:11:08 GMT 2025","passed","Sun Jun 08 20:11:08 GMT 2025","","Shared With Government","",""
"","217","Create Bulk Event","Assurdly | Producer API","Sun Jun 08 20:11:20 GMT 2025","failed","Sun Jun 08 20:11:20 GMT 2025","","Analysis Event","",""
"","1430","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Sun Jun 08 20:11:06 GMT 2025","passed","Sun Jun 08 20:11:07 GMT 2025","Overview > Stats","Dashboard","",""
"","237","Get Product Instance Shared Government Copy","Assurdly | Producer API","Sun Jun 08 20:11:09 GMT 2025","passed","Sun Jun 08 20:11:09 GMT 2025","","Shared With Government","",""
"","233","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Sun Jun 08 20:11:19 GMT 2025","passed","Sun Jun 08 20:11:20 GMT 2025","Single Event","Analysis Event","",""
"","251","Tour Status","Assurdly | Producer API","Sun Jun 08 20:11:02 GMT 2025","passed","Sun Jun 08 20:11:02 GMT 2025","Tour","Home","",""
"","312","Get product brand category - No auth","Assurdly | Producer API","Sun Jun 08 20:11:11 GMT 2025","passed","Sun Jun 08 20:11:12 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","230","Get transform outprod","Assurdly | Producer API","Sun Jun 08 20:11:11 GMT 2025","passed","Sun Jun 08 20:11:11 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","226","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Jun 08 20:11:17 GMT 2025","failed","Sun Jun 08 20:11:17 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","229","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Sun Jun 08 20:11:18 GMT 2025","passed","Sun Jun 08 20:11:18 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","195","Login - Invalid Credentials","Assurdly | Producer API","Sun Jun 08 20:11:01 GMT 2025","passed","Sun Jun 08 20:11:02 GMT 2025","Login","Authentication","",""
"","226","Get Total Events Count","Assurdly | Producer API","Sun Jun 08 20:11:14 GMT 2025","passed","Sun Jun 08 20:11:15 GMT 2025","","Events","",""
"","317","Get Total Event","Assurdly | Producer API","Sun Jun 08 20:11:14 GMT 2025","passed","Sun Jun 08 20:11:14 GMT 2025","","Events","",""
"","223","Get Analysis Manufacturers","Assurdly | Producer API","Sun Jun 08 20:11:19 GMT 2025","passed","Sun Jun 08 20:11:19 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","217","Get Share FQS Invalid Field","Assurdly | Producer API","Sun Jun 08 20:11:21 GMT 2025","passed","Sun Jun 08 20:11:21 GMT 2025","","FQS","",""
"","229","Get Preference","Assurdly | Producer API","Sun Jun 08 20:11:09 GMT 2025","passed","Sun Jun 08 20:11:10 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","220","Get Labels","Assurdly | Producer API","Sun Jun 08 20:11:16 GMT 2025","passed","Sun Jun 08 20:11:17 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","233","Read Notification","Assurdly | Producer API","Sun Jun 08 20:11:03 GMT 2025","passed","Sun Jun 08 20:11:03 GMT 2025","Notification","Home","",""
"","229","Get Share FQS","Assurdly | Producer API","Sun Jun 08 20:11:20 GMT 2025","failed","Sun Jun 08 20:11:21 GMT 2025","","FQS","",""
"","228","Get Sites","Assurdly | Producer API","Sun Jun 08 20:11:15 GMT 2025","passed","Sun Jun 08 20:11:15 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","1707","Get Dashboard Statistics","Assurdly | Producer API","Sun Jun 08 20:11:04 GMT 2025","passed","Sun Jun 08 20:11:06 GMT 2025","Overview > Stats","Dashboard","",""
"","229","Get Tooltips","Assurdly | Producer API","Sun Jun 08 20:11:16 GMT 2025","passed","Sun Jun 08 20:11:16 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","229","Get Labels","Assurdly | Producer API","Sun Jun 08 20:11:10 GMT 2025","passed","Sun Jun 08 20:11:10 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","224","Get Tooltips","Assurdly | Producer API","Sun Jun 08 20:11:10 GMT 2025","passed","Sun Jun 08 20:11:10 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","226","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Jun 08 20:11:11 GMT 2025","failed","Sun Jun 08 20:11:11 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","309","Get Product Instance Graph","Assurdly | Producer API","Sun Jun 08 20:11:14 GMT 2025","passed","Sun Jun 08 20:11:14 GMT 2025","","Product Instances","",""
"","133","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Sun Jun 08 20:11:02 GMT 2025","passed","Sun Jun 08 20:11:02 GMT 2025","Login","Authentication","",""
"","930","Login - Valid Credentials","Assurdly | Producer API","Sun Jun 08 20:11:01 GMT 2025","passed","Sun Jun 08 20:11:01 GMT 2025","Login","Authentication","",""
"","226","Get Company Type","Assurdly | Producer API","Sun Jun 08 20:11:17 GMT 2025","passed","Sun Jun 08 20:11:17 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","264","Get FQS","Assurdly | Producer API","Sun Jun 08 20:11:20 GMT 2025","passed","Sun Jun 08 20:11:20 GMT 2025","","FQS","",""
"","224","Get Total Events Count Empty Field","Assurdly | Producer API","Sun Jun 08 20:11:15 GMT 2025","failed","Sun Jun 08 20:11:15 GMT 2025","","Events","",""
"","394","Get Product Instance Shared Government","Assurdly | Producer API","Sun Jun 08 20:11:08 GMT 2025","passed","Sun Jun 08 20:11:09 GMT 2025","","Shared With Government","",""
"","227","Get all config types","Assurdly | Producer API","Sun Jun 08 20:11:09 GMT 2025","passed","Sun Jun 08 20:11:09 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","228","Get Labels - Empty Fields","Assurdly | Producer API","Sun Jun 08 20:11:17 GMT 2025","failed","Sun Jun 08 20:11:17 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
