"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","269","Total Event","Assurdly | Government APIs","Sun Jun 08 20:09:39 GMT 2025","passed","Sun Jun 08 20:09:39 GMT 2025","","Events Records","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","216","Total Event - Empty Fields","Assurdly | Government APIs","Sun Jun 08 20:09:39 GMT 2025","failed","Sun Jun 08 20:09:39 GMT 2025","","Events Records","",""
"","220","Get Preference","Assurdly | Government APIs","Sun Jun 08 20:09:31 GMT 2025","failed","Sun Jun 08 20:09:31 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","216","Get Analysis Manufacturers","Assurdly | Government APIs","Sun Jun 08 20:09:37 GMT 2025","passed","Sun Jun 08 20:09:37 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","218","Get Labels","Assurdly | Government APIs","Sun Jun 08 20:09:35 GMT 2025","passed","Sun Jun 08 20:09:36 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","217","Total Events Count - Empty Fields","Assurdly | Government APIs","Sun Jun 08 20:09:39 GMT 2025","failed","Sun Jun 08 20:09:40 GMT 2025","","Events Records","",""
"","220","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Sun Jun 08 20:09:32 GMT 2025","failed","Sun Jun 08 20:09:32 GMT 2025","Stats","Dashboard","",""
"","219","Get Analysis Manufacturers","Assurdly | Government APIs","Sun Jun 08 20:09:36 GMT 2025","passed","Sun Jun 08 20:09:37 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","221","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Sun Jun 08 20:09:38 GMT 2025","passed","Sun Jun 08 20:09:38 GMT 2025","Single Event","Analysis Event","",""
"","124","Read Notification - Invalid Notification id","Assurdly | Government APIs","Sun Jun 08 20:09:30 GMT 2025","failed","Sun Jun 08 20:09:30 GMT 2025","Notification","Home","",""
"","125","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Sun Jun 08 20:09:30 GMT 2025","passed","Sun Jun 08 20:09:30 GMT 2025","Login","Authentication","",""
"","299","Site Overview - No auth","Assurdly | Government APIs","Sun Jun 08 20:09:34 GMT 2025","passed","Sun Jun 08 20:09:34 GMT 2025","","Site Overview","",""
"","764","Login - Valid Credentials","Assurdly | Government APIs","Sun Jun 08 20:09:28 GMT 2025","passed","Sun Jun 08 20:09:29 GMT 2025","Login","Authentication","",""
"","219","Get all config types","Assurdly | Government APIs","Sun Jun 08 20:09:34 GMT 2025","passed","Sun Jun 08 20:09:35 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","222","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Sun Jun 08 20:09:37 GMT 2025","passed","Sun Jun 08 20:09:37 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","302","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Sun Jun 08 20:09:37 GMT 2025","passed","Sun Jun 08 20:09:38 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","223","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Sun Jun 08 20:09:37 GMT 2025","passed","Sun Jun 08 20:09:37 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","210","Tour Status","Assurdly | Government APIs","Sun Jun 08 20:09:30 GMT 2025","passed","Sun Jun 08 20:09:31 GMT 2025","Tour","Home","",""
"","294","Get Producer Activity  - No Auth","Assurdly | Government APIs","Sun Jun 08 20:09:33 GMT 2025","passed","Sun Jun 08 20:09:33 GMT 2025","","Participant Activity","",""
"","213","Set uom Preference - Empty Value","Assurdly | Government APIs","Sun Jun 08 20:09:31 GMT 2025","failed","Sun Jun 08 20:09:31 GMT 2025","Preference > Set UOM Preference","Home","",""
"","221","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Sun Jun 08 20:09:38 GMT 2025","passed","Sun Jun 08 20:09:39 GMT 2025","Single Event","Analysis Event","",""
"","220","Total Events Count","Assurdly | Government APIs","Sun Jun 08 20:09:39 GMT 2025","passed","Sun Jun 08 20:09:39 GMT 2025","","Events Records","",""
"","207","Login - Invalid Credentials","Assurdly | Government APIs","Sun Jun 08 20:09:29 GMT 2025","passed","Sun Jun 08 20:09:29 GMT 2025","Login","Authentication","",""
"","224","Get Preference","Assurdly | Government APIs","Sun Jun 08 20:09:35 GMT 2025","passed","Sun Jun 08 20:09:35 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","120","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Sun Jun 08 20:09:29 GMT 2025","failed","Sun Jun 08 20:09:30 GMT 2025","Login","Authentication","",""
"","261","Get Product Instance List","Assurdly | Government APIs","Sun Jun 08 20:09:32 GMT 2025","passed","Sun Jun 08 20:09:32 GMT 2025","","Participant List","",""
"","457","Notifications","Assurdly | Government APIs","Sun Jun 08 20:09:30 GMT 2025","failed","Sun Jun 08 20:09:30 GMT 2025","Notification","Home","",""
"","215","Get Preference - Empty Fields","Assurdly | Government APIs","Sun Jun 08 20:09:35 GMT 2025","failed","Sun Jun 08 20:09:35 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","294","Get Product Instance List Copy","Assurdly | Government APIs","Sun Jun 08 20:09:32 GMT 2025","passed","Sun Jun 08 20:09:32 GMT 2025","","Participant List","",""
"","222","Get Analysis Manufacturers","Assurdly | Government APIs","Sun Jun 08 20:09:38 GMT 2025","passed","Sun Jun 08 20:09:38 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","218","Get Labels - Empty Fields","Assurdly | Government APIs","Sun Jun 08 20:09:36 GMT 2025","failed","Sun Jun 08 20:09:36 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","215","Get Company Type","Assurdly | Government APIs","Sun Jun 08 20:09:36 GMT 2025","passed","Sun Jun 08 20:09:36 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","300","Get Product Instance List  - No Auth","Assurdly | Government APIs","Sun Jun 08 20:09:33 GMT 2025","passed","Sun Jun 08 20:09:34 GMT 2025","","Product Instances","",""
"","127","Read Notification","Assurdly | Government APIs","Sun Jun 08 20:09:30 GMT 2025","passed","Sun Jun 08 20:09:30 GMT 2025","Notification","Home","",""
"","218","Get Preference - Get Labels -","Assurdly | Government APIs","Sun Jun 08 20:09:35 GMT 2025","failed","Sun Jun 08 20:09:35 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","214","Site Overview","Assurdly | Government APIs","Sun Jun 08 20:09:34 GMT 2025","passed","Sun Jun 08 20:09:34 GMT 2025","","Site Overview","",""
