"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","229","Get uom Preference","Assurdly | Receiver API","Sun Apr 13 20:12:39 GMT 2025","failed","Sun Apr 13 20:12:39 GMT 2025","Preference","Home","",""
"","256","Single event","Assurdly | Receiver API","Sun Apr 13 20:12:49 GMT 2025","passed","Sun Apr 13 20:12:49 GMT 2025","Single Event","Receiving Event","",""
"","467","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Apr 13 20:12:43 GMT 2025","failed","Sun Apr 13 20:12:43 GMT 2025","","Product Instances","",""
"","476","Get Product Instance Graph","Assurdly | Receiver API","Sun Apr 13 20:12:42 GMT 2025","passed","Sun Apr 13 20:12:43 GMT 2025","","Product Instances","",""
"","132","Read Notification","Assurdly | Receiver API","Sun Apr 13 20:12:38 GMT 2025","passed","Sun Apr 13 20:12:38 GMT 2025","Notification","Home","",""
"","270","Total Event","Assurdly | Receiver API","Sun Apr 13 20:12:41 GMT 2025","passed","Sun Apr 13 20:12:41 GMT 2025","","Events Records","",""
"","216","Get producer record receiving","Assurdly | Receiver API","Sun Apr 13 20:12:48 GMT 2025","passed","Sun Apr 13 20:12:48 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","283","Get sites","Assurdly | Receiver API","Sun Apr 13 20:12:45 GMT 2025","passed","Sun Apr 13 20:12:45 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","225","Notifications","Assurdly | Receiver API","Sun Apr 13 20:12:38 GMT 2025","passed","Sun Apr 13 20:12:38 GMT 2025","Notification","Home","",""
"","217","Get Preference - Empty Fields","Assurdly | Receiver API","Sun Apr 13 20:12:47 GMT 2025","failed","Sun Apr 13 20:12:47 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","189","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Sun Apr 13 20:12:38 GMT 2025","passed","Sun Apr 13 20:12:38 GMT 2025","Login","Authentication","",""
"","134","Tour Status","Assurdly | Receiver API","Sun Apr 13 20:12:39 GMT 2025","passed","Sun Apr 13 20:12:39 GMT 2025","Tour","Home","",""
"","210","get preference -No auth","Assurdly | Receiver API","Sun Apr 13 20:12:47 GMT 2025","passed","Sun Apr 13 20:12:47 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","486","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Apr 13 20:12:44 GMT 2025","failed","Sun Apr 13 20:12:45 GMT 2025","","Shared With Government","",""
"","239","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Sun Apr 13 20:12:44 GMT 2025","broken","Sun Apr 13 20:12:44 GMT 2025","","Shared With Government","",""
"","230","Set uom Preference - Empty Value","Assurdly | Receiver API","Sun Apr 13 20:12:39 GMT 2025","failed","Sun Apr 13 20:12:40 GMT 2025","Preference","Home","",""
"","212","Get activity numbers","Assurdly | Receiver API","Sun Apr 13 20:12:49 GMT 2025","passed","Sun Apr 13 20:12:49 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","212","get config types -No auth","Assurdly | Receiver API","Sun Apr 13 20:12:46 GMT 2025","passed","Sun Apr 13 20:12:46 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","213","Get producer record receiving - No auth","Assurdly | Receiver API","Sun Apr 13 20:12:48 GMT 2025","passed","Sun Apr 13 20:12:48 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","243","Set uom Preference","Assurdly | Receiver API","Sun Apr 13 20:12:39 GMT 2025","passed","Sun Apr 13 20:12:39 GMT 2025","Preference","Home","",""
"","247","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Apr 13 20:12:42 GMT 2025","failed","Sun Apr 13 20:12:42 GMT 2025","","Product Instances","",""
"","246","Get Product Instance","Assurdly | Receiver API","Sun Apr 13 20:12:42 GMT 2025","passed","Sun Apr 13 20:12:42 GMT 2025","","Product Instances","",""
"","129","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Sun Apr 13 20:12:38 GMT 2025","failed","Sun Apr 13 20:12:38 GMT 2025","Login","Authentication","",""
"","225","Total Events Count","Assurdly | Receiver API","Sun Apr 13 20:12:42 GMT 2025","passed","Sun Apr 13 20:12:42 GMT 2025","","Events Records","",""
"","210","Get activity numbers - No auth","Assurdly | Receiver API","Sun Apr 13 20:12:48 GMT 2025","passed","Sun Apr 13 20:12:49 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","740","Login - Valid Credentials","Assurdly | Receiver API","Sun Apr 13 20:12:37 GMT 2025","passed","Sun Apr 13 20:12:38 GMT 2025","Login","Authentication","",""
"","214","get preference","Assurdly | Receiver API","Sun Apr 13 20:12:46 GMT 2025","passed","Sun Apr 13 20:12:47 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","625","Total Event - Empty Fields","Assurdly | Receiver API","Sun Apr 13 20:12:41 GMT 2025","failed","Sun Apr 13 20:12:42 GMT 2025","","Events Records","",""
"","215","Get tooltip","Assurdly | Receiver API","Sun Apr 13 20:12:46 GMT 2025","passed","Sun Apr 13 20:12:46 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","224","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Sun Apr 13 20:12:48 GMT 2025","failed","Sun Apr 13 20:12:48 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","241","Participant Detail","Assurdly | Receiver API","Sun Apr 13 20:12:39 GMT 2025","passed","Sun Apr 13 20:12:39 GMT 2025","participant","Home","",""
"","221","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Sun Apr 13 20:12:48 GMT 2025","failed","Sun Apr 13 20:12:48 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","209","Single event -No auth","Assurdly | Receiver API","Sun Apr 13 20:12:49 GMT 2025","passed","Sun Apr 13 20:12:49 GMT 2025","Single Event","Receiving Event","",""
"","209","Get trading partner -No auth","Assurdly | Receiver API","Sun Apr 13 20:12:45 GMT 2025","passed","Sun Apr 13 20:12:46 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","209","Get sites - No auth","Assurdly | Receiver API","Sun Apr 13 20:12:45 GMT 2025","passed","Sun Apr 13 20:12:45 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","222","Total Events Count - Empty Fields","Assurdly | Receiver API","Sun Apr 13 20:12:42 GMT 2025","failed","Sun Apr 13 20:12:42 GMT 2025","","Events Records","",""
"","213","Get trading partner","Assurdly | Receiver API","Sun Apr 13 20:12:45 GMT 2025","passed","Sun Apr 13 20:12:45 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
