"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","819","Login - Valid Credentials","Assurdly | Producer API","Fri Jun 13 18:50:32 GMT 2025","passed","Fri Jun 13 18:50:33 GMT 2025","Login","Authentication","",""
"","215","Get uom Preference","Assurdly | Producer API","Fri Jun 13 18:50:35 GMT 2025","failed","Fri Jun 13 18:50:35 GMT 2025","Preference","Home","",""
"","219","Get Preference","Assurdly | Producer API","Fri Jun 13 18:50:46 GMT 2025","passed","Fri Jun 13 18:50:46 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","218","Get Preference - Empty Fields","Assurdly | Producer API","Fri Jun 13 18:50:41 GMT 2025","failed","Fri Jun 13 18:50:41 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","220","Get Labels","Assurdly | Producer API","Fri Jun 13 18:50:47 GMT 2025","passed","Fri Jun 13 18:50:47 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","225","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Fri Jun 13 18:50:48 GMT 2025","failed","Fri Jun 13 18:50:48 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","254","Create Single Event","Assurdly | Producer API","Fri Jun 13 18:50:43 GMT 2025","failed","Fri Jun 13 18:50:43 GMT 2025","Single Event","Transformation Event","",""
"","1427","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Fri Jun 13 18:50:37 GMT 2025","passed","Fri Jun 13 18:50:39 GMT 2025","Overview > Stats","Dashboard","",""
"","254","Get Dashboard Filter","Assurdly | Producer API","Fri Jun 13 18:50:39 GMT 2025","passed","Fri Jun 13 18:50:39 GMT 2025","Overview > Stats","Dashboard","",""
"","217","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Fri Jun 13 18:50:50 GMT 2025","passed","Fri Jun 13 18:50:50 GMT 2025","Single Event","Analysis Event","",""
"","297","Get FQS","Assurdly | Producer API","Fri Jun 13 18:50:50 GMT 2025","passed","Fri Jun 13 18:50:51 GMT 2025","","FQS","",""
"","217","Get Company Type","Assurdly | Producer API","Fri Jun 13 18:50:48 GMT 2025","passed","Fri Jun 13 18:50:48 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","226","Participant Details","Assurdly | Producer API","Fri Jun 13 18:50:33 GMT 2025","passed","Fri Jun 13 18:50:34 GMT 2025","participant","Home","",""
"","301","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Fri Jun 13 18:50:49 GMT 2025","passed","Fri Jun 13 18:50:49 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","327","Notifications","Assurdly | Producer API","Fri Jun 13 18:50:34 GMT 2025","failed","Fri Jun 13 18:50:34 GMT 2025","Notification","Home","",""
"","218","Get Total Events Count","Assurdly | Producer API","Fri Jun 13 18:50:45 GMT 2025","passed","Fri Jun 13 18:50:46 GMT 2025","","Events","",""
"","198","Login - Invalid Credentials","Assurdly | Producer API","Fri Jun 13 18:50:33 GMT 2025","passed","Fri Jun 13 18:50:33 GMT 2025","Login","Authentication","",""
"","222","Get Total Events Count Empty Field","Assurdly | Producer API","Fri Jun 13 18:50:46 GMT 2025","failed","Fri Jun 13 18:50:46 GMT 2025","","Events","",""
"","296","Get Total Event","Assurdly | Producer API","Fri Jun 13 18:50:45 GMT 2025","passed","Fri Jun 13 18:50:45 GMT 2025","","Events","",""
"","300","Get manufacturers - No auth","Assurdly | Producer API","Fri Jun 13 18:50:43 GMT 2025","passed","Fri Jun 13 18:50:43 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","391","Get Product Instance Shared Government","Assurdly | Producer API","Fri Jun 13 18:50:39 GMT 2025","passed","Fri Jun 13 18:50:40 GMT 2025","","Shared With Government","",""
"","218","Get Analysis Manufacturers","Assurdly | Producer API","Fri Jun 13 18:50:49 GMT 2025","passed","Fri Jun 13 18:50:50 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","223","Get Preference - Get Labels -","Assurdly | Producer API","Fri Jun 13 18:50:47 GMT 2025","failed","Fri Jun 13 18:50:47 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","300","Read Notification - No Authorisation","Assurdly | Producer API","Fri Jun 13 18:50:34 GMT 2025","passed","Fri Jun 13 18:50:35 GMT 2025","Notification","Home","",""
"","223","Get Product Instance Shared Government Copy","Assurdly | Producer API","Fri Jun 13 18:50:40 GMT 2025","passed","Fri Jun 13 18:50:40 GMT 2025","","Shared With Government","",""
"","218","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Fri Jun 13 18:50:50 GMT 2025","passed","Fri Jun 13 18:50:50 GMT 2025","Single Event","Analysis Event","",""
"","251","Get Sites","Assurdly | Producer API","Fri Jun 13 18:50:40 GMT 2025","passed","Fri Jun 13 18:50:40 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","221","Get all config types","Assurdly | Producer API","Fri Jun 13 18:50:40 GMT 2025","passed","Fri Jun 13 18:50:40 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","218","Get Tooltips","Assurdly | Producer API","Fri Jun 13 18:50:41 GMT 2025","passed","Fri Jun 13 18:50:41 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","216","Get Product Instance Invalid Field","Assurdly | Producer API","Fri Jun 13 18:50:44 GMT 2025","failed","Fri Jun 13 18:50:44 GMT 2025","","Product Instances","",""
"","214","Get Total Event Empty Field","Assurdly | Producer API","Fri Jun 13 18:50:45 GMT 2025","failed","Fri Jun 13 18:50:45 GMT 2025","","Events","",""
"","216","Get Sites","Assurdly | Producer API","Fri Jun 13 18:50:46 GMT 2025","passed","Fri Jun 13 18:50:46 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","211","Create Bulk Event","Assurdly | Producer API","Fri Jun 13 18:50:50 GMT 2025","failed","Fri Jun 13 18:50:50 GMT 2025","","Analysis Event","",""
"","296","Get FQS Invalid Field","Assurdly | Producer API","Fri Jun 13 18:50:51 GMT 2025","passed","Fri Jun 13 18:50:51 GMT 2025","","FQS","",""
"","216","Get Labels","Assurdly | Producer API","Fri Jun 13 18:50:41 GMT 2025","passed","Fri Jun 13 18:50:41 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","296","Get Product Instance Graph","Assurdly | Producer API","Fri Jun 13 18:50:44 GMT 2025","passed","Fri Jun 13 18:50:45 GMT 2025","","Product Instances","",""
"","211","Get Share FQS Invalid Field","Assurdly | Producer API","Fri Jun 13 18:50:51 GMT 2025","passed","Fri Jun 13 18:50:52 GMT 2025","","FQS","",""
"","219","Get Preference - Empty Fields","Assurdly | Producer API","Fri Jun 13 18:50:46 GMT 2025","failed","Fri Jun 13 18:50:47 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","1698","Get Dashboard Statistics","Assurdly | Producer API","Fri Jun 13 18:50:35 GMT 2025","passed","Fri Jun 13 18:50:37 GMT 2025","Overview > Stats","Dashboard","",""
"","219","Read Notification","Assurdly | Producer API","Fri Jun 13 18:50:34 GMT 2025","passed","Fri Jun 13 18:50:34 GMT 2025","Notification","Home","",""
"","125","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Fri Jun 13 18:50:33 GMT 2025","passed","Fri Jun 13 18:50:33 GMT 2025","Login","Authentication","",""
"","215","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Fri Jun 13 18:50:49 GMT 2025","passed","Fri Jun 13 18:50:49 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","226","Get transform outprod","Assurdly | Producer API","Fri Jun 13 18:50:42 GMT 2025","passed","Fri Jun 13 18:50:42 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","198","Tour Status","Assurdly | Producer API","Fri Jun 13 18:50:33 GMT 2025","passed","Fri Jun 13 18:50:33 GMT 2025","Tour","Home","",""
"","270","Get Product Instance List","Assurdly | Producer API","Fri Jun 13 18:50:44 GMT 2025","passed","Fri Jun 13 18:50:44 GMT 2025","","Product Instances","",""
"","266","Get Product Shared Government Count","Assurdly | Producer API","Fri Jun 13 18:50:39 GMT 2025","passed","Fri Jun 13 18:50:39 GMT 2025","","Shared With Government","",""
"","230","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Fri Jun 13 18:50:39 GMT 2025","passed","Fri Jun 13 18:50:39 GMT 2025","","Shared With Government","",""
"","223","Get Preference","Assurdly | Producer API","Fri Jun 13 18:50:40 GMT 2025","passed","Fri Jun 13 18:50:41 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","217","Get Analysis Manufacturers","Assurdly | Producer API","Fri Jun 13 18:50:48 GMT 2025","passed","Fri Jun 13 18:50:48 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","219","Get all config types","Assurdly | Producer API","Fri Jun 13 18:50:46 GMT 2025","passed","Fri Jun 13 18:50:46 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","214","Set uom Preference - Empty Value","Assurdly | Producer API","Fri Jun 13 18:50:35 GMT 2025","failed","Fri Jun 13 18:50:35 GMT 2025","Preference","Home","",""
"","223","Get Tooltips","Assurdly | Producer API","Fri Jun 13 18:50:47 GMT 2025","passed","Fri Jun 13 18:50:47 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
