"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","215","Get Product Instance List Copy","Assurdly | Government APIs","Sun Apr 13 11:52:09 GMT 2025","passed","Sun Apr 13 11:52:10 GMT 2025","","Participant List","",""
"","218","Get Product Instance List  - No Auth","Assurdly | Government APIs","Sun Apr 13 11:52:10 GMT 2025","passed","Sun Apr 13 11:52:11 GMT 2025","","Product Instances","",""
"","232","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Sun Apr 13 11:52:09 GMT 2025","failed","Sun Apr 13 11:52:09 GMT 2025","Stats","Dashboard","",""
"","225","Total Events Count","Assurdly | Government APIs","Sun Apr 13 11:52:16 GMT 2025","passed","Sun Apr 13 11:52:16 GMT 2025","","Events Records","",""
"","219","Site Overview - No auth","Assurdly | Government APIs","Sun Apr 13 11:52:11 GMT 2025","passed","Sun Apr 13 11:52:11 GMT 2025","","Site Overview","",""
"","226","Get Analysis Manufacturers","Assurdly | Government APIs","Sun Apr 13 11:52:13 GMT 2025","passed","Sun Apr 13 11:52:14 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","208","Login - Invalid Credentials","Assurdly | Government APIs","Sun Apr 13 11:52:07 GMT 2025","passed","Sun Apr 13 11:52:07 GMT 2025","Login","Authentication","",""
"","223","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Sun Apr 13 11:52:15 GMT 2025","passed","Sun Apr 13 11:52:15 GMT 2025","Single Event","Analysis Event","",""
"","124","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Sun Apr 13 11:52:07 GMT 2025","failed","Sun Apr 13 11:52:07 GMT 2025","Login","Authentication","",""
"","135","Read Notification","Assurdly | Government APIs","Sun Apr 13 11:52:07 GMT 2025","passed","Sun Apr 13 11:52:08 GMT 2025","Notification","Home","",""
"","126","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Sun Apr 13 11:52:07 GMT 2025","passed","Sun Apr 13 11:52:07 GMT 2025","Login","Authentication","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","228","Total Event - Empty Fields","Assurdly | Government APIs","Sun Apr 13 11:52:16 GMT 2025","failed","Sun Apr 13 11:52:16 GMT 2025","","Events Records","",""
"","240","Total Event","Assurdly | Government APIs","Sun Apr 13 11:52:16 GMT 2025","passed","Sun Apr 13 11:52:16 GMT 2025","","Events Records","",""
"","218","Get Preference - Get Labels -","Assurdly | Government APIs","Sun Apr 13 11:52:12 GMT 2025","failed","Sun Apr 13 11:52:12 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","226","Dashboard Filter","Assurdly | Government APIs","Sun Apr 13 11:52:09 GMT 2025","failed","Sun Apr 13 11:52:09 GMT 2025","Stats","Dashboard","",""
"","786","Login - Valid Credentials","Assurdly | Government APIs","Sun Apr 13 11:52:06 GMT 2025","passed","Sun Apr 13 11:52:07 GMT 2025","Login","Authentication","",""
"","212","Tour Status","Assurdly | Government APIs","Sun Apr 13 11:52:08 GMT 2025","passed","Sun Apr 13 11:52:08 GMT 2025","Tour","Home","",""
"","224","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Sun Apr 13 11:52:14 GMT 2025","passed","Sun Apr 13 11:52:14 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","225","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Sun Apr 13 11:52:14 GMT 2025","passed","Sun Apr 13 11:52:14 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","222","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Sun Apr 13 11:52:15 GMT 2025","passed","Sun Apr 13 11:52:16 GMT 2025","Single Event","Analysis Event","",""
"","220","Get Analysis Manufacturers","Assurdly | Government APIs","Sun Apr 13 11:52:15 GMT 2025","passed","Sun Apr 13 11:52:15 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","233","Get Preference","Assurdly | Government APIs","Sun Apr 13 11:52:08 GMT 2025","failed","Sun Apr 13 11:52:08 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","180","Notifications","Assurdly | Government APIs","Sun Apr 13 11:52:07 GMT 2025","failed","Sun Apr 13 11:52:07 GMT 2025","Notification","Home","",""
"","234","Set uom Preference - Empty Value","Assurdly | Government APIs","Sun Apr 13 11:52:08 GMT 2025","passed","Sun Apr 13 11:52:09 GMT 2025","Preference > Set UOM Preference","Home","",""
"","223","Get Preference - Empty Fields","Assurdly | Government APIs","Sun Apr 13 11:52:12 GMT 2025","failed","Sun Apr 13 11:52:12 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","236","Set Preference","Assurdly | Government APIs","Sun Apr 13 11:52:08 GMT 2025","passed","Sun Apr 13 11:52:08 GMT 2025","Preference > Set UOM Preference","Home","",""
"","221","Get Company Type","Assurdly | Government APIs","Sun Apr 13 11:52:13 GMT 2025","passed","Sun Apr 13 11:52:13 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","288","Get Product Instance List","Assurdly | Government APIs","Sun Apr 13 11:52:10 GMT 2025","passed","Sun Apr 13 11:52:10 GMT 2025","","Product Instances","",""
"","251","Get Sites","Assurdly | Government APIs","Sun Apr 13 11:52:11 GMT 2025","passed","Sun Apr 13 11:52:11 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","281","Get Producer Activity","Assurdly | Government APIs","Sun Apr 13 11:52:10 GMT 2025","passed","Sun Apr 13 11:52:10 GMT 2025","","Participant Activity","",""
"","220","Get Labels","Assurdly | Government APIs","Sun Apr 13 11:52:13 GMT 2025","passed","Sun Apr 13 11:52:13 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","229","Site Overview","Assurdly | Government APIs","Sun Apr 13 11:52:11 GMT 2025","passed","Sun Apr 13 11:52:11 GMT 2025","","Site Overview","",""
"","141","Participant Details","Assurdly | Government APIs","Sun Apr 13 11:52:08 GMT 2025","failed","Sun Apr 13 11:52:08 GMT 2025","participant","Home","",""
"","278","Get Product Instance List","Assurdly | Government APIs","Sun Apr 13 11:52:09 GMT 2025","passed","Sun Apr 13 11:52:09 GMT 2025","","Participant List","",""
"","224","Creating Analysis Event","Assurdly | Government APIs","Sun Apr 13 11:52:15 GMT 2025","failed","Sun Apr 13 11:52:15 GMT 2025","Single Event","Analysis Event","",""
"","221","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Sun Apr 13 11:52:13 GMT 2025","failed","Sun Apr 13 11:52:13 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
