"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Get Product Instance Invalid Field","Assurdly | Producer API","Sun Apr 20 20:11:01 GMT 2025","failed","Sun Apr 20 20:11:01 GMT 2025","","Product Instances","",""
"","252","Get Preference - Empty Fields","Assurdly | Producer API","Sun Apr 20 20:10:57 GMT 2025","failed","Sun Apr 20 20:10:57 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","277","Get Total Event Empty Field","Assurdly | Producer API","Sun Apr 20 20:11:02 GMT 2025","failed","Sun Apr 20 20:11:02 GMT 2025","","Events","",""
"","261","Read Notification - Invalid Notification id","Assurdly | Producer API","Sun Apr 20 20:10:50 GMT 2025","failed","Sun Apr 20 20:10:50 GMT 2025","Notification","Home","",""
"","248","Get Labels","Assurdly | Producer API","Sun Apr 20 20:11:04 GMT 2025","passed","Sun Apr 20 20:11:05 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","252","Get Preference - Get Labels -","Assurdly | Producer API","Sun Apr 20 20:11:04 GMT 2025","failed","Sun Apr 20 20:11:04 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","346","Get FQS Invalid Field","Assurdly | Producer API","Sun Apr 20 20:11:09 GMT 2025","passed","Sun Apr 20 20:11:09 GMT 2025","","FQS","",""
"","247","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Sun Apr 20 20:11:06 GMT 2025","passed","Sun Apr 20 20:11:06 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","249","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Sun Apr 20 20:11:06 GMT 2025","passed","Sun Apr 20 20:11:07 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","139","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Sun Apr 20 20:10:48 GMT 2025","failed","Sun Apr 20 20:10:48 GMT 2025","Login","Authentication","",""
"","461","Tour Status","Assurdly | Producer API","Sun Apr 20 20:10:48 GMT 2025","passed","Sun Apr 20 20:10:49 GMT 2025","Tour","Home","",""
"","354","Read Notification - No Authorisation","Assurdly | Producer API","Sun Apr 20 20:10:50 GMT 2025","passed","Sun Apr 20 20:10:50 GMT 2025","Notification","Home","",""
"","254","Get Labels - Empty Fields","Assurdly | Producer API","Sun Apr 20 20:10:58 GMT 2025","failed","Sun Apr 20 20:10:58 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","313","Get Product Shared Government Count","Assurdly | Producer API","Sun Apr 20 20:10:55 GMT 2025","passed","Sun Apr 20 20:10:55 GMT 2025","","Shared With Government","",""
"","254","Get Preference","Assurdly | Producer API","Sun Apr 20 20:10:57 GMT 2025","passed","Sun Apr 20 20:10:57 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","258","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Sun Apr 20 20:11:08 GMT 2025","passed","Sun Apr 20 20:11:08 GMT 2025","Single Event","Analysis Event","",""
"","256","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Sun Apr 20 20:11:08 GMT 2025","passed","Sun Apr 20 20:11:08 GMT 2025","Single Event","Analysis Event","",""
"","1451","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Sun Apr 20 20:10:53 GMT 2025","passed","Sun Apr 20 20:10:54 GMT 2025","Overview > Stats","Dashboard","",""
"","213","Login - Invalid Credentials","Assurdly | Producer API","Sun Apr 20 20:10:48 GMT 2025","passed","Sun Apr 20 20:10:48 GMT 2025","Login","Authentication","",""
"","356","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Sun Apr 20 20:11:07 GMT 2025","passed","Sun Apr 20 20:11:07 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","259","Get Sites","Assurdly | Producer API","Sun Apr 20 20:11:03 GMT 2025","passed","Sun Apr 20 20:11:03 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","251","Get Labels - Empty Fields","Assurdly | Producer API","Sun Apr 20 20:11:05 GMT 2025","failed","Sun Apr 20 20:11:05 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","263","Get Total Events Count","Assurdly | Producer API","Sun Apr 20 20:11:02 GMT 2025","passed","Sun Apr 20 20:11:03 GMT 2025","","Events","",""
"","257","Get Analysis Product Ids","Assurdly | Producer API","Sun Apr 20 20:11:06 GMT 2025","passed","Sun Apr 20 20:11:06 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","352","Get Total Event","Assurdly | Producer API","Sun Apr 20 20:11:02 GMT 2025","passed","Sun Apr 20 20:11:02 GMT 2025","","Events","",""
"","350","Get manufacturers - No auth","Assurdly | Producer API","Sun Apr 20 20:11:00 GMT 2025","passed","Sun Apr 20 20:11:00 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","262","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Sun Apr 20 20:11:01 GMT 2025","failed","Sun Apr 20 20:11:01 GMT 2025","","Product Instances","",""
"","250","Get Analysis Manufacturers","Assurdly | Producer API","Sun Apr 20 20:11:07 GMT 2025","passed","Sun Apr 20 20:11:07 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","250","Get Labels","Assurdly | Producer API","Sun Apr 20 20:10:57 GMT 2025","passed","Sun Apr 20 20:10:58 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","255","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Apr 20 20:11:05 GMT 2025","failed","Sun Apr 20 20:11:05 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","259","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Apr 20 20:10:58 GMT 2025","failed","Sun Apr 20 20:10:58 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","254","Get Share FQS Invalid Field","Assurdly | Producer API","Sun Apr 20 20:11:09 GMT 2025","passed","Sun Apr 20 20:11:10 GMT 2025","","FQS","",""
"","259","Get Company Type","Assurdly | Producer API","Sun Apr 20 20:10:58 GMT 2025","passed","Sun Apr 20 20:10:58 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","254","Get Preference - Empty Fields","Assurdly | Producer API","Sun Apr 20 20:11:04 GMT 2025","failed","Sun Apr 20 20:11:04 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","352","Create Single Event - No Auth","Assurdly | Producer API","Sun Apr 20 20:11:00 GMT 2025","passed","Sun Apr 20 20:11:01 GMT 2025","Single Event","Transformation Event","",""
"","253","Get all config types","Assurdly | Producer API","Sun Apr 20 20:11:03 GMT 2025","passed","Sun Apr 20 20:11:03 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","257","Creating Analysis Event","Assurdly | Producer API","Sun Apr 20 20:11:07 GMT 2025","failed","Sun Apr 20 20:11:08 GMT 2025","Single Event","Analysis Event","",""
"","258","Get Share FQS","Assurdly | Producer API","Sun Apr 20 20:11:09 GMT 2025","failed","Sun Apr 20 20:11:09 GMT 2025","","FQS","",""
"","256","Get Preference","Assurdly | Producer API","Sun Apr 20 20:11:03 GMT 2025","passed","Sun Apr 20 20:11:04 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","255","Get Total Events Count Empty Field","Assurdly | Producer API","Sun Apr 20 20:11:03 GMT 2025","failed","Sun Apr 20 20:11:03 GMT 2025","","Events","",""
"","312","Create Single Event","Assurdly | Producer API","Sun Apr 20 20:11:00 GMT 2025","failed","Sun Apr 20 20:11:00 GMT 2025","Single Event","Transformation Event","",""
"","256","Set uom Preference - Empty Value","Assurdly | Producer API","Sun Apr 20 20:10:51 GMT 2025","passed","Sun Apr 20 20:10:51 GMT 2025","Preference","Home","",""
"","257","Get uom Preference","Assurdly | Producer API","Sun Apr 20 20:10:50 GMT 2025","failed","Sun Apr 20 20:10:51 GMT 2025","Preference","Home","",""
"","262","Read Notification","Assurdly | Producer API","Sun Apr 20 20:10:50 GMT 2025","passed","Sun Apr 20 20:10:50 GMT 2025","Notification","Home","",""
"","334","Get Sites","Assurdly | Producer API","Sun Apr 20 20:10:56 GMT 2025","passed","Sun Apr 20 20:10:56 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","317","Get Product Instance List","Assurdly | Producer API","Sun Apr 20 20:11:01 GMT 2025","passed","Sun Apr 20 20:11:01 GMT 2025","","Product Instances","",""
"","141","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Sun Apr 20 20:10:48 GMT 2025","passed","Sun Apr 20 20:10:48 GMT 2025","Login","Authentication","",""
"","261","Get transform outprod","Assurdly | Producer API","Sun Apr 20 20:10:58 GMT 2025","passed","Sun Apr 20 20:10:59 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","352","Get product brand category - No auth","Assurdly | Producer API","Sun Apr 20 20:10:59 GMT 2025","passed","Sun Apr 20 20:10:59 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","249","Get Analysis Manufacturers","Assurdly | Producer API","Sun Apr 20 20:11:05 GMT 2025","passed","Sun Apr 20 20:11:06 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","1070","Login - Valid Credentials","Assurdly | Producer API","Sun Apr 20 20:10:47 GMT 2025","passed","Sun Apr 20 20:10:48 GMT 2025","Login","Authentication","",""
"","248","Create Bulk Event","Assurdly | Producer API","Sun Apr 20 20:11:08 GMT 2025","failed","Sun Apr 20 20:11:08 GMT 2025","","Analysis Event","",""
"","261","Set uom Preference","Assurdly | Producer API","Sun Apr 20 20:10:51 GMT 2025","passed","Sun Apr 20 20:10:51 GMT 2025","Preference","Home","",""
