"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","322","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Fri May 02 18:48:39 GMT 2025","passed","Fri May 02 18:48:39 GMT 2025","Single Event","Analysis Event","",""
"","316","Get Labels - Empty Fields","Assurdly | Producer API","Fri May 02 18:48:26 GMT 2025","failed","Fri May 02 18:48:26 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","307","Get Labels","Assurdly | Producer API","Fri May 02 18:48:34 GMT 2025","passed","Fri May 02 18:48:35 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","310","Get Analysis Manufacturers","Assurdly | Producer API","Fri May 02 18:48:36 GMT 2025","passed","Fri May 02 18:48:36 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","440","Get Product Instance Graph","Assurdly | Producer API","Fri May 02 18:48:31 GMT 2025","passed","Fri May 02 18:48:31 GMT 2025","","Product Instances","",""
"","441","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Fri May 02 18:48:37 GMT 2025","passed","Fri May 02 18:48:38 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","309","Get Analysis Manufacturers","Assurdly | Producer API","Fri May 02 18:48:37 GMT 2025","passed","Fri May 02 18:48:37 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","350","Get FQS","Assurdly | Producer API","Fri May 02 18:48:39 GMT 2025","passed","Fri May 02 18:48:40 GMT 2025","","FQS","",""
"","333","Participant Details","Assurdly | Producer API","Fri May 02 18:48:16 GMT 2025","passed","Fri May 02 18:48:16 GMT 2025","participant","Home","",""
"","317","Get Share FQS","Assurdly | Producer API","Fri May 02 18:48:40 GMT 2025","failed","Fri May 02 18:48:40 GMT 2025","","FQS","",""
"","311","Read Notification - Invalid Notification id","Assurdly | Producer API","Fri May 02 18:48:17 GMT 2025","failed","Fri May 02 18:48:17 GMT 2025","Notification","Home","",""
"","1525","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Fri May 02 18:48:21 GMT 2025","passed","Fri May 02 18:48:22 GMT 2025","Overview > Stats","Dashboard","",""
"","345","Get Sites","Assurdly | Producer API","Fri May 02 18:48:24 GMT 2025","passed","Fri May 02 18:48:24 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","356","Get Dashboard Filter","Assurdly | Producer API","Fri May 02 18:48:22 GMT 2025","passed","Fri May 02 18:48:23 GMT 2025","Overview > Stats","Dashboard","",""
"","313","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Fri May 02 18:48:35 GMT 2025","failed","Fri May 02 18:48:35 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","311","Get manufacturers","Assurdly | Producer API","Fri May 02 18:48:28 GMT 2025","passed","Fri May 02 18:48:28 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","339","Create Single Event","Assurdly | Producer API","Fri May 02 18:48:29 GMT 2025","failed","Fri May 02 18:48:29 GMT 2025","Single Event","Transformation Event","",""
"","323","Set uom Preference - Empty Value","Assurdly | Producer API","Fri May 02 18:48:19 GMT 2025","passed","Fri May 02 18:48:19 GMT 2025","Preference","Home","",""
"","324","Get Analysis Product Ids","Assurdly | Producer API","Fri May 02 18:48:36 GMT 2025","passed","Fri May 02 18:48:37 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","441","Get manufacturers - No auth","Assurdly | Producer API","Fri May 02 18:48:28 GMT 2025","passed","Fri May 02 18:48:29 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","312","Get Company Type","Assurdly | Producer API","Fri May 02 18:48:27 GMT 2025","passed","Fri May 02 18:48:27 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","307","Get Share FQS Invalid Field","Assurdly | Producer API","Fri May 02 18:48:40 GMT 2025","passed","Fri May 02 18:48:41 GMT 2025","","FQS","",""
"","313","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Fri May 02 18:48:38 GMT 2025","passed","Fri May 02 18:48:39 GMT 2025","Single Event","Analysis Event","",""
"","309","Get Tooltips","Assurdly | Producer API","Fri May 02 18:48:25 GMT 2025","passed","Fri May 02 18:48:26 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","340","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Fri May 02 18:48:23 GMT 2025","passed","Fri May 02 18:48:23 GMT 2025","","Shared With Government","",""
"","473","Notifications","Assurdly | Producer API","Fri May 02 18:48:16 GMT 2025","failed","Fri May 02 18:48:17 GMT 2025","Notification","Home","",""
"","310","Get Labels","Assurdly | Producer API","Fri May 02 18:48:26 GMT 2025","passed","Fri May 02 18:48:26 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","315","Get Preference - Empty Fields","Assurdly | Producer API","Fri May 02 18:48:25 GMT 2025","failed","Fri May 02 18:48:25 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","315","Read Notification","Assurdly | Producer API","Fri May 02 18:48:17 GMT 2025","passed","Fri May 02 18:48:17 GMT 2025","Notification","Home","",""
"","312","Get Preference - Get Labels -","Assurdly | Producer API","Fri May 02 18:48:34 GMT 2025","failed","Fri May 02 18:48:34 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","305","Create Bulk Event","Assurdly | Producer API","Fri May 02 18:48:39 GMT 2025","failed","Fri May 02 18:48:39 GMT 2025","","Analysis Event","",""
"","225","Tour Status","Assurdly | Producer API","Fri May 02 18:48:16 GMT 2025","passed","Fri May 02 18:48:16 GMT 2025","Tour","Home","",""
"","1234","Login - Valid Credentials","Assurdly | Producer API","Fri May 02 18:48:14 GMT 2025","passed","Fri May 02 18:48:15 GMT 2025","Login","Authentication","",""
"","326","Creating Analysis Event","Assurdly | Producer API","Fri May 02 18:48:38 GMT 2025","failed","Fri May 02 18:48:38 GMT 2025","Single Event","Analysis Event","",""
"","320","Get all config types","Assurdly | Producer API","Fri May 02 18:48:33 GMT 2025","passed","Fri May 02 18:48:33 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","316","Get Product Instance Invalid Field","Assurdly | Producer API","Fri May 02 18:48:30 GMT 2025","failed","Fri May 02 18:48:30 GMT 2025","","Product Instances","",""
"","314","Get transform outprod","Assurdly | Producer API","Fri May 02 18:48:27 GMT 2025","passed","Fri May 02 18:48:27 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","313","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Fri May 02 18:48:26 GMT 2025","failed","Fri May 02 18:48:27 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
