"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","216","Tour Status","Assurdly | Government APIs","Fri May 16 18:48:07 GMT 2025","passed","Fri May 16 18:48:07 GMT 2025","Tour","Home","",""
"","218","Get Company Type","Assurdly | Government APIs","Fri May 16 18:48:12 GMT 2025","passed","Fri May 16 18:48:13 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","220","Dashboard Filter","Assurdly | Government APIs","Fri May 16 18:48:08 GMT 2025","failed","Fri May 16 18:48:08 GMT 2025","Stats","Dashboard","",""
"","275","Get Producer Activity","Assurdly | Government APIs","Fri May 16 18:48:09 GMT 2025","passed","Fri May 16 18:48:09 GMT 2025","","Participant Activity","",""
"","124","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Fri May 16 18:48:06 GMT 2025","passed","Fri May 16 18:48:06 GMT 2025","Login","Authentication","",""
"","251","Get Sites","Assurdly | Government APIs","Fri May 16 18:48:10 GMT 2025","passed","Fri May 16 18:48:11 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","126","Participant Details","Assurdly | Government APIs","Fri May 16 18:48:07 GMT 2025","failed","Fri May 16 18:48:07 GMT 2025","participant","Home","",""
"","232","Total Event","Assurdly | Government APIs","Fri May 16 18:48:15 GMT 2025","passed","Fri May 16 18:48:15 GMT 2025","","Events Records","",""
"","224","Get all config types","Assurdly | Government APIs","Fri May 16 18:48:11 GMT 2025","passed","Fri May 16 18:48:11 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","218","Get Tooltips","Assurdly | Government APIs","Fri May 16 18:48:12 GMT 2025","passed","Fri May 16 18:48:12 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","218","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Fri May 16 18:48:08 GMT 2025","failed","Fri May 16 18:48:08 GMT 2025","Stats","Dashboard","",""
"","217","Get Preference - Get Labels -","Assurdly | Government APIs","Fri May 16 18:48:11 GMT 2025","failed","Fri May 16 18:48:11 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","220","Total Events Count - Empty Fields","Assurdly | Government APIs","Fri May 16 18:48:16 GMT 2025","failed","Fri May 16 18:48:16 GMT 2025","","Events Records","",""
"","300","Get Product Instance List  - No Auth","Assurdly | Government APIs","Fri May 16 18:48:10 GMT 2025","passed","Fri May 16 18:48:10 GMT 2025","","Product Instances","",""
"","223","Get Preference","Assurdly | Government APIs","Fri May 16 18:48:07 GMT 2025","failed","Fri May 16 18:48:07 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","209","Login - Invalid Credentials","Assurdly | Government APIs","Fri May 16 18:48:06 GMT 2025","passed","Fri May 16 18:48:06 GMT 2025","Login","Authentication","",""
"","135","Read Notification","Assurdly | Government APIs","Fri May 16 18:48:06 GMT 2025","passed","Fri May 16 18:48:06 GMT 2025","Notification","Home","",""
"","181","Notifications","Assurdly | Government APIs","Fri May 16 18:48:06 GMT 2025","failed","Fri May 16 18:48:06 GMT 2025","Notification","Home","",""
"","220","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Fri May 16 18:48:13 GMT 2025","passed","Fri May 16 18:48:14 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","218","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Fri May 16 18:48:12 GMT 2025","failed","Fri May 16 18:48:12 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","226","Set Preference","Assurdly | Government APIs","Fri May 16 18:48:07 GMT 2025","failed","Fri May 16 18:48:07 GMT 2025","Preference > Set UOM Preference","Home","",""
"","218","Total Events Count","Assurdly | Government APIs","Fri May 16 18:48:15 GMT 2025","passed","Fri May 16 18:48:16 GMT 2025","","Events Records","",""
"","226","Get Analysis Manufacturers","Assurdly | Government APIs","Fri May 16 18:48:13 GMT 2025","passed","Fri May 16 18:48:13 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","219","Get Labels","Assurdly | Government APIs","Fri May 16 18:48:12 GMT 2025","passed","Fri May 16 18:48:12 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","231","Creating Analysis Event","Assurdly | Government APIs","Fri May 16 18:48:14 GMT 2025","failed","Fri May 16 18:48:14 GMT 2025","Single Event","Analysis Event","",""
"","128","Read Notification - Invalid Notification id","Assurdly | Government APIs","Fri May 16 18:48:06 GMT 2025","failed","Fri May 16 18:48:07 GMT 2025","Notification","Home","",""
"","216","Get Analysis Manufacturers","Assurdly | Government APIs","Fri May 16 18:48:14 GMT 2025","passed","Fri May 16 18:48:14 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","303","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Fri May 16 18:48:14 GMT 2025","passed","Fri May 16 18:48:14 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","220","Get Analysis Manufacturers","Assurdly | Government APIs","Fri May 16 18:48:14 GMT 2025","passed","Fri May 16 18:48:14 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","215","Site Overview","Assurdly | Government APIs","Fri May 16 18:48:10 GMT 2025","passed","Fri May 16 18:48:10 GMT 2025","","Site Overview","",""
"","222","Get Analysis Product Ids","Assurdly | Government APIs","Fri May 16 18:48:13 GMT 2025","passed","Fri May 16 18:48:13 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","221","Get Preference - Empty Fields","Assurdly | Government APIs","Fri May 16 18:48:11 GMT 2025","failed","Fri May 16 18:48:11 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","268","Get Product Instance List","Assurdly | Government APIs","Fri May 16 18:48:08 GMT 2025","passed","Fri May 16 18:48:08 GMT 2025","","Participant List","",""
"","217","Get Labels - Empty Fields","Assurdly | Government APIs","Fri May 16 18:48:12 GMT 2025","failed","Fri May 16 18:48:12 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","302","Site Overview - No auth","Assurdly | Government APIs","Fri May 16 18:48:10 GMT 2025","passed","Fri May 16 18:48:10 GMT 2025","","Site Overview","",""
"","1058","Login - Valid Credentials","Assurdly | Government APIs","Fri May 16 18:48:05 GMT 2025","passed","Fri May 16 18:48:06 GMT 2025","Login","Authentication","",""
