"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","214","Login - Invalid Credentials","Assurdly | Government APIs","Fri Apr 18 18:45:59 GMT 2025","passed","Fri Apr 18 18:45:59 GMT 2025","Login","Authentication","",""
"","231","Total Events Count","Assurdly | Government APIs","Fri Apr 18 18:46:09 GMT 2025","passed","Fri Apr 18 18:46:09 GMT 2025","","Events Records","",""
"","231","Get Preference","Assurdly | Government APIs","Fri Apr 18 18:46:04 GMT 2025","passed","Fri Apr 18 18:46:05 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","223","Get Labels","Assurdly | Government APIs","Fri Apr 18 18:46:05 GMT 2025","passed","Fri Apr 18 18:46:06 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","222","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Fri Apr 18 18:46:06 GMT 2025","failed","Fri Apr 18 18:46:06 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","228","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Fri Apr 18 18:46:01 GMT 2025","failed","Fri Apr 18 18:46:02 GMT 2025","Stats","Dashboard","",""
"","232","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Fri Apr 18 18:46:07 GMT 2025","passed","Fri Apr 18 18:46:07 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","143","Read Notification","Assurdly | Government APIs","Fri Apr 18 18:46:00 GMT 2025","passed","Fri Apr 18 18:46:00 GMT 2025","Notification","Home","",""
"","281","Get Producer Activity","Assurdly | Government APIs","Fri Apr 18 18:46:02 GMT 2025","passed","Fri Apr 18 18:46:02 GMT 2025","","Participant Activity","",""
"","226","Get Analysis Manufacturers","Assurdly | Government APIs","Fri Apr 18 18:46:07 GMT 2025","passed","Fri Apr 18 18:46:07 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","239","Set Preference","Assurdly | Government APIs","Fri Apr 18 18:46:01 GMT 2025","passed","Fri Apr 18 18:46:01 GMT 2025","Preference > Set UOM Preference","Home","",""
"","233","Dashboard Filter","Assurdly | Government APIs","Fri Apr 18 18:46:01 GMT 2025","failed","Fri Apr 18 18:46:01 GMT 2025","Stats","Dashboard","",""
"","218","Tour Status","Assurdly | Government APIs","Fri Apr 18 18:46:00 GMT 2025","passed","Fri Apr 18 18:46:00 GMT 2025","Tour","Home","",""
"","138","Read Notification - Invalid Notification id","Assurdly | Government APIs","Fri Apr 18 18:46:00 GMT 2025","failed","Fri Apr 18 18:46:00 GMT 2025","Notification","Home","",""
"","128","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Fri Apr 18 18:45:59 GMT 2025","passed","Fri Apr 18 18:45:59 GMT 2025","Login","Authentication","",""
"","151","Participant Details","Assurdly | Government APIs","Fri Apr 18 18:46:00 GMT 2025","failed","Fri Apr 18 18:46:00 GMT 2025","participant","Home","",""
"","233","Site Overview","Assurdly | Government APIs","Fri Apr 18 18:46:03 GMT 2025","passed","Fri Apr 18 18:46:04 GMT 2025","","Site Overview","",""
