"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","454","Tour Status","Assurdly | Producer API","Sun Jun 01 20:11:25 GMT 2025","passed","Sun Jun 01 20:11:25 GMT 2025","Tour","Home","",""
"","282","Get Company Type","Assurdly | Producer API","Sun Jun 01 20:11:43 GMT 2025","passed","Sun Jun 01 20:11:43 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","282","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Sun Jun 01 20:11:44 GMT 2025","passed","Sun Jun 01 20:11:44 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","320","Get Dashboard Filter","Assurdly | Producer API","Sun Jun 01 20:11:31 GMT 2025","passed","Sun Jun 01 20:11:31 GMT 2025","Overview > Stats","Dashboard","",""
"","280","Get Company Type","Assurdly | Producer API","Sun Jun 01 20:11:35 GMT 2025","passed","Sun Jun 01 20:11:35 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","311","Get FQS","Assurdly | Producer API","Sun Jun 01 20:11:46 GMT 2025","passed","Sun Jun 01 20:11:47 GMT 2025","","FQS","",""
"","295","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Sun Jun 01 20:11:38 GMT 2025","failed","Sun Jun 01 20:11:39 GMT 2025","","Product Instances","",""
"","338","Get Sites","Assurdly | Producer API","Sun Jun 01 20:11:33 GMT 2025","passed","Sun Jun 01 20:11:33 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","287","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Jun 01 20:11:35 GMT 2025","failed","Sun Jun 01 20:11:35 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","400","Get manufacturers - No auth","Assurdly | Producer API","Sun Jun 01 20:11:37 GMT 2025","passed","Sun Jun 01 20:11:37 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","401","Get Share FQS - No auth","Assurdly | Producer API","Sun Jun 01 20:11:48 GMT 2025","passed","Sun Jun 01 20:11:48 GMT 2025","","FQS","",""
"","278","Get Share FQS Invalid Field","Assurdly | Producer API","Sun Jun 01 20:11:48 GMT 2025","passed","Sun Jun 01 20:11:48 GMT 2025","","FQS","",""
"","455","Get Product Instance Shared Government","Assurdly | Producer API","Sun Jun 01 20:11:32 GMT 2025","passed","Sun Jun 01 20:11:32 GMT 2025","","Shared With Government","",""
"","356","Get Product Instance List","Assurdly | Producer API","Sun Jun 01 20:11:38 GMT 2025","passed","Sun Jun 01 20:11:38 GMT 2025","","Product Instances","",""
"","228","Login - Invalid Credentials","Assurdly | Producer API","Sun Jun 01 20:11:24 GMT 2025","passed","Sun Jun 01 20:11:24 GMT 2025","Login","Authentication","",""
"","398","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Sun Jun 01 20:11:45 GMT 2025","passed","Sun Jun 01 20:11:45 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","283","Get product brand category","Assurdly | Producer API","Sun Jun 01 20:11:36 GMT 2025","passed","Sun Jun 01 20:11:36 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","282","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Sun Jun 01 20:11:44 GMT 2025","passed","Sun Jun 01 20:11:44 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","292","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Sun Jun 01 20:11:32 GMT 2025","passed","Sun Jun 01 20:11:32 GMT 2025","","Shared With Government","",""
"","1371","Login - Valid Credentials","Assurdly | Producer API","Sun Jun 01 20:11:23 GMT 2025","passed","Sun Jun 01 20:11:24 GMT 2025","Login","Authentication","",""
"","277","Get uom Preference","Assurdly | Producer API","Sun Jun 01 20:11:27 GMT 2025","failed","Sun Jun 01 20:11:27 GMT 2025","Preference","Home","",""
"","286","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Sun Jun 01 20:11:46 GMT 2025","passed","Sun Jun 01 20:11:46 GMT 2025","Single Event","Analysis Event","",""
"","281","Get manufacturers","Assurdly | Producer API","Sun Jun 01 20:11:36 GMT 2025","passed","Sun Jun 01 20:11:37 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","278","Get Analysis Manufacturers","Assurdly | Producer API","Sun Jun 01 20:11:43 GMT 2025","passed","Sun Jun 01 20:11:44 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","283","Get Sites","Assurdly | Producer API","Sun Jun 01 20:11:40 GMT 2025","passed","Sun Jun 01 20:11:41 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","287","Get Labels - Empty Fields","Assurdly | Producer API","Sun Jun 01 20:11:34 GMT 2025","failed","Sun Jun 01 20:11:35 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","287","Get Total Events Count","Assurdly | Producer API","Sun Jun 01 20:11:40 GMT 2025","passed","Sun Jun 01 20:11:40 GMT 2025","","Events","",""
"","280","Get Total Events Count Empty Field","Assurdly | Producer API","Sun Jun 01 20:11:40 GMT 2025","failed","Sun Jun 01 20:11:40 GMT 2025","","Events","",""
"","404","Read Notification - No Authorisation","Assurdly | Producer API","Sun Jun 01 20:11:26 GMT 2025","passed","Sun Jun 01 20:11:27 GMT 2025","Notification","Home","",""
"","283","Get Preference - Empty Fields","Assurdly | Producer API","Sun Jun 01 20:11:34 GMT 2025","failed","Sun Jun 01 20:11:34 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","285","Get Analysis Manufacturers","Assurdly | Producer API","Sun Jun 01 20:11:44 GMT 2025","passed","Sun Jun 01 20:11:45 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","281","Get Tooltips","Assurdly | Producer API","Sun Jun 01 20:11:34 GMT 2025","passed","Sun Jun 01 20:11:34 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","1480","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Sun Jun 01 20:11:29 GMT 2025","passed","Sun Jun 01 20:11:31 GMT 2025","Overview > Stats","Dashboard","",""
"","286","Get Analysis Manufacturers","Assurdly | Producer API","Sun Jun 01 20:11:45 GMT 2025","passed","Sun Jun 01 20:11:45 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","155","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Sun Jun 01 20:11:25 GMT 2025","passed","Sun Jun 01 20:11:25 GMT 2025","Login","Authentication","",""
"","285","Get Preference - Empty Fields","Assurdly | Producer API","Sun Jun 01 20:11:41 GMT 2025","failed","Sun Jun 01 20:11:42 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","285","Get all config types","Assurdly | Producer API","Sun Jun 01 20:11:41 GMT 2025","passed","Sun Jun 01 20:11:41 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","283","Get Labels","Assurdly | Producer API","Sun Jun 01 20:11:42 GMT 2025","passed","Sun Jun 01 20:11:42 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","290","Read Notification","Assurdly | Producer API","Sun Jun 01 20:11:26 GMT 2025","passed","Sun Jun 01 20:11:26 GMT 2025","Notification","Home","",""
"","1760","Get Dashboard Statistics","Assurdly | Producer API","Sun Jun 01 20:11:28 GMT 2025","passed","Sun Jun 01 20:11:29 GMT 2025","Overview > Stats","Dashboard","",""
"","276","Create Bulk Event","Assurdly | Producer API","Sun Jun 01 20:11:46 GMT 2025","failed","Sun Jun 01 20:11:46 GMT 2025","","Analysis Event","",""
"","397","Create Single Event - No Auth","Assurdly | Producer API","Sun Jun 01 20:11:37 GMT 2025","passed","Sun Jun 01 20:11:38 GMT 2025","Single Event","Transformation Event","",""
"","328","Get Product Shared Government Count","Assurdly | Producer API","Sun Jun 01 20:11:31 GMT 2025","passed","Sun Jun 01 20:11:32 GMT 2025","","Shared With Government","",""
"","431","Notifications","Assurdly | Producer API","Sun Jun 01 20:11:25 GMT 2025","failed","Sun Jun 01 20:11:26 GMT 2025","Notification","Home","",""
"","284","Get Preference - Get Labels -","Assurdly | Producer API","Sun Jun 01 20:11:42 GMT 2025","failed","Sun Jun 01 20:11:42 GMT 2025","Analysis > Get Preference","Analysis Event","",""
