"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Fri Jun 06 18:46:56 GMT 2025","broken","Fri Jun 06 18:46:57 GMT 2025","","Shared With Government","",""
"","306","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Jun 06 18:46:54 GMT 2025","failed","Fri Jun 06 18:46:55 GMT 2025","","Product Instances","",""
"","299","Notifications","Assurdly | Receiver API","Fri Jun 06 18:46:49 GMT 2025","failed","Fri Jun 06 18:46:50 GMT 2025","Notification","Home","",""
"","281","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Fri Jun 06 18:47:02 GMT 2025","failed","Fri Jun 06 18:47:02 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","391","Get label - No auth","Assurdly | Receiver API","Fri Jun 06 18:47:01 GMT 2025","passed","Fri Jun 06 18:47:02 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","309","Get Product Instance","Assurdly | Receiver API","Fri Jun 06 18:46:54 GMT 2025","failed","Fri Jun 06 18:46:54 GMT 2025","","Product Instances","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","807","Total Event - Empty Fields","Assurdly | Receiver API","Fri Jun 06 18:46:53 GMT 2025","failed","Fri Jun 06 18:46:53 GMT 2025","","Events Records","",""
"","278","Get activity numbers","Assurdly | Receiver API","Fri Jun 06 18:47:03 GMT 2025","passed","Fri Jun 06 18:47:04 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","281","Get trading partner","Assurdly | Receiver API","Fri Jun 06 18:46:58 GMT 2025","passed","Fri Jun 06 18:46:58 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","275","Get label","Assurdly | Receiver API","Fri Jun 06 18:47:01 GMT 2025","passed","Fri Jun 06 18:47:01 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","392","get preference -No auth","Assurdly | Receiver API","Fri Jun 06 18:47:00 GMT 2025","passed","Fri Jun 06 18:47:01 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","398","get config types -No auth","Assurdly | Receiver API","Fri Jun 06 18:47:00 GMT 2025","passed","Fri Jun 06 18:47:00 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","317","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Jun 06 18:46:56 GMT 2025","failed","Fri Jun 06 18:46:56 GMT 2025","","Shared With Government","",""
"","154","Read Notification","Assurdly | Receiver API","Fri Jun 06 18:46:50 GMT 2025","passed","Fri Jun 06 18:46:50 GMT 2025","Notification","Home","",""
"","276","Set uom Preference","Assurdly | Receiver API","Fri Jun 06 18:46:51 GMT 2025","failed","Fri Jun 06 18:46:51 GMT 2025","Preference","Home","",""
"","153","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Fri Jun 06 18:46:49 GMT 2025","failed","Fri Jun 06 18:46:49 GMT 2025","Login","Authentication","",""
"","232","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Fri Jun 06 18:46:49 GMT 2025","passed","Fri Jun 06 18:46:49 GMT 2025","Login","Authentication","",""
"","215","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Fri Jun 06 18:46:49 GMT 2025","passed","Fri Jun 06 18:46:49 GMT 2025","Login","Authentication","",""
"","396","Get trading partner -No auth","Assurdly | Receiver API","Fri Jun 06 18:46:58 GMT 2025","passed","Fri Jun 06 18:46:59 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","574","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Jun 06 18:46:57 GMT 2025","failed","Fri Jun 06 18:46:57 GMT 2025","","Shared With Government","",""
"","278","Get Preference - Empty Fields","Assurdly | Receiver API","Fri Jun 06 18:47:01 GMT 2025","failed","Fri Jun 06 18:47:01 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","315","Get Product Instance Shared with Government","Assurdly | Receiver API","Fri Jun 06 18:46:56 GMT 2025","failed","Fri Jun 06 18:46:56 GMT 2025","","Shared With Government","",""
"","279","Total Events Count","Assurdly | Receiver API","Fri Jun 06 18:46:53 GMT 2025","passed","Fri Jun 06 18:46:54 GMT 2025","","Events Records","",""
"","334","Total Event","Assurdly | Receiver API","Fri Jun 06 18:46:52 GMT 2025","passed","Fri Jun 06 18:46:53 GMT 2025","","Events Records","",""
"","397","Get sites - No auth","Assurdly | Receiver API","Fri Jun 06 18:46:58 GMT 2025","passed","Fri Jun 06 18:46:58 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","394","Get tooltip - No auth","Assurdly | Receiver API","Fri Jun 06 18:46:59 GMT 2025","passed","Fri Jun 06 18:46:59 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","557","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Fri Jun 06 18:46:52 GMT 2025","failed","Fri Jun 06 18:46:52 GMT 2025","Stats","Dashboard","",""
"","281","Get tooltip","Assurdly | Receiver API","Fri Jun 06 18:46:59 GMT 2025","passed","Fri Jun 06 18:46:59 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","393","Get producer record receiving - No auth","Assurdly | Receiver API","Fri Jun 06 18:47:02 GMT 2025","passed","Fri Jun 06 18:47:03 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","558","Dashboard Filter","Assurdly | Receiver API","Fri Jun 06 18:46:51 GMT 2025","passed","Fri Jun 06 18:46:52 GMT 2025","Stats","Dashboard","",""
"","276","Set uom Preference - Empty Value","Assurdly | Receiver API","Fri Jun 06 18:46:51 GMT 2025","failed","Fri Jun 06 18:46:51 GMT 2025","Preference","Home","",""
"","284","Participant Detail","Assurdly | Receiver API","Fri Jun 06 18:46:50 GMT 2025","passed","Fri Jun 06 18:46:50 GMT 2025","participant","Home","",""
"","555","Get Product Instance Graph","Assurdly | Receiver API","Fri Jun 06 18:46:55 GMT 2025","passed","Fri Jun 06 18:46:55 GMT 2025","","Product Instances","",""
"","988","Login - Valid Credentials","Assurdly | Receiver API","Fri Jun 06 18:46:48 GMT 2025","passed","Fri Jun 06 18:46:49 GMT 2025","Login","Authentication","",""
"","279","Get producer record receiving","Assurdly | Receiver API","Fri Jun 06 18:47:03 GMT 2025","passed","Fri Jun 06 18:47:03 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
