"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Single event","Assurdly | Receiver API","Sun Apr 13 12:12:36 GMT 2025","passed","Sun Apr 13 12:12:36 GMT 2025","Single Event","Receiving Event","",""
"","452","Notifications","Assurdly | Receiver API","Sun Apr 13 12:12:25 GMT 2025","passed","Sun Apr 13 12:12:25 GMT 2025","Notification","Home","",""
"","215","Get label","Assurdly | Receiver API","Sun Apr 13 12:12:34 GMT 2025","passed","Sun Apr 13 12:12:34 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","476","Get Product Instance Graph","Assurdly | Receiver API","Sun Apr 13 12:12:29 GMT 2025","passed","Sun Apr 13 12:12:30 GMT 2025","","Product Instances","",""
"","212","Get sites - No auth","Assurdly | Receiver API","Sun Apr 13 12:12:32 GMT 2025","passed","Sun Apr 13 12:12:32 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","219","Get activity numbers","Assurdly | Receiver API","Sun Apr 13 12:12:35 GMT 2025","passed","Sun Apr 13 12:12:36 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","225","Total Events Count","Assurdly | Receiver API","Sun Apr 13 12:12:28 GMT 2025","passed","Sun Apr 13 12:12:29 GMT 2025","","Events Records","",""
"","215","Get activity numbers - No auth","Assurdly | Receiver API","Sun Apr 13 12:12:35 GMT 2025","passed","Sun Apr 13 12:12:35 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","268","Get Product Instance Shared with Government","Assurdly | Receiver API","Sun Apr 13 12:12:30 GMT 2025","passed","Sun Apr 13 12:12:31 GMT 2025","","Shared With Government","",""
"","475","Dashboard Filter","Assurdly | Receiver API","Sun Apr 13 12:12:26 GMT 2025","passed","Sun Apr 13 12:12:27 GMT 2025","Stats","Dashboard","",""
"","218","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Sun Apr 13 12:12:35 GMT 2025","failed","Sun Apr 13 12:12:35 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","198","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Sun Apr 13 12:12:24 GMT 2025","passed","Sun Apr 13 12:12:24 GMT 2025","Login","Authentication","",""
"","214","get preference -No auth","Assurdly | Receiver API","Sun Apr 13 12:12:33 GMT 2025","passed","Sun Apr 13 12:12:34 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","240","Participant Detail","Assurdly | Receiver API","Sun Apr 13 12:12:26 GMT 2025","passed","Sun Apr 13 12:12:26 GMT 2025","participant","Home","",""
"","188","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Sun Apr 13 12:12:24 GMT 2025","passed","Sun Apr 13 12:12:25 GMT 2025","Login","Authentication","",""
