"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","313","Get Share FQS - No auth","Assurdly | Producer API","Wed May 07 18:47:52 GMT 2025","passed","Wed May 07 18:47:52 GMT 2025","","FQS","",""
"","227","Get Share FQS Invalid Field","Assurdly | Producer API","Wed May 07 18:47:52 GMT 2025","passed","Wed May 07 18:47:52 GMT 2025","","FQS","",""
"","228","Get Labels","Assurdly | Producer API","Wed May 07 18:47:48 GMT 2025","passed","Wed May 07 18:47:48 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","223","Get Company Type","Assurdly | Producer API","Wed May 07 18:47:42 GMT 2025","passed","Wed May 07 18:47:42 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","228","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Wed May 07 18:47:48 GMT 2025","failed","Wed May 07 18:47:48 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","314","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Wed May 07 18:47:50 GMT 2025","passed","Wed May 07 18:47:50 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","227","Get Analysis Manufacturers","Assurdly | Producer API","Wed May 07 18:47:50 GMT 2025","passed","Wed May 07 18:47:50 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","233","Get Product Instance Invalid Field","Assurdly | Producer API","Wed May 07 18:47:44 GMT 2025","failed","Wed May 07 18:47:45 GMT 2025","","Product Instances","",""
"","230","Get Total Event Empty Field","Assurdly | Producer API","Wed May 07 18:47:45 GMT 2025","failed","Wed May 07 18:47:46 GMT 2025","","Events","",""
"","272","Get Dashboard Filter","Assurdly | Producer API","Wed May 07 18:47:39 GMT 2025","passed","Wed May 07 18:47:39 GMT 2025","Overview > Stats","Dashboard","",""
"","417","Get Product Instance Shared Government","Assurdly | Producer API","Wed May 07 18:47:39 GMT 2025","passed","Wed May 07 18:47:40 GMT 2025","","Shared With Government","",""
"","227","Get Preference - Get Labels -","Assurdly | Producer API","Wed May 07 18:47:47 GMT 2025","failed","Wed May 07 18:47:47 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","224","Get Labels","Assurdly | Producer API","Wed May 07 18:47:41 GMT 2025","passed","Wed May 07 18:47:41 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","222","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Wed May 07 18:47:49 GMT 2025","passed","Wed May 07 18:47:49 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","224","Get Preference - Empty Fields","Assurdly | Producer API","Wed May 07 18:47:41 GMT 2025","failed","Wed May 07 18:47:41 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","245","Participant Details","Assurdly | Producer API","Wed May 07 18:47:33 GMT 2025","passed","Wed May 07 18:47:34 GMT 2025","participant","Home","",""
"","1427","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Wed May 07 18:47:37 GMT 2025","passed","Wed May 07 18:47:39 GMT 2025","Overview > Stats","Dashboard","",""
"","257","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Wed May 07 18:47:39 GMT 2025","passed","Wed May 07 18:47:39 GMT 2025","","Shared With Government","",""
"","232","Get all config types","Assurdly | Producer API","Wed May 07 18:47:46 GMT 2025","passed","Wed May 07 18:47:47 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","315","Get Product Instance Graph","Assurdly | Producer API","Wed May 07 18:47:45 GMT 2025","passed","Wed May 07 18:47:45 GMT 2025","","Product Instances","",""
"","312","Get manufacturers - No auth","Assurdly | Producer API","Wed May 07 18:47:43 GMT 2025","passed","Wed May 07 18:47:43 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","234","Set uom Preference","Assurdly | Producer API","Wed May 07 18:47:35 GMT 2025","passed","Wed May 07 18:47:35 GMT 2025","Preference","Home","",""
"","225","Get Analysis Manufacturers","Assurdly | Producer API","Wed May 07 18:47:48 GMT 2025","passed","Wed May 07 18:47:49 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","312","Get FQS Invalid Field","Assurdly | Producer API","Wed May 07 18:47:51 GMT 2025","passed","Wed May 07 18:47:52 GMT 2025","","FQS","",""
"","228","Get Labels - Empty Fields","Assurdly | Producer API","Wed May 07 18:47:41 GMT 2025","failed","Wed May 07 18:47:42 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","300","Get Product Instance List","Assurdly | Producer API","Wed May 07 18:47:44 GMT 2025","passed","Wed May 07 18:47:44 GMT 2025","","Product Instances","",""
"","229","Get Preference","Assurdly | Producer API","Wed May 07 18:47:47 GMT 2025","passed","Wed May 07 18:47:47 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","234","Get Analysis Product Ids","Assurdly | Producer API","Wed May 07 18:47:49 GMT 2025","passed","Wed May 07 18:47:49 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","226","Get Tooltips","Assurdly | Producer API","Wed May 07 18:47:41 GMT 2025","passed","Wed May 07 18:47:41 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","236","Get uom Preference","Assurdly | Producer API","Wed May 07 18:47:35 GMT 2025","failed","Wed May 07 18:47:35 GMT 2025","Preference","Home","",""
"","327","Read Notification - No Authorisation","Assurdly | Producer API","Wed May 07 18:47:34 GMT 2025","passed","Wed May 07 18:47:35 GMT 2025","Notification","Home","",""
"","202","Login - Invalid Credentials","Assurdly | Producer API","Wed May 07 18:47:33 GMT 2025","passed","Wed May 07 18:47:33 GMT 2025","Login","Authentication","",""
"","234","Read Notification","Assurdly | Producer API","Wed May 07 18:47:34 GMT 2025","passed","Wed May 07 18:47:34 GMT 2025","Notification","Home","",""
"","254","Get Sites","Assurdly | Producer API","Wed May 07 18:47:40 GMT 2025","passed","Wed May 07 18:47:40 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","229","Get Preference - Empty Fields","Assurdly | Producer API","Wed May 07 18:47:47 GMT 2025","failed","Wed May 07 18:47:47 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","227","Create Bulk Event","Assurdly | Producer API","Wed May 07 18:47:51 GMT 2025","failed","Wed May 07 18:47:51 GMT 2025","","Analysis Event","",""
"","236","Set uom Preference - Empty Value","Assurdly | Producer API","Wed May 07 18:47:35 GMT 2025","passed","Wed May 07 18:47:35 GMT 2025","Preference","Home","",""
"","312","Create Single Event - No Auth","Assurdly | Producer API","Wed May 07 18:47:44 GMT 2025","passed","Wed May 07 18:47:44 GMT 2025","Single Event","Transformation Event","",""
"","224","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Wed May 07 18:47:49 GMT 2025","passed","Wed May 07 18:47:49 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","228","Get Tooltips","Assurdly | Producer API","Wed May 07 18:47:47 GMT 2025","passed","Wed May 07 18:47:48 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","225","Get Company Type","Assurdly | Producer API","Wed May 07 18:47:48 GMT 2025","passed","Wed May 07 18:47:48 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","233","Creating Analysis Event","Assurdly | Producer API","Wed May 07 18:47:50 GMT 2025","failed","Wed May 07 18:47:50 GMT 2025","Single Event","Analysis Event","",""
"","229","Get Sites","Assurdly | Producer API","Wed May 07 18:47:46 GMT 2025","passed","Wed May 07 18:47:46 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","228","Get Total Events Count","Assurdly | Producer API","Wed May 07 18:47:46 GMT 2025","passed","Wed May 07 18:47:46 GMT 2025","","Events","",""
