"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","333","Get Product Shared Government Count","Assurdly | Producer API","Sun May 11 20:10:56 GMT 2025","passed","Sun May 11 20:10:56 GMT 2025","","Shared With Government","",""
"","395","Get FQS Invalid Field","Assurdly | Producer API","Sun May 11 20:11:11 GMT 2025","passed","Sun May 11 20:11:12 GMT 2025","","FQS","",""
"","291","Get Product Instance Shared Government Copy","Assurdly | Producer API","Sun May 11 20:10:57 GMT 2025","passed","Sun May 11 20:10:57 GMT 2025","","Shared With Government","",""
"","313","Get FQS","Assurdly | Producer API","Sun May 11 20:11:11 GMT 2025","passed","Sun May 11 20:11:11 GMT 2025","","FQS","",""
"","281","Get Preference","Assurdly | Producer API","Sun May 11 20:11:05 GMT 2025","passed","Sun May 11 20:11:06 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","288","Get Share FQS Invalid Field","Assurdly | Producer API","Sun May 11 20:11:12 GMT 2025","passed","Sun May 11 20:11:12 GMT 2025","","FQS","",""
"","326","Get Dashboard Filter","Assurdly | Producer API","Sun May 11 20:10:55 GMT 2025","passed","Sun May 11 20:10:56 GMT 2025","Overview > Stats","Dashboard","",""
"","154","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Sun May 11 20:10:49 GMT 2025","passed","Sun May 11 20:10:49 GMT 2025","Login","Authentication","",""
"","288","Read Notification","Assurdly | Producer API","Sun May 11 20:10:50 GMT 2025","passed","Sun May 11 20:10:51 GMT 2025","Notification","Home","",""
"","883","Login - Valid Credentials","Assurdly | Producer API","Sun May 11 20:10:48 GMT 2025","passed","Sun May 11 20:10:49 GMT 2025","Login","Authentication","",""
"","278","Get Product Instance Invalid Field","Assurdly | Producer API","Sun May 11 20:11:03 GMT 2025","failed","Sun May 11 20:11:03 GMT 2025","","Product Instances","",""
"","283","Get product brand category","Assurdly | Producer API","Sun May 11 20:11:00 GMT 2025","passed","Sun May 11 20:11:00 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","287","Set uom Preference","Assurdly | Producer API","Sun May 11 20:10:52 GMT 2025","failed","Sun May 11 20:10:52 GMT 2025","Preference","Home","",""
"","282","Get all config types","Assurdly | Producer API","Sun May 11 20:11:05 GMT 2025","passed","Sun May 11 20:11:05 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","290","Get Total Event Empty Field","Assurdly | Producer API","Sun May 11 20:11:04 GMT 2025","failed","Sun May 11 20:11:04 GMT 2025","","Events","",""
"","290","Participant Details","Assurdly | Producer API","Sun May 11 20:10:50 GMT 2025","passed","Sun May 11 20:10:50 GMT 2025","participant","Home","",""
"","1481","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Sun May 11 20:10:54 GMT 2025","passed","Sun May 11 20:10:55 GMT 2025","Overview > Stats","Dashboard","",""
"","276","Get Analysis Manufacturers","Assurdly | Producer API","Sun May 11 20:11:08 GMT 2025","passed","Sun May 11 20:11:08 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","341","Create Single Event","Assurdly | Producer API","Sun May 11 20:11:01 GMT 2025","failed","Sun May 11 20:11:02 GMT 2025","Single Event","Transformation Event","",""
"","410","Read Notification - No Authorisation","Assurdly | Producer API","Sun May 11 20:10:51 GMT 2025","passed","Sun May 11 20:10:51 GMT 2025","Notification","Home","",""
"","280","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Sun May 11 20:11:03 GMT 2025","failed","Sun May 11 20:11:03 GMT 2025","","Product Instances","",""
"","280","Get manufacturers","Assurdly | Producer API","Sun May 11 20:11:01 GMT 2025","passed","Sun May 11 20:11:01 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","1750","Get Dashboard Statistics","Assurdly | Producer API","Sun May 11 20:10:52 GMT 2025","passed","Sun May 11 20:10:54 GMT 2025","Overview > Stats","Dashboard","",""
"","282","Get Preference - Get Labels -","Assurdly | Producer API","Sun May 11 20:11:06 GMT 2025","failed","Sun May 11 20:11:06 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","285","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Sun May 11 20:11:10 GMT 2025","passed","Sun May 11 20:11:11 GMT 2025","Single Event","Analysis Event","",""
"","280","Get Total Events Count Empty Field","Assurdly | Producer API","Sun May 11 20:11:04 GMT 2025","failed","Sun May 11 20:11:05 GMT 2025","","Events","",""
"","391","Get Product Instance Graph","Assurdly | Producer API","Sun May 11 20:11:03 GMT 2025","passed","Sun May 11 20:11:04 GMT 2025","","Product Instances","",""
"","280","Get Tooltips","Assurdly | Producer API","Sun May 11 20:10:58 GMT 2025","passed","Sun May 11 20:10:59 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","284","Create Bulk Event","Assurdly | Producer API","Sun May 11 20:11:11 GMT 2025","failed","Sun May 11 20:11:11 GMT 2025","","Analysis Event","",""
"","281","Get Labels - Empty Fields","Assurdly | Producer API","Sun May 11 20:11:07 GMT 2025","failed","Sun May 11 20:11:07 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","149","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Sun May 11 20:10:49 GMT 2025","failed","Sun May 11 20:10:49 GMT 2025","Login","Authentication","",""
"","280","Get Share FQS","Assurdly | Producer API","Sun May 11 20:11:12 GMT 2025","failed","Sun May 11 20:11:12 GMT 2025","","FQS","",""
"","283","Get Labels","Assurdly | Producer API","Sun May 11 20:10:59 GMT 2025","passed","Sun May 11 20:10:59 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","283","Get Analysis Product Ids","Assurdly | Producer API","Sun May 11 20:11:08 GMT 2025","passed","Sun May 11 20:11:08 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","274","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Sun May 11 20:11:08 GMT 2025","passed","Sun May 11 20:11:09 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","399","Get product brand category - No auth","Assurdly | Producer API","Sun May 11 20:11:00 GMT 2025","passed","Sun May 11 20:11:01 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","455","Get Product Instance Shared Government","Assurdly | Producer API","Sun May 11 20:10:56 GMT 2025","passed","Sun May 11 20:10:57 GMT 2025","","Shared With Government","",""
"","242","Tour Status","Assurdly | Producer API","Sun May 11 20:10:49 GMT 2025","passed","Sun May 11 20:10:50 GMT 2025","Tour","Home","",""
"","282","Read Notification - Invalid Notification id","Assurdly | Producer API","Sun May 11 20:10:51 GMT 2025","failed","Sun May 11 20:10:51 GMT 2025","Notification","Home","",""
"","279","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Sun May 11 20:11:08 GMT 2025","passed","Sun May 11 20:11:08 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","393","Get Share FQS - No auth","Assurdly | Producer API","Sun May 11 20:11:12 GMT 2025","passed","Sun May 11 20:11:13 GMT 2025","","FQS","",""
"","285","Get transform outprod","Assurdly | Producer API","Sun May 11 20:11:00 GMT 2025","passed","Sun May 11 20:11:00 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","286","Get Labels - Empty Fields","Assurdly | Producer API","Sun May 11 20:10:59 GMT 2025","failed","Sun May 11 20:10:59 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","395","Create Single Event - No Auth","Assurdly | Producer API","Sun May 11 20:11:02 GMT 2025","passed","Sun May 11 20:11:02 GMT 2025","Single Event","Transformation Event","",""
"","282","Get Sites","Assurdly | Producer API","Sun May 11 20:11:05 GMT 2025","passed","Sun May 11 20:11:05 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","279","Set uom Preference - Empty Value","Assurdly | Producer API","Sun May 11 20:10:52 GMT 2025","failed","Sun May 11 20:10:52 GMT 2025","Preference","Home","",""
"","396","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Sun May 11 20:11:09 GMT 2025","passed","Sun May 11 20:11:09 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","280","Get Analysis Manufacturers","Assurdly | Producer API","Sun May 11 20:11:09 GMT 2025","passed","Sun May 11 20:11:10 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","284","Get Preference","Assurdly | Producer API","Sun May 11 20:10:58 GMT 2025","passed","Sun May 11 20:10:58 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","279","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun May 11 20:10:59 GMT 2025","failed","Sun May 11 20:10:59 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","277","Get Company Type","Assurdly | Producer API","Sun May 11 20:11:07 GMT 2025","passed","Sun May 11 20:11:08 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","283","Get Analysis Manufacturers","Assurdly | Producer API","Sun May 11 20:11:09 GMT 2025","passed","Sun May 11 20:11:09 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","306","Get Sites","Assurdly | Producer API","Sun May 11 20:10:57 GMT 2025","passed","Sun May 11 20:10:57 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","279","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun May 11 20:11:07 GMT 2025","failed","Sun May 11 20:11:07 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","278","Get Tooltips","Assurdly | Producer API","Sun May 11 20:11:06 GMT 2025","passed","Sun May 11 20:11:06 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","280","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Sun May 11 20:11:10 GMT 2025","passed","Sun May 11 20:11:10 GMT 2025","Single Event","Analysis Event","",""
"","290","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Sun May 11 20:10:56 GMT 2025","passed","Sun May 11 20:10:56 GMT 2025","","Shared With Government","",""
"","422","Notifications","Assurdly | Producer API","Sun May 11 20:10:50 GMT 2025","failed","Sun May 11 20:10:50 GMT 2025","Notification","Home","",""
"","392","Get Total Event","Assurdly | Producer API","Sun May 11 20:11:04 GMT 2025","passed","Sun May 11 20:11:04 GMT 2025","","Events","",""
"","279","Get Company Type","Assurdly | Producer API","Sun May 11 20:10:59 GMT 2025","passed","Sun May 11 20:11:00 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
