"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","361","Get uom Preference","Assurdly | Producer API","Sun Apr 13 12:06:35 GMT 2025","failed","Sun Apr 13 12:06:35 GMT 2025","Preference","Home","",""
"","360","Get all config types","Assurdly | Producer API","Sun Apr 13 12:06:42 GMT 2025","passed","Sun Apr 13 12:06:42 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","376","Get Product Instance Shared Government Copy","Assurdly | Producer API","Sun Apr 13 12:06:41 GMT 2025","passed","Sun Apr 13 12:06:41 GMT 2025","","Shared With Government","",""
"","366","Read Notification","Assurdly | Producer API","Sun Apr 13 12:06:34 GMT 2025","passed","Sun Apr 13 12:06:34 GMT 2025","Notification","Home","",""
"","355","Get Labels - Empty Fields","Assurdly | Producer API","Sun Apr 13 12:06:53 GMT 2025","failed","Sun Apr 13 12:06:53 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","347","Create Bulk Event","Assurdly | Producer API","Sun Apr 13 12:06:57 GMT 2025","failed","Sun Apr 13 12:06:58 GMT 2025","","Analysis Event","",""
"","361","Get Analysis Product Ids","Assurdly | Producer API","Sun Apr 13 12:06:55 GMT 2025","passed","Sun Apr 13 12:06:55 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","379","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Sun Apr 13 12:06:48 GMT 2025","failed","Sun Apr 13 12:06:48 GMT 2025","","Product Instances","",""
"","354","Get Analysis Manufacturers","Assurdly | Producer API","Sun Apr 13 12:06:56 GMT 2025","passed","Sun Apr 13 12:06:56 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","356","Get transform outprod","Assurdly | Producer API","Sun Apr 13 12:06:45 GMT 2025","passed","Sun Apr 13 12:06:45 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","516","Read Notification - No Authorisation","Assurdly | Producer API","Sun Apr 13 12:06:34 GMT 2025","passed","Sun Apr 13 12:06:35 GMT 2025","Notification","Home","",""
"","542","Notifications","Assurdly | Producer API","Sun Apr 13 12:06:33 GMT 2025","failed","Sun Apr 13 12:06:34 GMT 2025","Notification","Home","",""
"","365","Set uom Preference - Empty Value","Assurdly | Producer API","Sun Apr 13 12:06:36 GMT 2025","passed","Sun Apr 13 12:06:36 GMT 2025","Preference","Home","",""
"","410","Get FQS","Assurdly | Producer API","Sun Apr 13 12:06:58 GMT 2025","passed","Sun Apr 13 12:06:58 GMT 2025","","FQS","",""
"","357","Read Notification - Invalid Notification id","Assurdly | Producer API","Sun Apr 13 12:06:34 GMT 2025","failed","Sun Apr 13 12:06:34 GMT 2025","Notification","Home","",""
"","365","Get Total Events Count","Assurdly | Producer API","Sun Apr 13 12:06:50 GMT 2025","passed","Sun Apr 13 12:06:50 GMT 2025","","Events","",""
"","1818","Get Dashboard Statistics","Assurdly | Producer API","Sun Apr 13 12:06:36 GMT 2025","passed","Sun Apr 13 12:06:38 GMT 2025","Overview > Stats","Dashboard","",""
"","188","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Sun Apr 13 12:06:32 GMT 2025","failed","Sun Apr 13 12:06:32 GMT 2025","Login","Authentication","",""
"","353","Get Total Event","Assurdly | Producer API","Sun Apr 13 12:06:49 GMT 2025","failed","Sun Apr 13 12:06:49 GMT 2025","","Events","",""
"","352","Get product brand category - No auth","Assurdly | Producer API","Sun Apr 13 12:06:45 GMT 2025","passed","Sun Apr 13 12:06:46 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","357","Get all config types","Assurdly | Producer API","Sun Apr 13 12:06:51 GMT 2025","passed","Sun Apr 13 12:06:51 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","348","Create Single Event - No Auth","Assurdly | Producer API","Sun Apr 13 12:06:47 GMT 2025","passed","Sun Apr 13 12:06:47 GMT 2025","Single Event","Transformation Event","",""
"","354","Get manufacturers","Assurdly | Producer API","Sun Apr 13 12:06:46 GMT 2025","passed","Sun Apr 13 12:06:46 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","374","Get Sites","Assurdly | Producer API","Sun Apr 13 12:06:41 GMT 2025","passed","Sun Apr 13 12:06:42 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","357","Get Preference","Assurdly | Producer API","Sun Apr 13 12:06:51 GMT 2025","passed","Sun Apr 13 12:06:51 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","355","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Sun Apr 13 12:06:54 GMT 2025","passed","Sun Apr 13 12:06:55 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","353","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Sun Apr 13 12:06:55 GMT 2025","passed","Sun Apr 13 12:06:55 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","511","Tour Status","Assurdly | Producer API","Sun Apr 13 12:06:32 GMT 2025","passed","Sun Apr 13 12:06:33 GMT 2025","Tour","Home","",""
"","355","Get Labels","Assurdly | Producer API","Sun Apr 13 12:06:43 GMT 2025","passed","Sun Apr 13 12:06:44 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","367","Get Product Instance Invalid Field","Assurdly | Producer API","Sun Apr 13 12:06:48 GMT 2025","failed","Sun Apr 13 12:06:48 GMT 2025","","Product Instances","",""
"","417","Create Single Event","Assurdly | Producer API","Sun Apr 13 12:06:47 GMT 2025","failed","Sun Apr 13 12:06:47 GMT 2025","Single Event","Transformation Event","",""
"","360","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Apr 13 12:06:44 GMT 2025","failed","Sun Apr 13 12:06:44 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","427","Get Product Shared Government Count","Assurdly | Producer API","Sun Apr 13 12:06:40 GMT 2025","passed","Sun Apr 13 12:06:40 GMT 2025","","Shared With Government","",""
"","359","Get Preference - Empty Fields","Assurdly | Producer API","Sun Apr 13 12:06:43 GMT 2025","failed","Sun Apr 13 12:06:43 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","358","Get Total Events Count Empty Field","Assurdly | Producer API","Sun Apr 13 12:06:50 GMT 2025","failed","Sun Apr 13 12:06:50 GMT 2025","","Events","",""
"","353","Get Share FQS Invalid Field","Assurdly | Producer API","Sun Apr 13 12:06:59 GMT 2025","passed","Sun Apr 13 12:06:59 GMT 2025","","FQS","",""
"","354","Get Sites","Assurdly | Producer API","Sun Apr 13 12:06:50 GMT 2025","passed","Sun Apr 13 12:06:51 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","362","Get Labels - Empty Fields","Assurdly | Producer API","Sun Apr 13 12:06:44 GMT 2025","failed","Sun Apr 13 12:06:44 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","354","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Sun Apr 13 12:06:56 GMT 2025","passed","Sun Apr 13 12:06:56 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","358","Get Total Event Empty Field","Assurdly | Producer API","Sun Apr 13 12:06:49 GMT 2025","failed","Sun Apr 13 12:06:50 GMT 2025","","Events","",""
