"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139","Participant Details","Assurdly | Government APIs","Sun Jun 15 20:09:44 GMT 2025","failed","Sun Jun 15 20:09:45 GMT 2025","participant","Home","",""
"","219","Tour Status","Assurdly | Government APIs","Sun Jun 15 20:09:44 GMT 2025","passed","Sun Jun 15 20:09:44 GMT 2025","Tour","Home","",""
"","314","Get Product Instance List Copy","Assurdly | Government APIs","Sun Jun 15 20:09:46 GMT 2025","passed","Sun Jun 15 20:09:46 GMT 2025","","Participant List","",""
"","131","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Sun Jun 15 20:09:44 GMT 2025","passed","Sun Jun 15 20:09:44 GMT 2025","Login","Authentication","",""
"","227","Get all config types","Assurdly | Government APIs","Sun Jun 15 20:09:48 GMT 2025","passed","Sun Jun 15 20:09:49 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","225","Total Events Count","Assurdly | Government APIs","Sun Jun 15 20:09:53 GMT 2025","passed","Sun Jun 15 20:09:54 GMT 2025","","Events Records","",""
"","227","Get Tooltips","Assurdly | Government APIs","Sun Jun 15 20:09:49 GMT 2025","passed","Sun Jun 15 20:09:50 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","228","Total Event - Empty Fields","Assurdly | Government APIs","Sun Jun 15 20:09:53 GMT 2025","failed","Sun Jun 15 20:09:53 GMT 2025","","Events Records","",""
"","283","Get Producer Activity","Assurdly | Government APIs","Sun Jun 15 20:09:46 GMT 2025","passed","Sun Jun 15 20:09:47 GMT 2025","","Participant Activity","",""
"","228","Get Analysis Manufacturers","Assurdly | Government APIs","Sun Jun 15 20:09:51 GMT 2025","passed","Sun Jun 15 20:09:52 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","270","Get Product Instance List","Assurdly | Government APIs","Sun Jun 15 20:09:47 GMT 2025","passed","Sun Jun 15 20:09:47 GMT 2025","","Product Instances","",""
"","237","Get Company Type","Assurdly | Government APIs","Sun Jun 15 20:09:50 GMT 2025","passed","Sun Jun 15 20:09:50 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","219","Login - Invalid Credentials","Assurdly | Government APIs","Sun Jun 15 20:09:43 GMT 2025","passed","Sun Jun 15 20:09:43 GMT 2025","Login","Authentication","",""
"","132","Read Notification","Assurdly | Government APIs","Sun Jun 15 20:09:44 GMT 2025","passed","Sun Jun 15 20:09:44 GMT 2025","Notification","Home","",""
"","311","Site Overview - No auth","Assurdly | Government APIs","Sun Jun 15 20:09:48 GMT 2025","passed","Sun Jun 15 20:09:48 GMT 2025","","Site Overview","",""
"","229","Get Analysis Product Ids","Assurdly | Government APIs","Sun Jun 15 20:09:51 GMT 2025","passed","Sun Jun 15 20:09:51 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","282","Total Event","Assurdly | Government APIs","Sun Jun 15 20:09:53 GMT 2025","passed","Sun Jun 15 20:09:53 GMT 2025","","Events Records","",""
"","232","Get Preference","Assurdly | Government APIs","Sun Jun 15 20:09:49 GMT 2025","passed","Sun Jun 15 20:09:49 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","274","Get Product Instance List","Assurdly | Government APIs","Sun Jun 15 20:09:46 GMT 2025","passed","Sun Jun 15 20:09:46 GMT 2025","","Participant List","",""
"","131","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Sun Jun 15 20:09:43 GMT 2025","failed","Sun Jun 15 20:09:44 GMT 2025","Login","Authentication","",""
"","129","Read Notification - Invalid Notification id","Assurdly | Government APIs","Sun Jun 15 20:09:44 GMT 2025","failed","Sun Jun 15 20:09:44 GMT 2025","Notification","Home","",""
"","314","Get Producer Activity  - No Auth","Assurdly | Government APIs","Sun Jun 15 20:09:47 GMT 2025","passed","Sun Jun 15 20:09:47 GMT 2025","","Participant Activity","",""
"","224","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Sun Jun 15 20:09:53 GMT 2025","passed","Sun Jun 15 20:09:53 GMT 2025","Single Event","Analysis Event","",""
"","233","Creating Analysis Event","Assurdly | Government APIs","Sun Jun 15 20:09:52 GMT 2025","failed","Sun Jun 15 20:09:52 GMT 2025","Single Event","Analysis Event","",""
"","219","Notifications","Assurdly | Government APIs","Sun Jun 15 20:09:44 GMT 2025","failed","Sun Jun 15 20:09:44 GMT 2025","Notification","Home","",""
"","223","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Sun Jun 15 20:09:46 GMT 2025","failed","Sun Jun 15 20:09:46 GMT 2025","Stats","Dashboard","",""
"","743","Login - Valid Credentials","Assurdly | Government APIs","Sun Jun 15 20:09:42 GMT 2025","passed","Sun Jun 15 20:09:43 GMT 2025","Login","Authentication","",""
"","284","Get Sites","Assurdly | Government APIs","Sun Jun 15 20:09:48 GMT 2025","passed","Sun Jun 15 20:09:48 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","228","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Sun Jun 15 20:09:52 GMT 2025","passed","Sun Jun 15 20:09:53 GMT 2025","Single Event","Analysis Event","",""
"","317","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Sun Jun 15 20:09:52 GMT 2025","passed","Sun Jun 15 20:09:52 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","226","Get Labels","Assurdly | Government APIs","Sun Jun 15 20:09:50 GMT 2025","passed","Sun Jun 15 20:09:50 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","230","Get Analysis Manufacturers","Assurdly | Government APIs","Sun Jun 15 20:09:50 GMT 2025","passed","Sun Jun 15 20:09:51 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","235","Set Preference","Assurdly | Government APIs","Sun Jun 15 20:09:45 GMT 2025","failed","Sun Jun 15 20:09:45 GMT 2025","Preference > Set UOM Preference","Home","",""
"","224","Get Preference - Empty Fields","Assurdly | Government APIs","Sun Jun 15 20:09:49 GMT 2025","failed","Sun Jun 15 20:09:49 GMT 2025","Analysis > Get Preference","Analysis Event","",""
