"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","823","Login - Valid Credentials","Assurdly | Producer API","Fri Apr 25 18:47:37 GMT 2025","passed","Fri Apr 25 18:47:38 GMT 2025","Login","Authentication","",""
"","252","Create Single Event","Assurdly | Producer API","Fri Apr 25 18:47:48 GMT 2025","failed","Fri Apr 25 18:47:49 GMT 2025","Single Event","Transformation Event","",""
"","224","Get Total Event Empty Field","Assurdly | Producer API","Fri Apr 25 18:47:50 GMT 2025","failed","Fri Apr 25 18:47:51 GMT 2025","","Events","",""
"","314","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Fri Apr 25 18:47:54 GMT 2025","passed","Fri Apr 25 18:47:55 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","224","Get Analysis Manufacturers","Assurdly | Producer API","Fri Apr 25 18:47:53 GMT 2025","passed","Fri Apr 25 18:47:54 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","193","Login - Invalid Credentials","Assurdly | Producer API","Fri Apr 25 18:47:38 GMT 2025","passed","Fri Apr 25 18:47:38 GMT 2025","Login","Authentication","",""
"","225","Get Labels - Empty Fields","Assurdly | Producer API","Fri Apr 25 18:47:46 GMT 2025","failed","Fri Apr 25 18:47:47 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","308","Create Single Event - No Auth","Assurdly | Producer API","Fri Apr 25 18:47:49 GMT 2025","passed","Fri Apr 25 18:47:49 GMT 2025","Single Event","Transformation Event","",""
"","305","Get Product Instance Graph","Assurdly | Producer API","Fri Apr 25 18:47:50 GMT 2025","passed","Fri Apr 25 18:47:50 GMT 2025","","Product Instances","",""
"","230","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Fri Apr 25 18:47:55 GMT 2025","passed","Fri Apr 25 18:47:56 GMT 2025","Single Event","Analysis Event","",""
"","230","Get manufacturers","Assurdly | Producer API","Fri Apr 25 18:47:48 GMT 2025","passed","Fri Apr 25 18:47:48 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","219","Create Bulk Event","Assurdly | Producer API","Fri Apr 25 18:47:56 GMT 2025","failed","Fri Apr 25 18:47:56 GMT 2025","","Analysis Event","",""
"","226","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Fri Apr 25 18:47:55 GMT 2025","passed","Fri Apr 25 18:47:55 GMT 2025","Single Event","Analysis Event","",""
"","253","Get Sites","Assurdly | Producer API","Fri Apr 25 18:47:45 GMT 2025","passed","Fri Apr 25 18:47:45 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","224","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Fri Apr 25 18:47:53 GMT 2025","failed","Fri Apr 25 18:47:53 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","223","Get Analysis Manufacturers","Assurdly | Producer API","Fri Apr 25 18:47:55 GMT 2025","passed","Fri Apr 25 18:47:55 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","260","Get FQS","Assurdly | Producer API","Fri Apr 25 18:47:56 GMT 2025","passed","Fri Apr 25 18:47:56 GMT 2025","","FQS","",""
"","225","Get all config types","Assurdly | Producer API","Fri Apr 25 18:47:51 GMT 2025","passed","Fri Apr 25 18:47:51 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","221","Get Labels","Assurdly | Producer API","Fri Apr 25 18:47:52 GMT 2025","passed","Fri Apr 25 18:47:53 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","237","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Fri Apr 25 18:47:49 GMT 2025","failed","Fri Apr 25 18:47:50 GMT 2025","","Product Instances","",""
"","226","Get Preference - Empty Fields","Assurdly | Producer API","Fri Apr 25 18:47:52 GMT 2025","failed","Fri Apr 25 18:47:52 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","224","Get Labels","Assurdly | Producer API","Fri Apr 25 18:47:46 GMT 2025","passed","Fri Apr 25 18:47:46 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","309","Get manufacturers - No auth","Assurdly | Producer API","Fri Apr 25 18:47:48 GMT 2025","passed","Fri Apr 25 18:47:48 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","135","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Fri Apr 25 18:47:38 GMT 2025","passed","Fri Apr 25 18:47:38 GMT 2025","Login","Authentication","",""
"","234","Read Notification","Assurdly | Producer API","Fri Apr 25 18:47:39 GMT 2025","passed","Fri Apr 25 18:47:39 GMT 2025","Notification","Home","",""
"","242","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Fri Apr 25 18:47:47 GMT 2025","failed","Fri Apr 25 18:47:47 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","225","Get Sites","Assurdly | Producer API","Fri Apr 25 18:47:51 GMT 2025","passed","Fri Apr 25 18:47:51 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","226","Get Labels - Empty Fields","Assurdly | Producer API","Fri Apr 25 18:47:53 GMT 2025","failed","Fri Apr 25 18:47:53 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","228","Get Total Events Count","Assurdly | Producer API","Fri Apr 25 18:47:51 GMT 2025","passed","Fri Apr 25 18:47:51 GMT 2025","","Events","",""
"","311","Get Share FQS - No auth","Assurdly | Producer API","Fri Apr 25 18:47:57 GMT 2025","passed","Fri Apr 25 18:47:57 GMT 2025","","FQS","",""
"","418","Get Product Instance Shared Government","Assurdly | Producer API","Fri Apr 25 18:47:44 GMT 2025","passed","Fri Apr 25 18:47:45 GMT 2025","","Shared With Government","",""
"","224","Get Preference - Empty Fields","Assurdly | Producer API","Fri Apr 25 18:47:46 GMT 2025","failed","Fri Apr 25 18:47:46 GMT 2025","Transformation > Get Preference","Transformation Event","",""
