"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","282","Set uom Preference","Assurdly | Receiver API","Fri May 02 18:44:35 GMT 2025","passed","Fri May 02 18:44:35 GMT 2025","Preference","Home","",""
"","274","get config types","Assurdly | Receiver API","Fri May 02 18:44:43 GMT 2025","passed","Fri May 02 18:44:43 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","818","Login - Valid Credentials","Assurdly | Receiver API","Fri May 02 18:44:32 GMT 2025","passed","Fri May 02 18:44:33 GMT 2025","Login","Authentication","",""
"","280","Get activity numbers","Assurdly | Receiver API","Fri May 02 18:44:47 GMT 2025","passed","Fri May 02 18:44:47 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","276","Get trading partner","Assurdly | Receiver API","Fri May 02 18:44:42 GMT 2025","passed","Fri May 02 18:44:42 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","214","Notifications","Assurdly | Receiver API","Fri May 02 18:44:33 GMT 2025","passed","Fri May 02 18:44:34 GMT 2025","Notification","Home","",""
"","157","Read Notification","Assurdly | Receiver API","Fri May 02 18:44:34 GMT 2025","passed","Fri May 02 18:44:34 GMT 2025","Notification","Home","",""
"","279","Total Events Count - Empty Fields","Assurdly | Receiver API","Fri May 02 18:44:38 GMT 2025","failed","Fri May 02 18:44:38 GMT 2025","","Events Records","",""
"","324","Get Product Instance Shared with Government","Assurdly | Receiver API","Fri May 02 18:44:40 GMT 2025","passed","Fri May 02 18:44:40 GMT 2025","","Shared With Government","",""
"","335","Total Event","Assurdly | Receiver API","Fri May 02 18:44:36 GMT 2025","passed","Fri May 02 18:44:37 GMT 2025","","Events Records","",""
"","273","Get Preference - Empty Fields","Assurdly | Receiver API","Fri May 02 18:44:45 GMT 2025","failed","Fri May 02 18:44:45 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","163","Tour Status","Assurdly | Receiver API","Fri May 02 18:44:34 GMT 2025","passed","Fri May 02 18:44:34 GMT 2025","Tour","Home","",""
"","214","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Fri May 02 18:44:33 GMT 2025","passed","Fri May 02 18:44:33 GMT 2025","Login","Authentication","",""
"","391","Single event -No auth","Assurdly | Receiver API","Fri May 02 18:44:48 GMT 2025","passed","Fri May 02 18:44:48 GMT 2025","Single Event","Receiving Event","",""
"","385","Get producer record receiving - No auth","Assurdly | Receiver API","Fri May 02 18:44:46 GMT 2025","passed","Fri May 02 18:44:46 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","290","Participant Detail","Assurdly | Receiver API","Fri May 02 18:44:34 GMT 2025","passed","Fri May 02 18:44:34 GMT 2025","participant","Home","",""
