"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","472","Notifications","Assurdly | Government APIs","Sun May 25 20:09:15 GMT 2025","failed","Sun May 25 20:09:16 GMT 2025","Notification","Home","",""
"","282","Get Tooltips","Assurdly | Government APIs","Sun May 25 20:09:22 GMT 2025","passed","Sun May 25 20:09:23 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","400","Get Product Instance List Copy","Assurdly | Government APIs","Sun May 25 20:09:18 GMT 2025","passed","Sun May 25 20:09:19 GMT 2025","","Participant List","",""
"","399","Get Producer Activity  - No Auth","Assurdly | Government APIs","Sun May 25 20:09:19 GMT 2025","passed","Sun May 25 20:09:20 GMT 2025","","Participant Activity","",""
"","287","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Sun May 25 20:09:24 GMT 2025","passed","Sun May 25 20:09:24 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","164","Participant Details","Assurdly | Government APIs","Sun May 25 20:09:16 GMT 2025","failed","Sun May 25 20:09:17 GMT 2025","participant","Home","",""
"","330","Get Product Instance List","Assurdly | Government APIs","Sun May 25 20:09:18 GMT 2025","passed","Sun May 25 20:09:18 GMT 2025","","Participant List","",""
"","288","Get Preference","Assurdly | Government APIs","Sun May 25 20:09:17 GMT 2025","failed","Sun May 25 20:09:17 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","289","Get Preference - Empty Fields","Assurdly | Government APIs","Sun May 25 20:09:22 GMT 2025","failed","Sun May 25 20:09:22 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","284","Get Labels - Empty Fields","Assurdly | Government APIs","Sun May 25 20:09:23 GMT 2025","failed","Sun May 25 20:09:23 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","397","Site Overview - No auth","Assurdly | Government APIs","Sun May 25 20:09:21 GMT 2025","passed","Sun May 25 20:09:21 GMT 2025","","Site Overview","",""
"","159","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Sun May 25 20:09:15 GMT 2025","failed","Sun May 25 20:09:15 GMT 2025","Login","Authentication","",""
"","284","Get Preference - Get Labels -","Assurdly | Government APIs","Sun May 25 20:09:22 GMT 2025","failed","Sun May 25 20:09:22 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","284","Total Event - Empty Fields","Assurdly | Government APIs","Sun May 25 20:09:27 GMT 2025","failed","Sun May 25 20:09:28 GMT 2025","","Events Records","",""
"","289","Get all config types","Assurdly | Government APIs","Sun May 25 20:09:21 GMT 2025","passed","Sun May 25 20:09:22 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","332","Get Product Instance List","Assurdly | Government APIs","Sun May 25 20:09:20 GMT 2025","passed","Sun May 25 20:09:20 GMT 2025","","Product Instances","",""
"","402","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Sun May 25 20:09:25 GMT 2025","passed","Sun May 25 20:09:26 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","292","Get Analysis Manufacturers","Assurdly | Government APIs","Sun May 25 20:09:24 GMT 2025","passed","Sun May 25 20:09:24 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","855","Login - Valid Credentials","Assurdly | Government APIs","Sun May 25 20:09:14 GMT 2025","passed","Sun May 25 20:09:15 GMT 2025","Login","Authentication","",""
"","287","Get Preference","Assurdly | Government APIs","Sun May 25 20:09:22 GMT 2025","passed","Sun May 25 20:09:22 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","397","Get Product Instance List  - No Auth","Assurdly | Government APIs","Sun May 25 20:09:20 GMT 2025","passed","Sun May 25 20:09:20 GMT 2025","","Product Instances","",""
