"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","Creating Analysis Event","Assurdly | Government APIs","Wed May 14 18:48:48 GMT 2025","failed","Wed May 14 18:48:48 GMT 2025","Single Event","Analysis Event","",""
"","878","Login - Valid Credentials","Assurdly | Government APIs","Wed May 14 18:48:38 GMT 2025","passed","Wed May 14 18:48:39 GMT 2025","Login","Authentication","",""
"","228","Get Labels","Assurdly | Government APIs","Wed May 14 18:48:45 GMT 2025","passed","Wed May 14 18:48:45 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","316","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Wed May 14 18:48:47 GMT 2025","passed","Wed May 14 18:48:48 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","231","Get Preference - Empty Fields","Assurdly | Government APIs","Wed May 14 18:48:44 GMT 2025","failed","Wed May 14 18:48:45 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","229","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Wed May 14 18:48:46 GMT 2025","failed","Wed May 14 18:48:46 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","125","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Wed May 14 18:48:39 GMT 2025","failed","Wed May 14 18:48:39 GMT 2025","Login","Authentication","",""
"","234","Get Preference","Assurdly | Government APIs","Wed May 14 18:48:40 GMT 2025","failed","Wed May 14 18:48:40 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","309","Get Producer Activity  - No Auth","Assurdly | Government APIs","Wed May 14 18:48:42 GMT 2025","passed","Wed May 14 18:48:43 GMT 2025","","Participant Activity","",""
"","220","Tour Status","Assurdly | Government APIs","Wed May 14 18:48:40 GMT 2025","passed","Wed May 14 18:48:40 GMT 2025","Tour","Home","",""
"","290","Get Producer Activity","Assurdly | Government APIs","Wed May 14 18:48:42 GMT 2025","passed","Wed May 14 18:48:42 GMT 2025","","Participant Activity","",""
"","231","Get Preference","Assurdly | Government APIs","Wed May 14 18:48:44 GMT 2025","passed","Wed May 14 18:48:44 GMT 2025","Analysis > Get Preference","Analysis Event","",""
