"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","215","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Sun Jun 08 20:13:37 GMT 2025","passed","Sun Jun 08 20:13:37 GMT 2025","Login","Authentication","",""
"","580","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Jun 08 20:13:44 GMT 2025","failed","Sun Jun 08 20:13:45 GMT 2025","","Shared With Government","",""
"","284","Get Preference - Empty Fields","Assurdly | Receiver API","Sun Jun 08 20:13:49 GMT 2025","failed","Sun Jun 08 20:13:49 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","569","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Sun Jun 08 20:13:40 GMT 2025","failed","Sun Jun 08 20:13:40 GMT 2025","Stats","Dashboard","",""
"","284","Get uom Preference","Assurdly | Receiver API","Sun Jun 08 20:13:38 GMT 2025","failed","Sun Jun 08 20:13:38 GMT 2025","Preference","Home","",""
"","397","Get producer record receiving - No auth","Assurdly | Receiver API","Sun Jun 08 20:13:50 GMT 2025","passed","Sun Jun 08 20:13:50 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","304","Get sites","Assurdly | Receiver API","Sun Jun 08 20:13:45 GMT 2025","passed","Sun Jun 08 20:13:45 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","281","Get trading partner","Assurdly | Receiver API","Sun Jun 08 20:13:46 GMT 2025","passed","Sun Jun 08 20:13:46 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","204","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Sun Jun 08 20:13:44 GMT 2025","broken","Sun Jun 08 20:13:44 GMT 2025","","Shared With Government","",""
"","568","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Jun 08 20:13:43 GMT 2025","failed","Sun Jun 08 20:13:44 GMT 2025","","Product Instances","",""
"","320","Get Product Instance Shared with Government","Assurdly | Receiver API","Sun Jun 08 20:13:44 GMT 2025","failed","Sun Jun 08 20:13:44 GMT 2025","","Shared With Government","",""
"","406","get config types -No auth","Assurdly | Receiver API","Sun Jun 08 20:13:47 GMT 2025","passed","Sun Jun 08 20:13:48 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","339","Total Event","Assurdly | Receiver API","Sun Jun 08 20:13:40 GMT 2025","passed","Sun Jun 08 20:13:40 GMT 2025","","Events Records","",""
"","285","Get tooltip","Assurdly | Receiver API","Sun Jun 08 20:13:46 GMT 2025","passed","Sun Jun 08 20:13:47 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","279","Set uom Preference - Empty Value","Assurdly | Receiver API","Sun Jun 08 20:13:39 GMT 2025","failed","Sun Jun 08 20:13:39 GMT 2025","Preference","Home","",""
"","284","Total Events Count","Assurdly | Receiver API","Sun Jun 08 20:13:41 GMT 2025","passed","Sun Jun 08 20:13:42 GMT 2025","","Events Records","",""
"","278","Get label","Assurdly | Receiver API","Sun Jun 08 20:13:49 GMT 2025","passed","Sun Jun 08 20:13:49 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","397","Get label - No auth","Assurdly | Receiver API","Sun Jun 08 20:13:49 GMT 2025","passed","Sun Jun 08 20:13:49 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","234","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Sun Jun 08 20:13:36 GMT 2025","passed","Sun Jun 08 20:13:37 GMT 2025","Login","Authentication","",""
"","283","get preference","Assurdly | Receiver API","Sun Jun 08 20:13:48 GMT 2025","passed","Sun Jun 08 20:13:48 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","400","Get activity numbers - No auth","Assurdly | Receiver API","Sun Jun 08 20:13:51 GMT 2025","passed","Sun Jun 08 20:13:51 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","566","Get Product Instance Graph","Assurdly | Receiver API","Sun Jun 08 20:13:42 GMT 2025","passed","Sun Jun 08 20:13:43 GMT 2025","","Product Instances","",""
"","397","get preference -No auth","Assurdly | Receiver API","Sun Jun 08 20:13:48 GMT 2025","passed","Sun Jun 08 20:13:49 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","284","Get producer record receiving","Assurdly | Receiver API","Sun Jun 08 20:13:50 GMT 2025","passed","Sun Jun 08 20:13:51 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","341","Notifications","Assurdly | Receiver API","Sun Jun 08 20:13:37 GMT 2025","failed","Sun Jun 08 20:13:37 GMT 2025","Notification","Home","",""
"","284","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Sun Jun 08 20:13:49 GMT 2025","failed","Sun Jun 08 20:13:50 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","286","Participant Detail","Assurdly | Receiver API","Sun Jun 08 20:13:38 GMT 2025","passed","Sun Jun 08 20:13:38 GMT 2025","participant","Home","",""
"","308","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Jun 08 20:13:42 GMT 2025","failed","Sun Jun 08 20:13:42 GMT 2025","","Product Instances","",""
"","396","Get trading partner -No auth","Assurdly | Receiver API","Sun Jun 08 20:13:46 GMT 2025","passed","Sun Jun 08 20:13:46 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","154","Read Notification","Assurdly | Receiver API","Sun Jun 08 20:13:37 GMT 2025","passed","Sun Jun 08 20:13:37 GMT 2025","Notification","Home","",""
"","398","Get tooltip - No auth","Assurdly | Receiver API","Sun Jun 08 20:13:47 GMT 2025","passed","Sun Jun 08 20:13:47 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","316","Single event","Assurdly | Receiver API","Sun Jun 08 20:13:51 GMT 2025","passed","Sun Jun 08 20:13:52 GMT 2025","Single Event","Receiving Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","855","Total Event - Empty Fields","Assurdly | Receiver API","Sun Jun 08 20:13:40 GMT 2025","failed","Sun Jun 08 20:13:41 GMT 2025","","Events Records","",""
"","316","Get Product Instance","Assurdly | Receiver API","Sun Jun 08 20:13:42 GMT 2025","failed","Sun Jun 08 20:13:42 GMT 2025","","Product Instances","",""
"","321","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Jun 08 20:13:44 GMT 2025","failed","Sun Jun 08 20:13:44 GMT 2025","","Shared With Government","",""
"","405","Get sites - No auth","Assurdly | Receiver API","Sun Jun 08 20:13:45 GMT 2025","passed","Sun Jun 08 20:13:46 GMT 2025","Receiving > Get Sites","Receiving Event","",""
