"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","Get Product Instance Shared with Government","Assurdly | Receiver API","Sun May 25 20:13:30 GMT 2025","failed","Sun May 25 20:13:31 GMT 2025","","Shared With Government","",""
"","376","Get tooltip - No auth","Assurdly | Receiver API","Sun May 25 20:13:33 GMT 2025","passed","Sun May 25 20:13:34 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","272","Get uom Preference","Assurdly | Receiver API","Sun May 25 20:13:25 GMT 2025","failed","Sun May 25 20:13:25 GMT 2025","Preference","Home","",""
"","554","Get sites","Assurdly | Receiver API","Sun May 25 20:13:32 GMT 2025","passed","Sun May 25 20:13:32 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","265","Get Preference - Empty Fields","Assurdly | Receiver API","Sun May 25 20:13:35 GMT 2025","failed","Sun May 25 20:13:35 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","543","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 25 20:13:30 GMT 2025","failed","Sun May 25 20:13:30 GMT 2025","","Product Instances","",""
"","264","Get trading partner","Assurdly | Receiver API","Sun May 25 20:13:33 GMT 2025","passed","Sun May 25 20:13:33 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","265","Set uom Preference","Assurdly | Receiver API","Sun May 25 20:13:25 GMT 2025","failed","Sun May 25 20:13:26 GMT 2025","Preference","Home","",""
"","381","get config types -No auth","Assurdly | Receiver API","Sun May 25 20:13:34 GMT 2025","passed","Sun May 25 20:13:35 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","148","Read Notification","Assurdly | Receiver API","Sun May 25 20:13:24 GMT 2025","passed","Sun May 25 20:13:24 GMT 2025","Notification","Home","",""
"","269","Total Events Count","Assurdly | Receiver API","Sun May 25 20:13:28 GMT 2025","passed","Sun May 25 20:13:28 GMT 2025","","Events Records","",""
"","377","Single event -No auth","Assurdly | Receiver API","Sun May 25 20:13:38 GMT 2025","passed","Sun May 25 20:13:39 GMT 2025","Single Event","Receiving Event","",""
"","277","Participant Detail","Assurdly | Receiver API","Sun May 25 20:13:25 GMT 2025","passed","Sun May 25 20:13:25 GMT 2025","participant","Home","",""
"","267","Get activity numbers","Assurdly | Receiver API","Sun May 25 20:13:38 GMT 2025","passed","Sun May 25 20:13:38 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","380","Get sites - No auth","Assurdly | Receiver API","Sun May 25 20:13:32 GMT 2025","passed","Sun May 25 20:13:33 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","544","Dashboard Filter","Assurdly | Receiver API","Sun May 25 20:13:26 GMT 2025","passed","Sun May 25 20:13:26 GMT 2025","Stats","Dashboard","",""
"","298","Get Product Instance","Assurdly | Receiver API","Sun May 25 20:13:29 GMT 2025","failed","Sun May 25 20:13:29 GMT 2025","","Product Instances","",""
"","229","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Sun May 25 20:13:23 GMT 2025","passed","Sun May 25 20:13:24 GMT 2025","Login","Authentication","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","803","Total Event - Empty Fields","Assurdly | Receiver API","Sun May 25 20:13:27 GMT 2025","failed","Sun May 25 20:13:28 GMT 2025","","Events Records","",""
"","377","Get producer record receiving - No auth","Assurdly | Receiver API","Sun May 25 20:13:37 GMT 2025","passed","Sun May 25 20:13:37 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","267","Get label","Assurdly | Receiver API","Sun May 25 20:13:35 GMT 2025","passed","Sun May 25 20:13:36 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","308","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 25 20:13:31 GMT 2025","failed","Sun May 25 20:13:31 GMT 2025","","Shared With Government","",""
