"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","805","Login - Valid Credentials","Assurdly | Receiver API","Fri Jun 13 18:46:46 GMT 2025","passed","Fri Jun 13 18:46:47 GMT 2025","Login","Authentication","",""
"","552","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Jun 13 18:46:55 GMT 2025","failed","Fri Jun 13 18:46:55 GMT 2025","","Shared With Government","",""
"","373","Get activity numbers - No auth","Assurdly | Receiver API","Fri Jun 13 18:47:00 GMT 2025","passed","Fri Jun 13 18:47:01 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","357","get preference -No auth","Assurdly | Receiver API","Fri Jun 13 18:46:58 GMT 2025","passed","Fri Jun 13 18:46:58 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","255","get preference","Assurdly | Receiver API","Fri Jun 13 18:46:58 GMT 2025","passed","Fri Jun 13 18:46:58 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","257","Participant Detail","Assurdly | Receiver API","Fri Jun 13 18:46:48 GMT 2025","passed","Fri Jun 13 18:46:49 GMT 2025","participant","Home","",""
"","542","Dashboard Filter","Assurdly | Receiver API","Fri Jun 13 18:46:49 GMT 2025","passed","Fri Jun 13 18:46:50 GMT 2025","Stats","Dashboard","",""
"","538","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Fri Jun 13 18:46:50 GMT 2025","failed","Fri Jun 13 18:46:51 GMT 2025","Stats","Dashboard","",""
"","536","Get Product Instance Graph","Assurdly | Receiver API","Fri Jun 13 18:46:53 GMT 2025","passed","Fri Jun 13 18:46:53 GMT 2025","","Product Instances","",""
"","136","Read Notification - Invalid Notification id","Assurdly | Receiver API","Fri Jun 13 18:46:48 GMT 2025","failed","Fri Jun 13 18:46:48 GMT 2025","Notification","Home","",""
"","357","Get sites - No auth","Assurdly | Receiver API","Fri Jun 13 18:46:55 GMT 2025","passed","Fri Jun 13 18:46:56 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","746","Total Event - Empty Fields","Assurdly | Receiver API","Fri Jun 13 18:46:51 GMT 2025","failed","Fri Jun 13 18:46:52 GMT 2025","","Events Records","",""
"","255","get config types","Assurdly | Receiver API","Fri Jun 13 18:46:57 GMT 2025","passed","Fri Jun 13 18:46:57 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","354","Get label - No auth","Assurdly | Receiver API","Fri Jun 13 18:46:59 GMT 2025","passed","Fri Jun 13 18:46:59 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","355","Get tooltip - No auth","Assurdly | Receiver API","Fri Jun 13 18:46:57 GMT 2025","passed","Fri Jun 13 18:46:57 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","141","Read Notification","Assurdly | Receiver API","Fri Jun 13 18:46:48 GMT 2025","passed","Fri Jun 13 18:46:48 GMT 2025","Notification","Home","",""
"","254","Get trading partner","Assurdly | Receiver API","Fri Jun 13 18:46:56 GMT 2025","passed","Fri Jun 13 18:46:56 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","255","Total Events Count","Assurdly | Receiver API","Fri Jun 13 18:46:52 GMT 2025","passed","Fri Jun 13 18:46:52 GMT 2025","","Events Records","",""
"","296","Get Product Instance","Assurdly | Receiver API","Fri Jun 13 18:46:52 GMT 2025","failed","Fri Jun 13 18:46:52 GMT 2025","","Product Instances","",""
"","358","get config types -No auth","Assurdly | Receiver API","Fri Jun 13 18:46:57 GMT 2025","passed","Fri Jun 13 18:46:58 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","356","Get producer record receiving - No auth","Assurdly | Receiver API","Fri Jun 13 18:47:00 GMT 2025","passed","Fri Jun 13 18:47:00 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","172","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Fri Jun 13 18:46:54 GMT 2025","broken","Fri Jun 13 18:46:55 GMT 2025","","Shared With Government","",""
"","310","Total Event","Assurdly | Receiver API","Fri Jun 13 18:46:51 GMT 2025","passed","Fri Jun 13 18:46:51 GMT 2025","","Events Records","",""
"","293","Get Product Instance Shared with Government","Assurdly | Receiver API","Fri Jun 13 18:46:54 GMT 2025","failed","Fri Jun 13 18:46:54 GMT 2025","","Shared With Government","",""
"","208","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Fri Jun 13 18:46:47 GMT 2025","passed","Fri Jun 13 18:46:48 GMT 2025","Login","Authentication","",""
"","288","Single event","Assurdly | Receiver API","Fri Jun 13 18:47:01 GMT 2025","passed","Fri Jun 13 18:47:01 GMT 2025","Single Event","Receiving Event","",""
"","251","Get uom Preference","Assurdly | Receiver API","Fri Jun 13 18:46:49 GMT 2025","failed","Fri Jun 13 18:46:49 GMT 2025","Preference","Home","",""
"","255","Get producer record receiving","Assurdly | Receiver API","Fri Jun 13 18:47:00 GMT 2025","passed","Fri Jun 13 18:47:00 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","294","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Jun 13 18:46:54 GMT 2025","failed","Fri Jun 13 18:46:54 GMT 2025","","Shared With Government","",""
"","258","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Fri Jun 13 18:46:59 GMT 2025","failed","Fri Jun 13 18:46:59 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","542","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Jun 13 18:46:53 GMT 2025","failed","Fri Jun 13 18:46:54 GMT 2025","","Product Instances","",""
"","259","Get tooltip","Assurdly | Receiver API","Fri Jun 13 18:46:56 GMT 2025","passed","Fri Jun 13 18:46:57 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
